first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
courage,coerage,r,,courage,,courage,control,r,,2,u,e,coerage,1,7
imprudent,imprudent,prs_long,im,prud,ent,imprudent,target,r,,0,p,s,imsrudent,0,9
local,local,r,,local,,local,control,r,,0,l,j,jocal,0,5
orbital,orbital,rss,,orb,it_al,orbital,target,s,1,1,l,n,orbitan,0,7
plant,plunt,r,,plant,,plant,control,r,,2,a,u,plunt,1,5
activation,actitation,rsss,,act,iv_at_ion,activation,target,s,0,1,v,t,actitation,1,10
