first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
bulal,bular,rs,bul,,al,bulal,target,s,0.0,1,l,r,bular,1,5,pseudo
redédicage,redédacage,pprs,dic,re_dé,age,redédicage,target,r,,1,i,a,redédacage,1,10,pseudo
lamnauj,lamnauj,pr,nauj,lam,,lamnauj,control,r,,3,j,l,lamnaul,0,7,pseudo
édridisem,édridisel,prs,rid,éd,isem,édridisem,control,s,0.0,3,m,l,édridisel,1,9,pseudo
rusnepelm,rusnepelm,ppr,pelm,rus_ne,,rusnepelm,control,r,,0,p,q,rusneqelm,0,9,pseudo
incamivité,encamivité,prss,cam,in,iv_ité,incamivité,target,p,0.0,0,i,e,encamivité,1,10,pseudo
reigvitié,roigvitié,rss,reig,,vi_tié,reigvitié,control,r,,1,e,o,roigvitié,1,9,pseudo
noun,noun,r,nour,,,nour,target,r,,3,r,n,noun,2,4,pseudo
éslifalbe,éslifalbe,prs,lif,éd,albe,édlifalbe,control,p,0.0,1,d,s,éslifalbe,2,9,pseudo
pourdot,pourdof,pr,dof,pour,,pourdof,target,r,,2,f,t,pourdot,3,7,pseudo
liud,liud,r,loud,,,loud,control,r,,1,o,i,liud,2,4,pseudo
vértlatié,tértlatié,rss,vért,,la_tié,vértlatié,control,r,,0,v,t,tértlatié,1,9,pseudo
sédnerujre,sédnemujre,pprs,ruj,séd_ne,re,sédnerujre,control,r,,0,r,m,sédnemujre,1,10,pseudo
rinasletié,minasletié,prss,nas,mi,le_tié,minasletié,control,p,0.0,0,m,r,rinasletié,3,10,pseudo
tretelbe,tretalbe,rs,tret,,albe,tretalbe,control,s,0.0,0,a,e,tretelbe,3,8,pseudo
impréjur,émpréjur,ppr,jur,im_pré,,impréjur,target,p,0.0,0,i,é,émpréjur,1,8,pseudo
troniviti,troniviti,rss,tron,,iv_ité,tronivité,target,s,1.0,2,é,i,troniviti,2,9,pseudo
ensaijnemt,ensaijnemt,prs,saij,er,nemt,ersaijnemt,control,p,0.0,1,r,n,ensaijnemt,2,10,pseudo
dicaire,dicaire,rs,dic,,aire,dicaire,target,s,0.0,3,e,a,dicaira,0,7,pseudo
erédrujeag,erédrujuag,pprs,ruj,er_éd,eag,erédrujeag,control,s,0.0,0,e,u,erédrujuag,1,10,pseudo
erméltaoin,erméltaoin,prss,mél,er,ta_oin,erméltaoin,control,r,,1,é,u,ermultaoin,0,10,pseudo
deul,deul,r,doul,,,doul,target,r,,1,o,e,deul,2,4,pseudo
eradfod,eradfod,ppr,fod,er_éd,,erédfod,control,p,1.0,0,é,a,eradfod,2,7,pseudo
antitert,antitart,pr,tert,anti,,antitert,target,r,,1,e,a,antitart,1,8,pseudo
toideisc,toideist,rs,toid,,eist,toideist,control,s,0.0,3,t,c,toideisc,3,8,pseudo
mitrep,mitrep,pr,tret,mi,,mitret,control,r,,3,t,p,mitrep,2,6,pseudo
nifodlatié,nifedlatié,prss,fod,ni,la_tié,nifodlatié,control,r,,1,o,e,nifedlatié,1,10,pseudo
redénour,redénoar,ppr,nour,re_dé,,redénour,target,r,,2,u,a,redénoar,1,8,pseudo
teél,tuél,r,tuél,,,tuél,target,r,,1,u,e,teél,3,4,pseudo
debuliste,débuliste,prs,bul,dé,iste,débuliste,target,p,0.0,1,é,e,debuliste,3,9,pseudo
désendofel,désendofer,pprs,dof,dés_en,er,désendofer,target,s,0.0,1,r,l,désendofel,3,10,pseudo
roqulatié,roqulatié,rss,roqu,,la_tié,roqulatié,control,s,0.0,1,a,u,roqulutié,0,9,pseudo
dédinage,dédinage,prs,dir,dé,age,dédirage,target,r,,2,r,n,dédinage,2,8,pseudo
roprid,roprip,pr,rid,rop,,roprid,control,r,,2,d,p,roprip,1,6,pseudo
roun,joun,r,roun,,,roun,control,r,,0,r,j,joun,1,4,pseudo
erédreit,erédreig,ppr,reig,er_éd,,erédreig,control,r,,3,g,t,erédreit,3,8,pseudo
sédnefodle,sédnefodle,pprs,fod,séd_ne,re,sédnefodre,control,s,0.0,0,r,l,sédnefodle,2,10,pseudo
vértlaiser,vértlaiser,rss,vért,,la_isem,vértlaisem,control,s,1.0,3,m,r,vértlaiser,2,10,pseudo
milasvitié,milasvitié,prss,las,mi,vi_tié,milasvitié,control,r,,1,a,i,milisvitié,0,10,pseudo
pellisem,pelmisem,rs,pelm,,isem,pelmisem,control,r,,3,m,l,pellisem,3,8,pseudo
ellastaoin,ellastaoin,prss,las,er,ta_oin,erlastaoin,control,p,0.0,1,r,l,ellastaoin,2,10,pseudo
erédlif,erédlif,ppr,lif,er_éd,,erédlif,control,r,,1,i,a,erédlaf,0,7,pseudo
lans,rans,r,lans,,,lans,control,r,,0,l,r,rans,1,4,pseudo
nurable,jurable,rs,jur,,able,jurable,target,r,,0,j,n,nurable,3,7,pseudo
loudlaisem,loudlaisem,rss,loud,,la_isem,loudlaisem,control,s,0.0,1,a,é,loudléisem,0,10,pseudo
sédnemacre,sédnemécre,pprs,mac,séd_ne,re,sédnemacre,control,r,,1,a,é,sédnemécre,1,10,pseudo
dédiotage,dédiotage,prs,diot,dé,age,dédiotage,target,p,0.0,0,d,k,kédiotage,0,9,pseudo
trencosurc,trentosurc,pr,surc,trenco,,trencosurc,control,p,0.0,4,c,t,trentosurc,1,10,pseudo
nilah,nilas,pr,las,ni,,nilas,control,r,,2,s,h,nilah,3,5,pseudo
nap,nas,r,nas,,,nas,control,r,,2,s,p,nap,3,3,pseudo
certival,certivol,rss,cert,,iv_al,certival,target,s,1.0,0,a,o,certivol,1,8,pseudo
désenjumer,désenjumer,pprs,jur,dés_en,er,désenjurer,target,r,,2,r,m,désenjumer,2,10,pseudo
rocrusment,recrusment,prs,crus,re,ment,recrusment,target,p,0.0,1,e,o,rocrusment,3,10,pseudo
préretuél,preretuél,ppr,tuél,pré_re,,préretuél,target,p,0.0,2,é,e,preretuél,1,9,pseudo
jiisaire,jaisaire,rs,jais,,aire,jaisaire,target,r,,1,a,i,jiisaire,3,8,pseudo
mirujletié,mirujletié,prss,ruj,mi,le_tié,mirujletié,control,r,,0,r,l,milujletié,0,10,pseudo
surdicel,surdicil,prs,dic,sur,el,surdicel,target,s,0.0,0,e,i,surdicil,1,8,pseudo
sar,sal,r,sal,,,sal,target,r,,2,l,r,sar,3,3,pseudo
tronéble,tronable,rs,tron,,able,tronable,target,s,0.0,0,a,é,tronéble,3,8,pseudo
adprév,adprév,pr,trév,ad,,adtrév,target,r,,0,t,p,adprév,2,6,pseudo
minasvitié,minasgitié,prss,nas,mi,vi_tié,minasvitié,control,s,0.0,0,v,g,minasgitié,1,10,pseudo
niérptret,niérptret,ppr,tret,mi_érp,,miérptret,control,p,0.0,0,m,n,niérptret,2,9,pseudo
sédnecidra,sédnecidra,pprs,cid,séd_ne,re,sédnecidre,control,s,0.0,1,e,a,sédnecidra,2,10,pseudo
juralité,nuralité,rss,jur,,al_ité,juralité,target,r,,0,j,n,nuralité,1,8,pseudo
