first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
trév,crév,r,trév,,,trév,target,r,,0,t,c,crév,1,4,pseudo
méninnole,mélinnole,rss,mél,,inno_le,mélinnole,control,r,,2,l,n,méninnole,3,9,pseudo
sédnifodre,sédnifodre,pprs,fod,séd_ni,re,sédnifodre,control,p,1.0,1,i,a,sédnafodre,0,10,pseudo
san,san,r,san,,,san,target,r,,2,n,r,sar,0,3,pseudo
jaèsalité,jaisalité,rss,jais,,al_ité,jaisalité,target,r,,2,i,è,jaèsalité,3,9,pseudo
rusnort,resnort,pr,nort,rus,,rusnort,control,p,0.0,1,u,e,resnort,1,7,pseudo
mulasvitié,milasvitié,prss,las,mi,vi_tié,milasvitié,control,p,0.0,1,i,u,mulasvitié,3,10,pseudo
roqunat,roqunat,rs,roqu,,nat,roqunat,control,s,0.0,0,n,r,roqurat,0,7,pseudo
rusnoroun,rusneroun,ppr,roun,rus_ne,,rusneroun,control,p,1.0,1,e,o,rusnoroun,3,9,pseudo
jais,jait,r,jais,,,jais,target,r,,3,s,t,jait,1,4,pseudo
osuroqu,oseroqu,pr,roqu,osu,,osuroqu,control,p,0.0,2,u,e,oseroqu,1,7,pseudo
nortvilo,nortvilo,rss,nort,,vi_la,nortvila,control,s,1.0,1,a,o,nortvilo,2,8,pseudo
prédéclôt,prédéclôc,ppr,clôt,pré_dé,,prédéclôt,target,r,,3,t,c,prédéclôc,1,9,pseudo
lasni,lasni,rs,las,,ni,lasni,control,s,0.0,0,n,y,lasyi,0,5,pseudo
adcam,adcem,pr,cam,ad,,adcam,target,r,,1,a,e,adcem,1,5,pseudo
sainvila,sainvila,rss,saij,,vi_la,saijvila,control,r,,3,j,n,sainvila,2,8,pseudo
erédmacuag,erédmaceag,pprs,mac,er_éd,eag,erédmaceag,control,s,0.0,0,e,u,erédmacuag,3,10,pseudo
niloudiin,niloudoin,prs,loud,ni,oin,niloudoin,control,s,0.0,0,o,i,niloudiin,3,9,pseudo
plem,pnem,r,plem,,,plem,target,r,,1,l,n,pnem,1,4,pseudo
erléetnemt,erléutnemt,prs,léut,er,nemt,erléutnemt,control,r,,2,u,e,erléetnemt,3,10,pseudo
tretvitié,trotvitié,rss,tret,,vi_tié,tretvitié,control,r,,2,e,o,trotvitié,1,9,pseudo
rusneroif,rusneroif,ppr,roif,rus_ne,,rusneroif,control,p,0.0,1,u,e,resneroif,0,9,pseudo
sédnilifre,sédnilifru,pprs,lif,séd_ni,re,sédnilifre,control,s,0.0,1,e,u,sédnilifru,1,10,pseudo
tron,trin,r,tron,,,tron,target,r,,2,o,i,trin,1,4,pseudo
sédneluble,sédneluble,pprs,lub,séd_ne,re,sédnelubre,control,s,0.0,0,r,l,sédneluble,2,10,pseudo
mélne,mélne,rs,mél,,re,mélre,control,s,0.0,0,r,n,mélne,2,5,pseudo
imprédoc,imprédof,ppr,dof,im_pré,,imprédof,target,r,,2,f,c,imprédoc,3,8,pseudo
lifét,liféq,rs,lif,,ét,lifét,control,s,0.0,1,t,q,liféq,1,5,pseudo
nesurcedu,nisurcedu,prs,surc,ni,edu,nisurcedu,control,p,0.0,1,i,e,nesurcedu,3,9,pseudo
désendofej,désendofej,pprs,dof,dés_en,er,désendofer,target,s,0.0,1,r,j,désendofej,2,10,pseudo
rejurure,rejurure,prs,jur,re,ure,rejurure,target,p,0.0,0,r,n,nejurure,0,8,pseudo
julionnel,julionnel,rss,jur,,ionn_el,jurionnel,target,r,,2,r,l,julionnel,2,9,pseudo
adroif,édroif,pr,roif,éd,,édroif,control,p,0.0,0,é,a,adroif,3,6,pseudo
foar,foar,r,foir,,,foir,target,r,,2,i,a,foar,2,4,pseudo
antibul,antibul,pr,bul,anti,,antibul,target,p,0.0,0,a,e,entibul,0,7,pseudo
cid,cid,r,cid,,,cid,control,r,,2,d,c,cic,0,3,pseudo
cocort,cocolt,pr,cort,co,,cocort,target,r,,2,r,l,cocolt,1,6,pseudo
coit,coit,r,coit,,,coit,target,r,,3,t,s,cois,0,4,pseudo
plenivité,plenivité,rss,plem,,iv_ité,plemivité,target,r,,3,m,n,plenivité,2,9,pseudo
emédnauj,erédnauj,ppr,nauj,er_éd,,erédnauj,control,p,0.0,1,r,m,emédnauj,3,8,pseudo
reterteir,reterteir,prs,tert,re,eur,reterteur,target,s,0.0,1,u,i,reterteir,2,9,pseudo
ermabtaoin,ermabtaoin,prss,mac,er,ta_oin,ermactaoin,control,r,,2,c,b,ermabtaoin,2,10,pseudo
sumenbul,sumenbul,ppr,bul,sur_en,,surenbul,target,p,0.0,2,r,m,sumenbul,2,8,pseudo
nas,nas,r,nas,,,nas,control,r,,2,s,t,nat,0,3,pseudo
rebàlment,rebulment,prs,bul,re,ment,rebulment,target,r,,1,u,à,rebàlment,3,9,pseudo
diét,diot,r,diot,,,diot,target,r,,2,o,é,diét,3,4,pseudo
désinsaler,désinsuler,pprs,sal,dés_in,er,désinsaler,target,r,,1,a,u,désinsuler,1,10,pseudo
erroofnemt,erroofnemt,prs,roif,er,nemt,erroifnemt,control,r,,2,i,o,erroofnemt,2,10,pseudo
cort,sort,r,cort,,,cort,target,r,,0,c,s,sort,1,4,pseudo
treclatié,treclatié,rss,trec,,la_tié,treclatié,control,s,0.0,0,l,r,trecratié,0,9,pseudo
redédirage,redédirage,pprs,dir,re_dé,age,redédirage,target,s,0.0,0,a,i,redédirige,0,10,pseudo
érperroul,érperroul,ppr,roun,érp_er,,érperroun,control,r,,3,n,l,érperroul,2,9,pseudo
erlubtaoin,erlubtaoin,prss,lub,er,ta_oin,erlubtaoin,control,s,1.0,2,n,m,erlubtaoim,0,10,pseudo
désensaner,désensaner,pprs,san,dés_en,er,désensaner,target,p,1.0,0,e,u,désunsaner,0,10,pseudo
tanurid,tanurid,pr,rid,tani,,tanirid,control,p,0.0,3,i,u,tanurid,2,7,pseudo
robule,robule,rs,roqu,,le,roqule,control,r,,2,q,b,robule,2,6,pseudo
ilsan,insan,pr,san,in,,insan,target,p,0.0,1,n,l,ilsan,3,5,pseudo
undirude,undirude,prs,dir,in,ude,indirude,target,p,0.0,0,i,u,undirude,2,8,pseudo
erédtroc,erédtroc,ppr,troc,er_éd,,erédtroc,control,p,0.0,0,e,u,urédtroc,0,8,pseudo
bicer,dicer,rs,dic,,er,dicer,target,r,,0,d,b,bicer,3,5,pseudo
teidisem,teidisem,rs,toid,,isem,toidisem,control,r,,1,o,e,teidisem,2,8,pseudo
launable,jaunable,rs,jaun,,able,jaunable,target,r,,0,j,l,launable,3,8,pseudo
