first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
nirujlatié,nirurlatié,prss,ruj,ni,la_tié,nirujlatié,control,r,,2,j,r,nirurlatié,1,10,pseudo
erédnaseag,elédnaseag,pprs,nas,er_éd,eag,erédnaseag,control,p,0.0,1,r,l,elédnaseag,1,10,pseudo
rusneturc,rusneturc,ppr,surc,rus_ne,,rusnesurc,control,r,,0,s,t,rusneturc,2,9,pseudo
ruigvila,ruigvila,rss,reig,,vi_la,reigvila,control,r,,1,e,u,ruigvila,2,8,pseudo
indaulment,indoulment,prs,doul,in,ment,indoulment,target,r,,1,o,a,indaulment,3,10,pseudo
diulin,diulin,rs,doul,,in,doulin,target,r,,1,o,i,diulin,2,6,pseudo
nurièn,nurièn,pr,rièn,ne,,nerièn,control,p,0.0,1,e,u,nurièn,2,6,pseudo
cam,cem,r,cam,,,cam,target,r,,1,a,e,cem,1,3,pseudo
erméltaoin,emméltaoin,prss,mél,er,ta_oin,erméltaoin,control,p,0.0,1,r,m,emméltaoin,1,10,pseudo
temt,tert,r,tert,,,tert,target,r,,2,r,m,temt,3,4,pseudo
noèrment,noèrment,rs,nièr,,ment,nièrment,target,r,,1,i,o,noèrment,2,8,pseudo
sédnelifme,sédnelifme,pprs,lif,séd_ne,re,sédnelifre,control,s,0.0,0,r,m,sédnelifme,2,10,pseudo
surenfoir,surentoir,ppr,foir,sur_en,,surenfoir,target,r,,0,f,t,surentoir,1,9,pseudo
irnourisme,innourisme,prs,nour,in,isme,innourisme,target,p,0.0,1,n,r,irnourisme,3,10,pseudo
surtlem,surtlem,pr,plem,sur,,surplem,target,r,,0,p,t,surtlem,2,7,pseudo
lamsvila,lamsvila,rss,lans,,vi_la,lansvila,control,r,,2,n,m,lamsvila,2,8,pseudo
édnàujisem,édnaujisem,prs,nauj,éd,isem,édnaujisem,control,r,,1,a,à,édnàujisem,3,10,pseudo
tretnat,sretnat,rs,tret,,nat,tretnat,control,r,,0,t,s,sretnat,1,7,pseudo
memélletié,memélletié,prss,mél,mi,le_tié,mimélletié,control,p,0.0,1,i,e,memélletié,2,10,pseudo
falionaire,falionaire,rss,sal,,ion_aire,salionaire,target,r,,0,s,f,falionaire,2,10,pseudo
désenlémer,désenlémer,pprs,lém,dés_en,er,désenlémer,target,r,,2,m,n,désenléner,0,10,pseudo
rusnetois,rusnetoid,ppr,toid,rus_ne,,rusnetoid,control,r,,3,d,s,rusnetois,3,9,pseudo
lamsurc,lamserc,pr,surc,lam,,lamsurc,control,r,,1,u,e,lamserc,1,7,pseudo
jais,jais,r,jais,,,jais,target,r,,0,j,n,nais,0,4,pseudo
lad,las,r,las,,,las,control,r,,2,s,d,lad,3,3,pseudo
inbulelité,enbulelité,prss,bul,in,el_ité,inbulelité,target,p,0.0,0,i,e,enbulelité,1,10,pseudo
roifvitié,roisvitié,rss,roif,,vi_tié,roifvitié,control,r,,3,f,s,roisvitié,1,9,pseudo
mentimél,mentimél,pr,mél,renti,,rentimél,control,p,0.0,0,r,m,mentimél,2,8,pseudo
mélnat,mélnut,rs,mél,,nat,mélnat,control,s,0.0,1,a,u,mélnut,1,6,pseudo
ertioceru,ertioceru,prs,tioc,er,eru,ertioceru,control,p,0.0,0,e,o,ortioceru,0,9,pseudo
desindicer,desindicer,pprs,dic,dés_in,er,désindicer,target,p,0.0,1,é,e,desindicer,2,10,pseudo
surentent,surentert,ppr,tert,sur_en,,surentert,target,r,,2,r,n,surentent,3,9,pseudo
ersurcfa,ersurcta,prs,surc,er,ta,ersurcta,control,s,0.0,0,t,f,ersurcfa,3,8,pseudo
tanitoid,taritoid,pr,toid,tani,,tanitoid,control,p,0.0,2,n,r,taritoid,1,8,pseudo
diét,diot,r,diot,,,diot,target,r,,2,o,é,diét,3,4,pseudo
némant,lémant,rs,lém,,ant,lémant,target,r,,0,l,n,némant,3,6,pseudo
diraonnel,dirionnel,rss,dir,,ionn_el,dirionnel,target,s,0.0,0,i,a,diraonnel,3,9,pseudo
injunivité,injurivité,prss,jur,in,iv_ité,injurivité,target,r,,2,r,n,injunivité,3,10,pseudo
érperreig,érparreig,ppr,reig,érp_er,,érperreig,control,p,1.0,0,e,a,érparreig,1,9,pseudo
desindofer,désindofer,pprs,dof,dés_in,er,désindofer,target,p,0.0,1,é,e,desindofer,3,10,pseudo
désendicen,désendicen,pprs,dic,dés_en,er,désendicer,target,s,0.0,1,r,n,désendicen,2,10,pseudo
inbulaleté,inbulaleté,prss,bul,in,al_ité,inbulalité,target,s,1.0,0,i,e,inbulaleté,2,10,pseudo
antilém,antilém,pr,lém,anti,,antilém,target,r,,1,é,u,antilum,0,7,pseudo
redétert,redétert,ppr,tert,re_dé,,redétert,target,p,1.0,1,é,i,reditert,0,8,pseudo
nortuin,nortoin,rs,nort,,oin,nortoin,control,s,0.0,0,o,u,nortuin,3,7,pseudo
trocvitié,trocvitié,rss,troc,,vi_tié,trocvitié,control,r,,1,r,m,tmocvitié,0,9,pseudo
édlansacne,édlansacme,prs,lans,éd,acne,édlansacne,control,s,0.0,2,n,m,édlansacme,1,10,pseudo
lif,lif,r,lif,,,lif,control,r,,0,l,n,nif,0,3,pseudo
plemivel,plemival,rss,plem,,iv_al,plemival,target,s,1.0,0,a,e,plemivel,3,8,pseudo
védnerujre,sédnerujre,pprs,ruj,séd_ne,re,sédnerujre,control,p,0.0,0,s,v,védnerujre,3,10,pseudo
rinasvitié,minasvitié,prss,nas,mi,vi_tié,minasvitié,control,p,0.0,0,m,r,rinasvitié,3,10,pseudo
cert,cort,r,cert,,,cert,target,r,,1,e,o,cort,1,4,pseudo
impréjeun,impréjeun,ppr,jaun,im_pré,,impréjaun,target,r,,1,a,e,impréjeun,2,9,pseudo
saijalbi,saijalbi,rs,saij,,albe,saijalbe,control,s,0.0,3,e,i,saijalbi,2,8,pseudo
détuélisme,détuélisme,prs,tuél,dé,isme,détuélisme,target,s,0.0,3,e,é,détuélismé,0,10,pseudo
taninauj,taninauj,pr,nauj,tani,,taninauj,control,p,0.0,0,t,p,paninauj,0,8,pseudo
osurans,osurans,pr,lans,osu,,osulans,control,r,,0,l,r,osurans,2,7,pseudo
salique,sanique,rs,sal,,ique,salique,target,r,,2,l,n,sanique,1,7,pseudo
nitoideti,nitoideti,prs,toid,ni,éti,nitoidéti,control,s,0.0,0,é,e,nitoideti,2,9,pseudo
miérpnaej,miérpnauj,ppr,nauj,mi_érp,,miérpnauj,control,r,,2,u,e,miérpnaej,3,9,pseudo
refalation,refalation,prss,fil,re,at_ion,refilation,target,r,,1,i,a,refalation,2,10,pseudo
redébulage,redébulage,pprs,bul,re_dé,age,redébulage,target,r,,2,l,n,redébunage,0,10,pseudo
dicalisma,dicalisme,rss,dic,,al_isme,dicalisme,target,s,1.0,3,e,a,dicalisma,3,9,pseudo
nas,nas,r,nas,,,nas,control,r,,2,s,v,nav,0,3,pseudo
détrévior,détrévion,prs,trév,dé,ion,détrévion,target,s,0.0,2,n,r,détrévior,3,9,pseudo
plemuonnel,plemionnel,rss,plem,,ionn_el,plemionnel,target,s,0.0,0,i,u,plemuonnel,3,10,pseudo
rediration,resiration,prss,dir,re,at_ion,rediration,target,r,,0,d,s,resiration,1,10,pseudo
surendof,surendof,ppr,dof,sur_en,,surendof,target,r,,0,d,v,surenvof,0,8,pseudo
erédbideag,erédcideag,pprs,cid,er_éd,eag,erédcideag,control,r,,0,c,b,erédbideag,3,10,pseudo
tlôt,clôt,r,clôt,,,clôt,target,r,,0,c,t,tlôt,3,4,pseudo
doulion,doulien,rs,doul,,ion,doulion,target,s,0.0,1,o,e,doulien,1,7,pseudo
erreig,elreig,pr,reig,er,,erreig,control,p,0.0,1,r,l,elreig,1,6,pseudo
sidnefodre,sédnefodre,pprs,fod,séd_ne,re,sédnefodre,control,p,0.0,1,é,i,sidnefodre,3,10,pseudo
recimat,recimat,prs,cam,re,at,recamat,target,r,,1,a,i,recimat,2,7,pseudo
nirtlaisem,nortlaisem,rss,nort,,la_isem,nortlaisem,control,r,,1,o,i,nirtlaisem,3,10,pseudo
surenfil,surànfil,ppr,fil,sur_en,,surenfil,target,p,1.0,0,e,à,surànfil,1,8,pseudo
