first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
erédroqu,erédroqu,ppr,roqu,er_éd,,erédroqu,control,r,,0,r,j,erédjoqu,0,8,pseudo
désiljurer,désiljurer,pprs,jur,dés_in,er,désinjurer,target,p,1.0,1,n,l,désiljurer,2,10,pseudo
féd,féd,r,fod,,,fod,control,r,,1,o,é,féd,2,3,pseudo
tôlcét,qôlcét,rs,tôlc,,ét,tôlcét,control,r,,0,t,q,qôlcét,1,6,pseudo
édlasisem,adlasisem,prs,las,éd,isem,édlasisem,control,p,0.0,0,é,a,adlasisem,1,9,pseudo
tuélaliste,tuélaliste,rss,tuél,,al_iste,tuélaliste,target,s,0.0,1,l,n,tuélaniste,0,10,pseudo
présnal,préslal,pr,snal,pré,,présnal,target,r,,1,n,l,préslal,1,7,pseudo
miridletié,miridleteé,prss,rid,mi,le_tié,miridletié,control,s,1.0,1,i,e,miridleteé,1,10,pseudo
anfil,anfil,pr,fil,en,,enfil,target,p,0.0,0,e,a,anfil,2,5,pseudo
désindicor,désindicer,pprs,dic,dés_in,er,désindicer,target,s,0.0,0,e,o,désindicor,3,10,pseudo
malasletié,malasletié,prss,las,mi,le_tié,milasletié,control,p,0.0,1,i,a,malasletié,2,10,pseudo
nosla,nosla,rs,nas,,la,nasla,control,r,,1,a,o,nosla,2,5,pseudo
trit,trit,r,tret,,,tret,control,r,,2,e,i,trit,2,4,pseudo
rusnecod,rusnecid,ppr,cid,rus_ne,,rusnecid,control,r,,1,i,o,rusnecod,3,8,pseudo
detuélisme,détuélisme,prs,tuél,dé,isme,détuélisme,target,p,0.0,1,é,e,detuélisme,3,10,pseudo
trévionner,trévionner,rss,trév,,ionn_el,trévionnel,target,s,1.0,1,l,r,trévionner,2,10,pseudo
insalment,insalment,prs,sal,in,ment,insalment,target,s,0.0,1,e,u,insalmunt,0,9,pseudo
pourgier,pourgier,pr,gier,pour,,pourgier,target,p,0.0,0,p,d,dourgier,0,8,pseudo
erédsumc,erédsumc,ppr,surc,er_éd,,erédsurc,control,r,,2,r,m,erédsumc,2,8,pseudo
tiocranemt,tiocmanemt,rss,tioc,,ma_nemt,tiocmanemt,control,s,0.0,0,m,r,tiocranemt,3,10,pseudo
cortispe,cortiste,rs,cort,,iste,cortiste,target,s,0.0,2,t,p,cortispe,3,8,pseudo
niméllatié,niméllatié,prss,mél,ni,la_tié,niméllatié,control,p,0.0,0,n,r,riméllatié,0,10,pseudo
sédnilubre,sédnilubre,pprs,lub,séd_ni,re,sédnilubre,control,r,,1,u,e,sédnilebre,0,10,pseudo
roiv,roiv,r,roif,,,roif,control,r,,3,f,v,roiv,2,4,pseudo
rièn,reèn,r,rièn,,,rièn,control,r,,1,i,e,reèn,1,4,pseudo
niridlatié,niridnatié,prss,rid,ni,la_tié,niridlatié,control,s,0.0,0,l,n,niridnatié,1,10,pseudo
désinlémer,désinlémer,pprs,lém,dés_in,er,désinlémer,target,s,0.0,0,e,a,désinlémar,0,10,pseudo
préredan,préresan,ppr,san,pré_re,,préresan,target,r,,0,s,d,préredan,3,8,pseudo
clotat,clotat,rs,clôt,,at,clôtat,target,r,,2,ô,o,clotat,2,6,pseudo
nimeigecne,nimeigecne,prs,reig,ni,ecne,nireigecne,control,r,,0,r,m,nimeigecne,2,10,pseudo
replem,leplem,pr,plem,re,,replem,target,p,0.0,0,r,l,leplem,1,6,pseudo
ridlaeist,ridloeist,rss,rid,,la_eist,ridlaeist,control,s,0.0,1,a,o,ridloeist,1,9,pseudo
désendirer,désendirer,pprs,dir,dés_en,er,désendirer,target,s,0.0,1,r,n,désendiren,0,10,pseudo
précertion,préceltion,prs,cert,pré,ion,précertion,target,r,,2,r,l,préceltion,1,10,pseudo
erédtret,erédtres,ppr,tret,er_éd,,erédtret,control,r,,3,t,s,erédtres,1,8,pseudo
loedvitié,loudvitié,rss,loud,,vi_tié,loudvitié,control,r,,2,u,e,loedvitié,3,9,pseudo
snalment,snalmant,rs,snal,,ment,snalment,target,s,0.0,1,e,a,snalmant,1,8,pseudo
san,san,r,sal,,,sal,target,r,,2,l,n,san,2,3,pseudo
illémelité,illémelité,prss,lém,in,el_ité,inlémelité,target,p,0.0,1,n,l,illémelité,2,10,pseudo
elsan,elsan,pr,san,en,,ensan,target,p,0.0,1,n,l,elsan,2,5,pseudo
protert,protert,pr,tert,pro,,protert,target,p,0.0,0,p,t,trotert,0,7,pseudo
saluliste,salaliste,rss,sal,,al_iste,salaliste,target,s,0.0,0,a,u,saluliste,3,9,pseudo
infilemité,infilemité,prss,fil,in,el_ité,infilelité,target,s,0.0,1,l,m,infilemité,2,10,pseudo
sédnilasre,sétnilasre,pprs,las,séd_ni,re,sédnilasre,control,p,0.0,2,d,t,sétnilasre,1,10,pseudo
trec,tres,r,trec,,,trec,control,r,,3,c,s,tres,1,4,pseudo
niriènedu,niriènedu,prs,rièn,ni,edu,niriènedu,control,s,0.0,2,u,a,nirièneda,0,9,pseudo
nortta,nortta,rs,nort,,ta,nortta,control,s,0.0,1,a,e,nortte,0,6,pseudo
miérprort,miérpnort,ppr,nort,mi_érp,,miérpnort,control,r,,0,n,r,miérprort,3,9,pseudo
sulenfoir,sulenfoir,ppr,foir,sur_en,,surenfoir,target,p,0.0,2,r,l,sulenfoir,2,9,pseudo
erédlubeag,erédlubeag,pprs,lub,er_éd,eag,erédlubeag,control,p,0.0,0,e,u,urédlubeag,0,10,pseudo
raujle,raujle,rs,nauj,,le,naujle,control,r,,0,n,r,raujle,2,6,pseudo
nicidlasié,nicidlasié,prss,cid,ni,la_tié,nicidlatié,control,s,1.0,0,t,s,nicidlasié,2,10,pseudo
nimif,nimif,pr,lif,ni,,nilif,control,r,,0,l,m,nimif,2,5,pseudo
foirionnèl,foirionnèl,rss,foir,,ionn_el,foirionnel,target,s,1.0,0,e,è,foirionnèl,2,10,pseudo
ruj,rij,r,ruj,,,ruj,control,r,,1,u,i,rij,1,3,pseudo
édrounoin,édrounoin,prs,roun,éd,oin,édrounoin,control,r,,3,n,j,édroujoin,0,9,pseudo
tuélisce,tuélisce,rs,tuél,,iste,tuéliste,target,s,0.0,2,t,c,tuélisce,2,8,pseudo
jaenalité,jaunalité,rss,jaun,,al_ité,jaunalité,target,r,,2,u,e,jaenalité,3,9,pseudo
érperloud,érperload,ppr,loud,érp_er,,érperloud,control,r,,2,u,a,érperload,1,9,pseudo
las,los,r,las,,,las,control,r,,1,a,o,los,1,3,pseudo
relemation,relémation,prss,lém,re,at_ion,relémation,target,r,,1,é,e,relemation,3,10,pseudo
pourtuém,pourtuém,pr,tuél,pour,,pourtuél,target,r,,3,l,m,pourtuém,2,8,pseudo
édrodtan,édridtan,prs,rid,éd,tan,édridtan,control,r,,1,i,o,édrodtan,3,8,pseudo
ridécamage,ridécamage,pprs,cam,re_dé,age,redécamage,target,p,0.0,1,e,i,ridécamage,2,10,pseudo
désenlémer,désenlémen,pprs,lém,dés_en,er,désenlémer,target,s,0.0,1,r,n,désenlémen,1,10,pseudo
refilaqion,refilaqion,prss,fil,re,at_ion,refilation,target,s,0.0,1,t,q,refilaqion,2,10,pseudo
érpertret,érpeltret,ppr,tret,érp_er,,érpertret,control,p,1.0,1,r,l,érpeltret,1,9,pseudo
laceist,laceist,rs,mac,,eist,maceist,control,r,,0,m,l,laceist,2,7,pseudo
incortant,incortant,prs,cort,in,ent,incortent,target,s,0.0,0,e,a,incortant,2,9,pseudo
camivité,camiveté,rss,cam,,iv_ité,camivité,target,s,1.0,0,i,e,camiveté,1,8,pseudo
onnmél,onnmél,pr,mél,onn,,onnmél,control,p,0.0,0,o,à,ànnmél,0,6,pseudo
dic,dic,r,dic,,,dic,target,r,,2,c,b,dib,0,3,pseudo
paijlatié,paijlatié,rss,saij,,la_tié,saijlatié,control,r,,0,s,p,paijlatié,2,9,pseudo
décortion,décortion,prs,cort,dé,ion,décortion,target,r,,1,o,é,décértion,0,9,pseudo
tuél,tuéj,r,tuél,,,tuél,target,r,,3,l,j,tuéj,1,4,pseudo
désinsaler,désinsaler,pprs,sal,dés_in,er,désinsaler,target,p,1.0,0,i,é,désénsaler,0,10,pseudo
inintercan,inintercan,ppr,san,in_inter,,inintersan,target,r,,0,s,c,inintercan,2,10,pseudo
cidnet,cidnet,rs,cid,,net,cidnet,control,s,0.0,2,t,p,cidnep,0,6,pseudo
lémroif,lémroif,pr,roif,lam,,lamroif,control,p,0.0,1,a,é,lémroif,2,7,pseudo
insalivité,irsalivité,prss,sal,in,iv_ité,insalivité,target,p,0.0,1,n,r,irsalivité,1,10,pseudo
anbulalité,inbulalité,prss,bul,in,al_ité,inbulalité,target,p,0.0,0,i,a,anbulalité,3,10,pseudo
quoraire,quolaire,rs,quor,,aire,quoraire,target,r,,3,r,l,quolaire,1,8,pseudo
corteliste,cortaliste,rss,cort,,al_iste,cortaliste,target,s,0.0,0,a,e,corteliste,3,10,pseudo
déclôtant,declôtant,prs,clôt,dé,ant,déclôtant,target,p,0.0,1,é,e,declôtant,1,9,pseudo
imprédin,imprédin,ppr,dir,im_pré,,imprédir,target,r,,2,r,n,imprédin,2,8,pseudo
rém,lém,r,lém,,,lém,target,r,,0,l,r,rém,3,3,pseudo
erédméleag,erédméleag,pprs,mél,er_éd,eag,erédméleag,control,r,,2,l,r,erédméreag,0,10,pseudo
manas,manas,pr,nas,mi,,minas,control,p,0.0,1,i,a,manas,2,5,pseudo
nejureur,rejureur,prs,jur,re,eur,rejureur,target,p,0.0,0,r,n,nejureur,3,8,pseudo
sédnirujre,sédnirujre,pprs,ruj,séd_ni,re,sédnirujre,control,r,,2,j,r,sédnirurre,0,10,pseudo
coitalisre,coitalisme,rss,coit,,al_isme,coitalisme,target,s,1.0,2,m,r,coitalisre,3,10,pseudo
nifeist,nifeist,rs,lif,,eist,lifeist,control,r,,0,l,n,nifeist,2,7,pseudo
doul,soul,r,doul,,,doul,target,r,,0,d,s,soul,1,4,pseudo
mimélletié,milélletié,prss,mél,mi,le_tié,mimélletié,control,r,,0,m,l,milélletié,1,10,pseudo
erédmoud,erédmoud,ppr,loud,er_éd,,erédloud,control,r,,0,l,m,erédmoud,2,8,pseudo
nenort,nenirt,pr,nort,ne,,nenort,control,r,,1,o,i,nenirt,1,6,pseudo
imprénour,imprénour,ppr,nour,im_pré,,imprénour,target,p,0.0,1,m,n,inprénour,0,9,pseudo
sédnimélre,sédnimélre,pprs,mél,séd_ni,re,sédnimélre,control,s,0.0,1,e,u,sédnimélru,0,10,pseudo
porunub,porulub,pr,lub,poru,,porulub,control,r,,0,l,n,porunub,3,7,pseudo
intuélment,intuélment,prs,tuél,in,ment,intuélment,target,p,0.0,1,n,r,irtuélment,0,10,pseudo
saij,saij,r,saij,,,saij,control,r,,3,j,r,sair,0,4,pseudo
nouramment,nouramment,rss,nour,,am_ment,nouramment,target,r,,0,n,r,rouramment,0,10,pseudo
sréval,tréval,rs,trév,,al,tréval,target,r,,0,t,s,sréval,3,6,pseudo
lilifvitié,lilifvitié,prss,lif,mi,vi_tié,milifvitié,control,p,0.0,0,m,l,lilifvitié,2,10,pseudo
désenjurel,désenjurel,pprs,jur,dés_en,er,désenjurer,target,s,0.0,1,r,l,désenjurel,2,10,pseudo
malbul,malbul,pr,bul,mal,,malbul,target,r,,0,b,s,malsul,0,6,pseudo
tran,tron,r,tron,,,tron,target,r,,2,o,a,tran,3,4,pseudo
indicalité,indicalité,prss,dic,in,al_ité,indicalité,target,r,,2,c,x,indixalité,0,10,pseudo
miérpsaij,miérpsaoj,ppr,saij,mi_érp,,miérpsaij,control,r,,2,i,o,miérpsaoj,1,9,pseudo
quortè,quorté,rs,quor,,té,quorté,target,s,0.0,1,é,è,quortè,3,6,pseudo
trocvitié,trocsitié,rss,troc,,vi_tié,trocvitié,control,s,0.0,0,v,s,trocsitié,1,9,pseudo
indicence,indicence,prs,dic,in,ence,indicence,target,r,,2,c,t,inditence,0,9,pseudo
moun,moun,r,roun,,,roun,control,r,,0,r,m,moun,2,4,pseudo
ursurc,ersurc,pr,surc,er,,ersurc,control,p,0.0,0,e,u,ursurc,3,6,pseudo
mubre,lubre,rs,lub,,re,lubre,control,r,,0,l,m,mubre,3,5,pseudo
désnalisme,désnalisme,prs,snal,dé,isme,désnalisme,target,r,,0,s,c,décnalisme,0,10,pseudo
répédpell,répédpell,ppr,pelm,rép_éd,,répédpelm,control,r,,3,m,l,répédpell,2,9,pseudo
indirivuté,indirivuté,prss,dir,in,iv_ité,indirivité,target,s,1.0,0,i,u,indirivuté,2,10,pseudo
désinbulen,désinbuler,pprs,bul,dés_in,er,désinbuler,target,s,0.0,1,r,n,désinbulen,3,10,pseudo
reivmanemt,reivmanemt,rss,reig,,ma_nemt,reigmanemt,control,r,,3,g,v,reivmanemt,2,10,pseudo
sydtôlc,sydtôlt,pr,tôlc,syd,,sydtôlc,control,r,,3,c,t,sydtôlt,1,7,pseudo
nirentitid,nirenticid,ppr,cid,ni_renti,,nirenticid,control,r,,0,c,t,nirentitid,3,10,pseudo
déjaunisme,déjaunisme,prs,jaun,dé,isme,déjaunisme,target,r,,3,n,r,déjaurisme,0,10,pseudo
mélinnole,mélinnole,rss,mél,,inno_le,mélinnole,control,r,,0,m,n,nélinnole,0,9,pseudo
filion,filiun,rs,fil,,ion,filion,target,s,0.0,1,o,u,filiun,1,6,pseudo
sédnelasre,sédnelasro,pprs,las,séd_ne,re,sédnelasre,control,s,0.0,1,e,o,sédnelasro,1,10,pseudo
cruh,crus,r,crus,,,crus,target,r,,3,s,h,cruh,3,4,pseudo
elliftaoin,elliftaoin,prss,lif,er,ta_oin,erliftaoin,control,p,0.0,1,r,l,elliftaoin,2,10,pseudo
nièr,nièr,r,nièr,,,nièr,target,r,,2,è,i,niir,0,4,pseudo
nisaijnemt,nisaijnimt,prs,saij,ni,nemt,nisaijnemt,control,s,0.0,1,e,i,nisaijnimt,1,10,pseudo
inprétert,inprétert,ppr,tert,im_pré,,imprétert,target,p,0.0,1,m,n,inprétert,2,9,pseudo
miridvitié,niridvitié,prss,rid,mi,vi_tié,miridvitié,control,p,0.0,0,m,n,niridvitié,1,10,pseudo
nolplem,nolplem,pr,plem,non,,nonplem,target,p,0.0,2,n,l,nolplem,2,7,pseudo
sédnelifre,sédnelifre,pprs,lif,séd_ne,re,sédnelifre,control,s,0.0,0,r,l,sédnelifle,0,10,pseudo
bulicité,bulicité,rss,bul,,iv_ité,bulivité,target,s,0.0,1,v,c,bulicité,2,8,pseudo
méleseu,méleseu,rs,mél,,eseu,méleseu,control,r,,1,é,i,mileseu,0,7,pseudo
lans,lins,r,lans,,,lans,control,r,,1,a,i,lins,1,4,pseudo
sédnecidre,sédnecidne,pprs,cid,séd_ne,re,sédnecidre,control,s,0.0,0,r,n,sédnecidne,1,10,pseudo
rièninnole,riuninnole,rss,rièn,,inno_le,rièninnole,control,r,,2,è,u,riuninnole,1,10,pseudo
