first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
sésnirujre,sédnirujre,pprs,ruj,séd_ni,re,sédnirujre,control,p,0.0,2,d,s,sésnirujre,3,10,pseudo
érpencid,érpercid,ppr,cid,érp_er,,érpercid,control,p,1.0,1,r,n,érpencid,3,8,pseudo
leig,leig,r,reig,,,reig,control,r,,0,r,l,leig,2,4,pseudo
sanap,sanap,rs,san,,at,sanat,target,s,0.0,1,t,p,sanap,2,5,pseudo
édneujeag,édneujeag,prs,nauj,éd,eag,édnaujeag,control,r,,1,a,e,édneujeag,2,9,pseudo
redofatien,redofatien,prss,dof,re,at_ion,redofation,target,s,1.0,1,o,e,redofatien,2,10,pseudo
rentifod,nentifod,pr,fod,renti,,rentifod,control,p,0.0,0,r,n,nentifod,1,8,pseudo
salivité,sarivité,rss,sal,,iv_ité,salivité,target,r,,2,l,r,sarivité,1,8,pseudo
inbulelité,infulelité,prss,bul,in,el_ité,inbulelité,target,r,,0,b,f,infulelité,1,10,pseudo
répédtlec,répédtlec,ppr,trec,rép_éd,,répédtrec,control,r,,1,r,l,répédtlec,2,9,pseudo
neloudtan,neleudtan,prs,loud,ne,tan,neloudtan,control,r,,1,o,e,neleudtan,1,9,pseudo
erednaseag,erednaseag,pprs,nas,er_éd,eag,erédnaseag,control,p,1.0,0,é,e,erednaseag,2,10,pseudo
rounisem,rounisem,rs,roun,,isem,rounisem,control,r,,0,r,l,lounisem,0,8,pseudo
prédir,pnédir,pr,dir,pré,,prédir,target,p,0.0,1,r,n,pnédir,1,6,pseudo
dil,dir,r,dir,,,dir,target,r,,2,r,l,dil,3,3,pseudo
nouralisme,nourarisme,rss,nour,,al_isme,nouralisme,target,s,0.0,1,l,r,nourarisme,1,10,pseudo
osipelm,osipelm,pr,pelm,osu,,osupelm,control,p,0.0,2,u,i,osipelm,2,7,pseudo
luudta,luudta,rs,loud,,ta,loudta,control,r,,1,o,u,luudta,2,6,pseudo
miérproqu,miérproqu,ppr,roqu,mi_érp,,miérproqu,control,r,,1,o,a,miérpraqu,0,9,pseudo
milifletié,milidletié,prss,lif,mi,le_tié,milifletié,control,r,,2,f,d,milidletié,1,10,pseudo
infoirif,infoirif,prs,foir,in,if,infoirif,target,p,0.0,1,n,m,imfoirif,0,8,pseudo
naujmanemt,naujmanemt,rss,nauj,,ma_nemt,naujmanemt,control,s,0.0,1,a,i,naujminemt,0,10,pseudo
désensalor,désensalor,pprs,sal,dés_en,er,désensaler,target,s,0.0,0,e,o,désensalor,2,10,pseudo
mel,mél,r,mél,,,mél,control,r,,1,é,e,mel,3,3,pseudo
cid,cid,r,cid,,,cid,control,r,,1,i,e,ced,0,3,pseudo
redéburage,redébulage,pprs,bul,re_dé,age,redébulage,target,r,,2,l,r,redéburage,3,10,pseudo
nirentiruj,nirenpiruj,ppr,ruj,ni_renti,,nirentiruj,control,p,1.0,3,t,p,nirenpiruj,1,10,pseudo
maclatié,maclatié,rss,mac,,la_tié,maclatié,control,r,,2,c,s,maslatié,0,8,pseudo
nipelmsi,nipelmsi,prs,pelm,ni,fi,nipelmfi,control,s,0.0,0,f,s,nipelmsi,2,8,pseudo
nusmac,nusmac,pr,mac,rus,,rusmac,control,p,0.0,0,r,n,nusmac,2,6,pseudo
bulesme,bulisme,rs,bul,,isme,bulisme,target,s,0.0,0,i,e,bulesme,3,7,pseudo
errastaoin,errastaoin,prss,nas,er,ta_oin,ernastaoin,control,r,,0,n,r,errastaoin,2,10,pseudo
multidofel,multidofel,prs,dof,multi,el,multidofel,target,p,0.0,4,i,a,multadofel,0,10,pseudo
redécoit,redécoit,ppr,coit,re_dé,,redécoit,target,r,,1,o,u,redécuit,0,8,pseudo
sednimélre,sédnimélre,pprs,mél,séd_ni,re,sédnimélre,control,p,0.0,1,é,e,sednimélre,3,10,pseudo
lammac,lommac,pr,mac,lam,,lammac,control,p,0.0,1,a,o,lommac,1,6,pseudo
tôlc,tôlc,r,tôlc,,,tôlc,control,r,,3,c,t,tôlt,0,4,pseudo
rountué,rountué,rs,roun,,tié,rountié,control,s,0.0,1,i,u,rountué,2,7,pseudo
fodvitié,fodvitié,rss,fod,,vi_tié,fodvitié,control,s,0.0,1,i,u,fodvutié,0,8,pseudo
inbilalité,inbulalité,prss,bul,in,al_ité,inbulalité,target,r,,1,u,i,inbilalité,3,10,pseudo
surentert,surentert,ppr,tert,sur_en,,surentert,target,p,0.0,1,u,a,sarentert,0,9,pseudo
cortionnel,corbionnel,rss,cort,,ionn_el,cortionnel,target,r,,3,t,b,corbionnel,1,10,pseudo
micidletié,micidletié,prss,cid,mi,le_tié,micidletié,control,r,,2,d,p,micipletié,0,10,pseudo
rujune,rujure,rs,ruj,,ure,rujure,control,s,0.0,1,r,n,rujune,3,6,pseudo
onjaun,onjaun,pr,jaun,in,,injaun,target,p,0.0,0,i,o,onjaun,2,6,pseudo
nièr,nièr,r,nièr,,,nièr,target,r,,2,è,e,nier,0,4,pseudo
sédnacidre,sédnacidre,pprs,cid,séd_ne,re,sédnecidre,control,p,1.0,1,e,a,sédnacidre,2,10,pseudo
ennourunt,ennourant,prs,nour,en,ant,ennourant,target,s,0.0,0,a,u,ennourunt,3,9,pseudo
surincrus,surincrus,ppr,crus,sur_en,,surencrus,target,p,1.0,0,e,i,surincrus,2,9,pseudo
indoel,indoel,pr,doul,in,,indoul,target,r,,2,u,e,indoel,2,6,pseudo
déjurance,déjarance,prs,jur,dé,ance,déjurance,target,r,,1,u,a,déjarance,1,9,pseudo
cret,tret,r,tret,,,tret,control,r,,0,t,c,cret,3,4,pseudo
désercamer,désencamer,pprs,cam,dés_en,er,désencamer,target,p,1.0,1,n,r,désercamer,3,10,pseudo
toidta,toodta,rs,toid,,ta,toidta,control,r,,2,i,o,toodta,1,6,pseudo
indofalité,indofanité,prss,dof,in,al_ité,indofalité,target,s,0.0,1,l,n,indofanité,1,10,pseudo
reiglaeist,reiglaeist,rss,reig,,la_eist,reiglaeist,control,r,,0,r,m,meiglaeist,0,10,pseudo
répédnaej,répédnauj,ppr,nauj,rép_éd,,répédnauj,control,r,,2,u,e,répédnaej,3,9,pseudo
désenfiler,désenfiler,pprs,fil,dés_en,er,désenfiler,target,p,1.0,0,e,u,désunfiler,0,10,pseudo
nièrat,nièrat,rs,nièr,,at,nièrat,target,r,,1,i,e,neèrat,0,6,pseudo
dédicaxle,dédicable,prs,dic,dé,able,dédicable,target,s,0.0,1,b,x,dédicaxle,3,9,pseudo
rid,rid,r,rid,,,rid,control,r,,1,i,é,réd,0,3,pseudo
nilaslatié,nilaslitié,prss,las,ni,la_tié,nilaslatié,control,s,0.0,1,a,i,nilaslitié,1,10,pseudo
tuorival,tuorival,rss,quor,,iv_al,quorival,target,r,,0,q,t,tuorival,2,8,pseudo
déjaun,déjaun,pr,jaun,dé,,déjaun,target,r,,3,n,m,déjaum,0,6,pseudo
erfodtaoin,erfodtaoin,prss,fod,er,ta_oin,erfodtaoin,control,r,,2,d,p,erfoptaoin,0,10,pseudo
tioc,tooc,r,tioc,,,tioc,control,r,,1,i,o,tooc,1,4,pseudo
désanbuler,désinbuler,pprs,bul,dés_in,er,désinbuler,target,p,1.0,0,i,a,désanbuler,3,10,pseudo
dofeliste,dofeliste,rss,dof,,al_iste,dofaliste,target,s,0.0,0,a,e,dofeliste,2,9,pseudo
elédnas,elédnas,ppr,nas,er_éd,,erédnas,control,p,0.0,1,r,l,elédnas,2,7,pseudo
trevel,trével,rs,trév,,el,trével,target,r,,2,é,e,trevel,3,6,pseudo
requorage,requorage,prs,quor,re,age,requorage,target,p,0.0,0,r,l,lequorage,0,9,pseudo
maldec,maldic,pr,dic,mal,,maldic,target,r,,1,i,e,maldec,3,6,pseudo
roif,roip,r,roif,,,roif,control,r,,3,f,p,roip,1,4,pseudo
imdofif,imdofif,prs,dof,in,if,indofif,target,p,0.0,1,n,m,imdofif,2,7,pseudo
rusvért,rusvért,pr,vért,rus,,rusvért,control,p,0.0,0,r,l,lusvért,0,7,pseudo
némionnel,némionnel,rss,lém,,ionn_el,lémionnel,target,r,,0,l,n,némionnel,2,9,pseudo
doulité,doelité,rs,doul,,ité,doulité,target,r,,2,u,e,doelité,1,7,pseudo
miérpruj,riérpruj,ppr,ruj,mi_érp,,miérpruj,control,p,0.0,0,m,r,riérpruj,1,8,pseudo
sédninifre,sédnilifre,pprs,lif,séd_ni,re,sédnilifre,control,r,,0,l,n,sédninifre,3,10,pseudo
insamalité,incamalité,prss,cam,in,al_ité,incamalité,target,r,,0,c,s,insamalité,3,10,pseudo
nortta,nortta,rs,nort,,ta,nortta,control,s,0.0,1,a,o,nortto,0,6,pseudo
désinjurer,désimjurer,pprs,jur,dés_in,er,désinjurer,target,p,1.0,1,n,m,désimjurer,1,10,pseudo
érpervért,érpervért,ppr,vért,érp_er,,érpervért,control,p,1.0,0,e,é,érpérvért,0,9,pseudo
mac,mic,r,mac,,,mac,control,r,,1,a,i,mic,1,3,pseudo
nonclôt,nonclôt,pr,clôt,non,,nonclôt,target,r,,2,ô,e,nonclet,0,7,pseudo
rusmidle,rusridle,prs,rid,rus,le,rusridle,control,r,,0,r,m,rusmidle,3,8,pseudo
lubinnole,mubinnole,rss,lub,,inno_le,lubinnole,control,r,,0,l,m,mubinnole,1,9,pseudo
insanalité,insanalité,prss,san,in,al_ité,insanalité,target,s,0.0,0,a,u,insanulité,0,10,pseudo
éstoideag,édtoideag,prs,toid,éd,eag,édtoideag,control,p,0.0,1,d,s,éstoideag,3,9,pseudo
irdicelité,irdicelité,prss,dic,in,el_ité,indicelité,target,p,0.0,1,n,r,irdicelité,2,10,pseudo
nas,nas,r,nas,,,nas,control,r,,1,a,u,nus,0,3,pseudo
goiralisme,goiralisme,rss,foir,,al_isme,foiralisme,target,r,,0,f,g,goiralisme,2,10,pseudo
impréfoir,impréfoir,ppr,foir,im_pré,,impréfoir,target,p,0.0,0,i,e,empréfoir,0,9,pseudo
désinseler,désinsaler,pprs,sal,dés_in,er,désinsaler,target,r,,1,a,e,désinseler,3,10,pseudo
soudoul,suudoul,pr,doul,sou,,soudoul,target,p,0.0,1,o,u,suudoul,1,7,pseudo
naujnet,naejnet,rs,nauj,,net,naujnet,control,r,,2,u,e,naejnet,1,7,pseudo
indilivité,infilivité,prss,fil,in,iv_ité,infilivité,target,r,,0,f,d,indilivité,3,10,pseudo
protrév,procrév,pr,trév,pro,,protrév,target,r,,0,t,c,procrév,1,7,pseudo
sretni,tretni,rs,tret,,ni,tretni,control,r,,0,t,s,sretni,3,6,pseudo
préredoul,préredoal,ppr,doul,pré_re,,préredoul,target,r,,2,u,a,préredoal,1,9,pseudo
nujlaisem,rujlaisem,rss,ruj,,la_isem,rujlaisem,control,r,,0,r,n,nujlaisem,3,9,pseudo
redécilage,redéfilage,pprs,fil,re_dé,age,redéfilage,target,r,,0,f,c,redécilage,3,10,pseudo
redihat,redihat,prs,dic,re,at,redicat,target,r,,2,c,h,redihat,2,7,pseudo
lat,las,r,las,,,las,control,r,,2,s,t,lat,3,3,pseudo
sétnenasre,sétnenasre,pprs,nas,séd_ne,re,sédnenasre,control,p,0.0,2,d,t,sétnenasre,2,10,pseudo
dicaluste,dicaliste,rss,dic,,al_iste,dicaliste,target,s,1.0,0,i,u,dicaluste,3,9,pseudo
tjenconort,tjenconort,pr,nort,trenco,,trenconort,control,p,0.0,1,r,j,tjenconort,2,10,pseudo
épcidoin,épcidoin,prs,cid,éd,oin,édcidoin,control,p,0.0,1,d,p,épcidoin,2,8,pseudo
minassitié,minasvitié,prss,nas,mi,vi_tié,minasvitié,control,s,0.0,0,v,s,minassitié,3,10,pseudo
gurc,gurc,r,surc,,,surc,control,r,,0,s,g,gurc,2,4,pseudo
miérpnas,miérpnas,ppr,nas,mi_érp,,miérpnas,control,p,1.0,1,r,l,miélpnas,0,8,pseudo
