first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
huoralité,quoralité,rss,quor,,al_ité,quoralité,target,r,,0,q,h,huoralité,3,9,pseudo
jur,jur,r,jur,,,jur,target,r,,2,r,l,jul,0,3,pseudo
préretuél,prérutuél,ppr,tuél,pré_re,,préretuél,target,p,1.0,1,e,u,prérutuél,1,9,pseudo
jaisité,jaigité,rs,jais,,ité,jaisité,target,r,,3,s,g,jaigité,1,7,pseudo
natrec,netrec,pr,trec,ne,,netrec,control,p,0.0,1,e,a,natrec,3,6,pseudo
édrouleag,édrouneag,prs,roun,éd,eag,édrouneag,control,r,,3,n,l,édrouleag,3,9,pseudo
roqu,roqu,r,roqu,,,roqu,control,r,,3,u,e,roqe,0,4,pseudo
replemoon,replemoon,prs,plem,re,ion,replemion,target,s,0.0,0,i,o,replemoon,2,9,pseudo
recamazion,recamazion,prss,cam,re,at_ion,recamation,target,s,0.0,1,t,z,recamazion,2,10,pseudo
désenbulel,désenbuler,pprs,bul,dés_en,er,désenbuler,target,s,0.0,1,r,l,désenbulel,3,10,pseudo
suorique,suorique,rs,quor,,ique,quorique,target,r,,0,q,s,suorique,2,8,pseudo
eréstôlc,erédtôlc,ppr,tôlc,er_éd,,erédtôlc,control,p,1.0,1,d,s,eréstôlc,3,8,pseudo
jaunionnel,jaunionnel,rss,jaun,,ionn_el,jaunionnel,target,s,0.0,1,o,ê,jauniênnel,0,10,pseudo
serclôt,serclôt,pr,clôt,sur,,surclôt,target,p,0.0,1,u,e,serclôt,2,7,pseudo
diraloté,diralité,rss,dir,,al_ité,diralité,target,s,1.0,0,i,o,diraloté,3,8,pseudo
préregeer,préregeer,ppr,gier,pré_re,,préregier,target,r,,1,i,e,préregeer,2,9,pseudo
désenlémer,désenlémer,pprs,lém,dés_en,er,désenlémer,target,r,,0,l,y,désenyémer,0,10,pseudo
reigfi,reigfi,rs,reig,,fi,reigfi,control,s,0.0,0,f,t,reigti,0,6,pseudo
taniroun,taliroun,pr,roun,tani,,taniroun,control,p,0.0,2,n,l,taliroun,1,8,pseudo
crôt,clôt,r,clôt,,,clôt,target,r,,1,l,r,crôt,3,4,pseudo
édlibeag,édlibeag,prs,lub,éd,eag,édlubeag,control,r,,1,u,i,édlibeag,2,8,pseudo
iljurelité,iljurelité,prss,jur,in,el_ité,injurelité,target,p,0.0,1,n,l,iljurelité,2,10,pseudo
tertit,tertif,rs,tert,,if,tertif,target,s,0.0,1,f,t,tertit,3,6,pseudo
lamloud,lamlouz,pr,loud,lam,,lamloud,control,r,,3,d,z,lamlouz,1,7,pseudo
sunenplem,surenplem,ppr,plem,sur_en,,surenplem,target,p,0.0,2,r,n,sunenplem,3,9,pseudo
doulivité,doulivité,rss,doul,,iv_ité,doulivité,target,s,0.0,1,v,t,doulitité,0,9,pseudo
désindêrer,désindirer,pprs,dir,dés_in,er,désindirer,target,r,,1,i,ê,désindêrer,3,10,pseudo
insanavité,insanivité,prss,san,in,iv_ité,insanivité,target,s,0.0,0,i,a,insanavité,3,10,pseudo
incrusil,incrusil,prs,crus,in,el,incrusel,target,s,0.0,0,e,i,incrusil,2,8,pseudo
reag,reig,r,reig,,,reig,control,r,,2,i,a,reag,3,4,pseudo
erédlubeag,erudlubeag,pprs,lub,er_éd,eag,erédlubeag,control,p,1.0,0,é,u,erudlubeag,1,10,pseudo
roifequi,roifequi,rs,roif,,equi,roifequi,control,r,,1,o,e,reifequi,0,8,pseudo
érperroqu,érpelroqu,ppr,roqu,érp_er,,érperroqu,control,p,1.0,1,r,l,érpelroqu,1,9,pseudo
meridvitié,miridvitié,prss,rid,mi,vi_tié,miridvitié,control,p,0.0,1,i,e,meridvitié,3,10,pseudo
cidlatio,cidlatio,rss,cid,,la_tié,cidlatié,control,s,1.0,2,é,o,cidlatio,2,8,pseudo
las,nas,r,nas,,,nas,control,r,,0,n,l,las,3,3,pseudo
refulant,refilant,prs,fil,re,ant,refilant,target,r,,1,i,u,refulant,3,8,pseudo
codic,cosic,pr,dic,co,,codic,target,r,,0,d,s,cosic,1,5,pseudo
naujinnole,naujônnole,rss,nauj,,inno_le,naujinnole,control,s,0.0,0,i,ô,naujônnole,1,10,pseudo
ocnort,ocrort,pr,nort,oc,,ocnort,control,r,,0,n,r,ocrort,1,6,pseudo
entuélent,entuélant,prs,tuél,en,ant,entuélant,target,s,0.0,0,a,e,entuélent,3,9,pseudo
niliflatié,niliflatié,prss,lif,ni,la_tié,niliflatié,control,r,,0,l,n,niniflatié,0,10,pseudo
trév,trév,r,trév,,,trév,target,r,,1,r,n,tnév,0,4,pseudo
léottié,léottié,rs,léut,,tié,léuttié,control,r,,2,u,o,léottié,2,7,pseudo
sédninacre,sédninacre,pprs,mac,séd_ni,re,sédnimacre,control,r,,0,m,n,sédninacre,2,10,pseudo
érpemfod,érpemfod,ppr,fod,érp_er,,érperfod,control,p,1.0,1,r,m,érpemfod,2,8,pseudo
redejaun,redéjaun,ppr,jaun,re_dé,,redéjaun,target,p,1.0,1,é,e,redejaun,3,8,pseudo
diotalisme,diotalisme,rss,diot,,al_isme,diotalisme,target,r,,3,t,d,diodalisme,0,10,pseudo
erlubtaoin,erlubtaoin,prss,lub,er,ta_oin,erlubtaoin,control,s,1.0,1,i,e,erlubtaoen,0,10,pseudo
centresan,contresan,pr,san,contre,,contresan,target,p,0.0,1,o,e,centresan,3,9,pseudo
roquteé,roqutié,rs,roqu,,tié,roqutié,control,s,0.0,1,i,e,roquteé,3,7,pseudo
sésnenasre,sésnenasre,pprs,nas,séd_ne,re,sédnenasre,control,p,0.0,2,d,s,sésnenasre,2,10,pseudo
dort,dort,r,cort,,,cort,target,r,,0,c,d,dort,2,4,pseudo
indicable,indicaqle,prs,dic,in,able,indicable,target,s,0.0,1,b,q,indicaqle,1,9,pseudo
celmnat,celmnat,rs,pelm,,nat,pelmnat,control,r,,0,p,c,celmnat,2,7,pseudo
diotivité,diotivité,rss,diot,,iv_ité,diotivité,target,s,0.0,0,i,e,diotevité,0,9,pseudo
nenaujedu,nenaujedu,prs,nauj,ni,edu,ninaujedu,control,p,0.0,1,i,e,nenaujedu,2,9,pseudo
érpernas,érpérnas,ppr,nas,érp_er,,érpernas,control,p,1.0,0,e,é,érpérnas,1,8,pseudo
erédliveag,erédliveag,pprs,lif,er_éd,eag,erédlifeag,control,r,,2,f,v,erédliveag,2,10,pseudo
quor,quor,r,quor,,,quor,target,r,,0,q,p,puor,0,4,pseudo
souplem,souplen,pr,plem,sou,,souplem,target,r,,3,m,n,souplen,1,7,pseudo
nilubletié,nilublatié,prss,lub,ni,la_tié,nilublatié,control,s,0.0,1,a,e,nilubletié,3,10,pseudo
