first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
surlémant,surlémant,prs,lém,sur,ant,surlémant,target,p,0.0,1,u,o,sorlémant,0,9,pseudo
niléut,niléet,pr,léut,ni,,niléut,control,r,,2,u,e,niléet,1,6,pseudo
tnoclaeist,tnoclaeist,rss,troc,,la_eist,troclaeist,control,r,,1,r,n,tnoclaeist,2,10,pseudo
erméltaoin,erméltaoin,prss,mél,er,ta_oin,erméltaoin,control,s,0.0,0,t,f,ermélfaoin,0,10,pseudo
rocamation,rocamation,prss,cam,re,at_ion,recamation,target,p,0.0,1,e,o,rocamation,2,10,pseudo
trectio,trectié,rs,trec,,tié,trectié,control,s,0.0,2,é,o,trectio,3,7,pseudo
coitmend,coitment,rs,coit,,ment,coitment,target,s,0.0,3,t,d,coitmend,3,8,pseudo
doulamment,doulamment,rss,doul,,am_ment,doulamment,target,s,1.0,2,n,j,doulammejt,0,10,pseudo
trec,trec,r,trec,,,trec,control,r,,3,c,p,trep,0,4,pseudo
milubletié,milubletié,prss,lub,mi,le_tié,milubletié,control,p,0.0,1,i,e,melubletié,0,10,pseudo
cid,cid,r,cid,,,cid,control,r,,1,i,a,cad,0,3,pseudo
redécamage,redécamage,pprs,cam,re_dé,age,redécamage,target,s,0.0,1,g,d,redécamade,0,10,pseudo
sédninasre,sédninasre,pprs,nas,séd_ni,re,sédninasre,control,r,,0,n,l,sédnilasre,0,10,pseudo
sédneridne,sédneridre,pprs,rid,séd_ne,re,sédneridre,control,s,0.0,0,r,n,sédneridne,3,10,pseudo
trep,tret,r,tret,,,tret,control,r,,3,t,p,trep,3,4,pseudo
ridlaeist,ridlaeist,rss,rid,,la_eist,ridlaeist,control,r,,2,d,c,riclaeist,0,9,pseudo
orédcideag,orédcideag,pprs,cid,er_éd,eag,erédcideag,control,p,0.0,0,e,o,orédcideag,2,10,pseudo
niluqlatié,niluqlatié,prss,lub,ni,la_tié,nilublatié,control,r,,2,b,q,niluqlatié,2,10,pseudo
necidlatié,necidlatié,prss,cid,ni,la_tié,nicidlatié,control,p,0.0,1,i,e,necidlatié,2,10,pseudo
deotion,deotion,rs,diot,,ion,diotion,target,r,,1,i,e,deotion,2,7,pseudo
