first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
pridédoul,prédédoul,ppr,doul,pré_dé,,prédédoul,target,p,0.0,2,é,i,pridédoul,3,9,pseudo
céjauneur,céjauneur,prs,jaun,dé,eur,déjauneur,target,p,0.0,0,d,c,céjauneur,2,9,pseudo
minaslétié,minasletié,prss,nas,mi,le_tié,minasletié,control,s,0.0,1,e,é,minaslétié,3,10,pseudo
jaen,jaun,r,jaun,,,jaun,target,r,,2,u,e,jaen,3,4,pseudo
loudtié,loudtié,rs,loud,,tié,loudtié,control,s,0.0,0,t,p,loudpié,0,7,pseudo
répmauj,répnauj,pr,nauj,rép,,répnauj,control,r,,0,n,m,répmauj,3,7,pseudo
erédmideag,erédrideag,pprs,rid,er_éd,eag,erédrideag,control,r,,0,r,m,erédmideag,3,10,pseudo
snalidal,snalival,rss,snal,,iv_al,snalival,target,s,0.0,1,v,d,snalidal,3,8,pseudo
redédofate,redédofage,pprs,dof,re_dé,age,redédofage,target,s,0.0,1,g,t,redédofate,3,10,pseudo
resnamment,resnamment,prs,snal,re,ment,resnalment,target,r,,3,l,m,resnamment,2,10,pseudo
urédlif,urédlif,ppr,lif,er_éd,,erédlif,control,p,0.0,0,e,u,urédlif,2,7,pseudo
indirelité,ildirelité,prss,dir,in,el_ité,indirelité,target,p,0.0,1,n,l,ildirelité,1,10,pseudo
douj,doul,r,doul,,,doul,target,r,,3,l,j,douj,3,4,pseudo
saijisem,saajisem,rs,saij,,isem,saijisem,control,r,,2,i,a,saajisem,1,8,pseudo
pelmennole,pelminnole,rss,pelm,,inno_le,pelminnole,control,s,0.0,0,i,e,pelmennole,3,10,pseudo
internièr,internuèr,pr,nièr,inter,,internièr,target,r,,1,i,u,internuèr,1,9,pseudo
tôlcinnolo,tôlcinnole,rss,tôlc,,inno_le,tôlcinnole,control,s,1.0,1,e,o,tôlcinnolo,3,10,pseudo
unsalalité,unsalalité,prss,sal,in,al_ité,insalalité,target,p,0.0,0,i,u,unsalalité,2,10,pseudo
répédroqu,répédroqu,ppr,roqu,rép_éd,,répédroqu,control,r,,0,r,n,répédnoqu,0,9,pseudo
riènta,riènta,rs,rièn,,ta,riènta,control,r,,3,n,r,rièrta,0,6,pseudo
noum,nour,r,nour,,,nour,target,r,,3,r,m,noum,3,4,pseudo
redadirage,redadirage,pprs,dir,re_dé,age,redédirage,target,p,1.0,1,é,a,redadirage,2,10,pseudo
nifodarie,nifodarie,prs,fod,ni,arie,nifodarie,control,p,0.0,0,n,r,rifodarie,0,9,pseudo
rentinaul,rentinaul,pr,nauj,renti,,rentinauj,control,r,,3,j,l,rentinaul,2,9,pseudo
nilubalbe,nilubelbe,prs,lub,ni,albe,nilubalbe,control,s,0.0,0,a,e,nilubelbe,1,9,pseudo
érterlans,érperlans,ppr,lans,érp_er,,érperlans,control,p,0.0,2,p,t,érterlans,3,9,pseudo
coitert,coitert,rs,coit,,ent,coitent,target,s,0.0,1,n,r,coitert,2,7,pseudo
quol,quol,r,quor,,,quor,target,r,,3,r,l,quol,2,4,pseudo
indarivité,indarivité,prss,dir,in,iv_ité,indirivité,target,r,,1,i,a,indarivité,2,10,pseudo
déseldirer,déseldirer,pprs,dir,dés_en,er,désendirer,target,p,1.0,1,n,l,déseldirer,2,10,pseudo
sydtelc,sydtelc,pr,tôlc,syd,,sydtôlc,control,r,,1,ô,e,sydtelc,2,7,pseudo
lasinlole,lasinnole,rss,las,,inno_le,lasinnole,control,s,0.0,2,n,l,lasinlole,3,9,pseudo
répédsod,répédsod,ppr,fod,rép_éd,,répédfod,control,r,,0,f,s,répédsod,2,8,pseudo
sadnirujre,sédnirujre,pprs,ruj,séd_ni,re,sédnirujre,control,p,0.0,1,é,a,sadnirujre,3,10,pseudo
loun,roun,r,roun,,,roun,control,r,,0,r,l,loun,3,4,pseudo
quoralitû,quoralitû,rss,quor,,al_ité,quoralité,target,s,1.0,2,é,û,quoralitû,2,9,pseudo
camiv,camif,rs,cam,,if,camif,target,s,0.0,1,f,v,camiv,3,5,pseudo
régierant,régierant,prs,gier,re,ant,regierant,target,p,0.0,1,e,é,régierant,2,9,pseudo
tanivért,qanivért,pr,vért,tani,,tanivért,control,p,0.0,0,t,q,qanivért,1,8,pseudo
insanivité,insanivité,prss,san,in,iv_ité,insanivité,target,r,,1,a,e,insenivité,0,10,pseudo
tronas,tronas,rs,tron,,at,tronat,target,s,0.0,1,t,s,tronas,2,6,pseudo
naujinnole,naujinnone,rss,nauj,,inno_le,naujinnole,control,s,1.0,0,l,n,naujinnone,1,10,pseudo
coit,poit,r,coit,,,coit,target,r,,0,c,p,poit,1,4,pseudo
ritoidéti,ritoidéti,prs,toid,ni,éti,nitoidéti,control,p,0.0,0,n,r,ritoidéti,2,9,pseudo
erédroun,erédroun,ppr,roun,er_éd,,erédroun,control,p,1.0,1,d,t,erétroun,0,8,pseudo
désensaner,désensaner,pprs,san,dés_en,er,désensaner,target,r,,0,s,c,désencaner,0,10,pseudo
indofalité,indifalité,prss,dof,in,al_ité,indofalité,target,r,,1,o,i,indifalité,1,10,pseudo
sursoir,surfoir,pr,foir,sur,,surfoir,target,r,,0,f,s,sursoir,3,7,pseudo
nont,nort,r,nort,,,nort,control,r,,2,r,n,nont,3,4,pseudo
niméléti,liméléti,prs,mél,ni,éti,niméléti,control,p,0.0,0,n,l,liméléti,1,8,pseudo
trévionnel,trévionnel,rss,trév,,ionn_el,trévionnel,target,s,1.0,1,l,n,trévionnen,0,10,pseudo
redatuél,redétuél,ppr,tuél,re_dé,,redétuél,target,p,1.0,1,é,a,redatuél,3,8,pseudo
nifodlatio,nifodlatié,prss,fod,ni,la_tié,nifodlatié,control,s,1.0,2,é,o,nifodlatio,3,10,pseudo
erédcideag,erédcedeag,pprs,cid,er_éd,eag,erédcideag,control,r,,1,i,e,erédcedeag,1,10,pseudo
imdoil,imdoul,pr,doul,im,,imdoul,target,r,,2,u,i,imdoil,3,6,pseudo
macte,macta,rs,mac,,ta,macta,control,s,0.0,1,a,e,macte,3,5,pseudo
onnluj,onnruj,pr,ruj,onn,,onnruj,control,r,,0,r,l,onnluj,3,6,pseudo
