first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
déserdirer,désendirer,pprs,dir,dés_en,er,désendirer,target,p,1.0,1,n,r,déserdirer,3,10,pseudo
trec,trec,r,trec,,,trec,control,r,,1,r,m,tmec,0,4,pseudo
trocvila,trocvila,rss,troc,,vi_la,trocvila,control,r,,1,r,l,tlocvila,0,8,pseudo
mirujvitié,mirujvitié,prss,ruj,mi,vi_tié,mirujvitié,control,p,0.0,0,m,l,lirujvitié,0,10,pseudo
prérediot,prerediot,ppr,diot,pré_re,,prérediot,target,p,0.0,2,é,e,prerediot,1,9,pseudo
noureque,nourique,rs,nour,,ique,nourique,target,s,0.0,0,i,e,noureque,3,8,pseudo
occid,ocvid,pr,cid,oc,,occid,control,r,,0,c,v,ocvid,1,5,pseudo
erlarseru,erlanseru,prs,lans,er,eru,erlanseru,control,r,,2,n,r,erlarseru,3,9,pseudo
snal,snal,r,snal,,,snal,target,r,,0,s,q,qnal,0,4,pseudo
nacinnole,macinnole,rss,mac,,inno_le,macinnole,control,r,,0,m,n,nacinnole,3,9,pseudo
édtôlcnemt,édtôlcnemt,prs,tôlc,éd,nemt,édtôlcnemt,control,p,0.0,1,d,g,égtôlcnemt,0,10,pseudo
indofivité,indofivité,prss,dof,in,iv_ité,indofivité,target,s,0.0,1,v,d,indofidité,0,10,pseudo
codof,codof,pr,dof,co,,codof,target,p,0.0,1,o,e,cedof,0,5,pseudo
hédneridre,sédneridre,pprs,rid,séd_ne,re,sédneridre,control,p,0.0,0,s,h,hédneridre,3,10,pseudo
mépédlas,répédlas,ppr,las,rép_éd,,répédlas,control,p,0.0,0,r,m,mépédlas,3,8,pseudo
toidequi,toideqai,rs,toid,,equi,toidequi,control,s,0.0,2,u,a,toideqai,1,8,pseudo
érperléut,erperléut,ppr,léut,érp_er,,érperléut,control,p,0.0,0,é,e,erperléut,1,9,pseudo
dioseuse,dioseuse,rs,diot,,euse,dioteuse,target,r,,3,t,s,dioseuse,2,8,pseudo
invnalent,invnalent,prs,snal,in,ent,insnalent,target,r,,0,s,v,invnalent,2,9,pseudo
tioc,tiec,r,tioc,,,tioc,control,r,,2,o,e,tiec,1,4,pseudo
inbulivité,imbulivité,prss,bul,in,iv_ité,inbulivité,target,p,0.0,1,n,m,imbulivité,1,10,pseudo
roproif,roproif,pr,roif,rop,,roproif,control,r,,1,o,e,ropreif,0,7,pseudo
sédnefodre,sédnedodre,pprs,fod,séd_ne,re,sédnefodre,control,r,,0,f,d,sédnedodre,1,10,pseudo
tnetlaisem,tretlaisem,rss,tret,,la_isem,tretlaisem,control,r,,1,r,n,tnetlaisem,3,10,pseudo
désindirer,désindirer,pprs,dir,dés_in,er,désindirer,target,s,0.0,1,r,n,désindiren,0,10,pseudo
plemalismo,plemalisme,rss,plem,,al_isme,plemalisme,target,s,1.0,3,e,o,plemalismo,3,10,pseudo
mimacvitié,mimakvitié,prss,mac,mi,vi_tié,mimacvitié,control,r,,2,c,k,mimakvitié,1,10,pseudo
dédicment,dédicmint,prs,dic,dé,ment,dédicment,target,s,0.0,1,e,i,dédicmint,1,9,pseudo
diot,deot,r,diot,,,diot,target,r,,1,i,e,deot,1,4,pseudo
diotar,dioter,rs,diot,,er,dioter,target,s,0.0,0,e,a,diotar,3,6,pseudo
trencoroif,tnencoroif,pr,roif,trenco,,trencoroif,control,p,0.0,1,r,n,tnencoroif,1,10,pseudo
surenbul,surentul,ppr,bul,sur_en,,surenbul,target,r,,0,b,t,surentul,1,8,pseudo
ledéfilage,redéfilage,pprs,fil,re_dé,age,redéfilage,target,p,0.0,0,r,l,ledéfilage,3,10,pseudo
recoit,recoit,pr,coit,re,,recoit,target,r,,0,c,d,redoit,0,6,pseudo
cam,cam,r,cam,,,cam,target,r,,1,a,e,cem,0,3,pseudo
édfoderu,édfoderu,prs,fod,éd,eru,édfoderu,control,p,0.0,1,d,s,ésfoderu,0,8,pseudo
salert,salert,rs,sal,,ent,salent,target,s,0.0,1,n,r,salert,2,6,pseudo
roqelatié,roqelatié,rss,roqu,,la_tié,roqulatié,control,r,,3,u,e,roqelatié,2,9,pseudo
milasnetié,milasnetié,prss,las,mi,le_tié,milasletié,control,s,0.0,0,l,n,milasnetié,2,10,pseudo
préresal,préresal,ppr,sal,pré_re,,préresal,target,p,1.0,1,e,a,prérasal,0,8,pseudo
troc,troc,r,troc,,,troc,control,r,,3,c,s,tros,0,4,pseudo
érpemnort,érpernort,ppr,nort,érp_er,,érpernort,control,p,1.0,1,r,m,érpemnort,3,9,pseudo
infilalité,infilalité,prss,fil,in,al_ité,infilalité,target,p,0.0,0,i,e,enfilalité,0,10,pseudo
