first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
tallest,tallest,rs,,tall,est,tallest,target,s,0.0,0,e,u,tallust,0,7,real
expett,expett,r,,expect,,expect,control,r,,4,c,t,expett,2,6,real
axtract,axtract,pr,ex,tract,,extract,target,p,0.0,0,e,a,axtract,2,7,real
frinciple,frinciple,r,,principle,,principle,control,r,,0,p,f,frinciple,2,9,real
devolue,devolue,pr,de,value,,devalue,target,r,,1,a,o,devolue,2,7,real
countrm,country,r,,country,,country,control,r,,6,y,m,countrm,3,7,real
difficult,difficult,r,,difficult,,difficult,control,r,,7,l,r,difficurt,0,9,real
rainstate,reinstate,ppr,re_in,state,,reinstate,target,p,0.0,1,e,a,rainstate,3,9,real
uncut,uncut,pr,un,cut,,uncut,target,p,0.0,0,u,i,incut,0,5,real
homeless,homewess,rs,,home,less,homeless,target,s,0.0,0,l,w,homewess,1,8,real
digrade,digrade,pr,de,grade,,degrade,target,p,0.0,1,e,i,digrade,2,7,real
gifthly,gifthly,rss,,fif,th_ly,fifthly,target,r,,0,f,g,gifthly,2,7,real
heroical,teroical,rss,,hero,ic_al,heroical,target,r,,0,h,t,teroical,1,8,real
chameleon,chaleleon,r,,chameleon,,chameleon,control,r,,3,m,l,chaleleon,1,9,real
transwator,translator,rs,,translat,or,translator,target,r,,5,l,w,transwator,3,10,real
enjoyment,enjoyment,prs,en,joy,ment,enjoyment,target,p,0.0,0,e,a,anjoyment,0,9,real
womanider,womanider,rss,,woman,iz_er,womanizer,target,s,0.0,1,z,d,womanider,2,9,real
disembars,disembark,ppr,dis_em,bark,,disembark,target,r,,3,k,s,disembars,3,9,real
marijuana,marijuana,r,,marijuana,,marijuana,control,r,,6,a,o,marijuona,0,9,real
sixthlr,sixthlr,rss,,six,th_ly,sixthly,target,s,1.0,1,y,r,sixthlr,2,7,real
tartness,tartness,rs,,tart,ness,tartness,target,s,0.0,3,s,g,tartnesg,0,8,real
silhouette,silhouette,r,,silhouette,,silhouette,control,r,,8,t,v,silhouetve,0,10,real
small,small,r,,small,,small,control,r,,3,l,y,smayl,0,5,real
remisalihn,remisalign,ppr,re_mis,align,,remisalign,target,r,,3,g,h,remisalihn,3,10,real
tinthly,tenthly,rss,,ten,th_ly,tenthly,target,r,,1,e,i,tinthly,3,7,real
reovercook,reovercoot,ppr,re_over,cook,,reovercook,target,r,,3,k,t,reovercoot,1,10,real
reimporp,reimport,ppr,re_im,port,,reimport,target,r,,3,t,p,reimporp,3,8,real
undisguise,undisguise,ppr,un_dis,guise,,undisguise,target,r,,4,e,i,undisguisi,0,10,real
procmeate,procmeate,pr,pro,create,,procreate,target,r,,1,r,m,procmeate,2,9,real
shenanegan,shenanigan,r,,shenanigan,,shenanigan,control,r,,6,i,e,shenanegan,3,10,real
reviewer,reviewer,prs,re,view,er,reviewer,target,s,0.0,0,e,i,reviewir,0,8,real
aktor,actor,rs,,act,or,actor,target,r,,1,c,k,aktor,3,5,real
hecrete,hecrete,r,,secrete,,secrete,control,r,,0,s,h,hecrete,2,7,real
labour,laboor,r,,labour,,labour,control,r,,4,u,o,laboor,1,6,real
boulevard,boulevard,r,,boulevard,,boulevard,control,r,,6,a,e,bouleverd,0,9,real
heddle,heddle,r,,peddle,,peddle,control,r,,0,p,h,heddle,2,6,real
fatally,fatally,rss,,fat,al_ly,fatally,target,r,,1,a,u,futally,0,7,real
artellery,artillery,r,,artillery,,artillery,control,r,,3,i,e,artellery,3,9,real
