first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
principle,principle,r,,principle,,principle,control,r,,4,c,g,pringiple,0,9,real
softly,softly,rs,,soft,ly,softly,target,r,,2,f,t,sottly,0,6,real
still,still,r,,stall,,stall,control,r,,2,a,i,still,2,5,real
commune,commune,r,,commune,,commune,control,r,,1,o,a,cammune,0,7,real
tearless,tearless,rs,,tear,less,tearless,target,s,0.0,0,l,m,tearmess,0,8,real
accomplice,accomplite,r,,accomplice,,accomplice,control,r,,8,c,t,accomplite,1,10,real
desembowel,disembowel,ppr,dis_em,bowel,,disembowel,target,p,0.0,1,i,e,desembowel,3,10,real
satellite,satellihe,r,,satellite,,satellite,control,r,,7,t,h,satellihe,1,9,real
youthfully,youtsfully,rss,,youth,ful_ly,youthfully,target,r,,4,h,s,youtsfully,1,10,real
overstep,overstep,pr,over,step,,overstep,target,r,,2,e,o,overstop,0,8,real
premesuse,premesuse,ppr,pre_mis,use,,premisuse,target,p,1.0,1,i,e,premesuse,2,9,real
class,cmass,r,,class,,class,control,r,,1,l,m,cmass,1,5,real
degrade,degrade,pr,de,grade,,degrade,target,r,,0,g,t,detrade,0,7,real
surprise,surprise,r,,surprise,,surprise,control,r,,4,r,m,surpmise,0,8,real
unlawful,unlawfol,prs,un,law,ful,unlawful,target,s,0.0,1,u,o,unlawfol,1,8,real
tambourine,tamtourine,r,,tambourine,,tambourine,control,r,,3,b,t,tamtourine,1,10,real
street,streeh,r,,street,,street,control,r,,5,t,h,streeh,1,6,real
marijuana,marijuana,r,,marijuana,,marijuana,control,r,,5,u,i,marijiana,0,9,real
nepaint,repaint,pr,re,paint,,repaint,target,p,0.0,0,r,n,nepaint,3,7,real
cistrict,cistrict,r,,district,,district,control,r,,0,d,c,cistrict,2,8,real
benefit,benefit,r,,benefit,,benefit,control,r,,1,e,a,banefit,0,7,real
outperform,outperform,pr,out,perform,,outperform,target,r,,1,e,u,outpurform,0,10,real
reviewer,reviewir,prs,re,view,er,reviewer,target,s,0.0,0,e,i,reviewir,1,8,real
complete,corplete,r,,complete,,complete,control,r,,2,m,r,corplete,1,8,real
redisagree,redisagmee,ppr,re_dis,agree,,redisagree,target,r,,2,r,m,redisagmee,1,10,real
waefully,woefully,rss,,woe,ful_ly,woefully,target,r,,1,o,a,waefully,3,8,real
oetshine,oetshine,pr,out,shine,,outshine,target,p,0.0,1,u,e,oetshine,2,8,real
rejevenate,rejevenate,prs,re,juven,ate,rejuvenate,target,r,,1,u,e,rejevenate,2,10,real
restaurant,restaurant,r,,restaurant,,restaurant,control,r,,0,r,y,yestaurant,0,10,real
unmindful,onmindful,prs,un,mind,ful,unmindful,target,p,0.0,0,u,o,onmindful,1,9,real
difficult,difficult,r,,difficult,,difficult,control,r,,5,c,k,diffikult,0,9,real
agree,agree,r,,agree,,agree,control,r,,0,a,e,egree,0,5,real
ipholder,upholder,prs,up,hold,er,upholder,target,p,0.0,0,u,i,ipholder,3,8,real
stronge,strange,r,,strange,,strange,control,r,,3,a,o,stronge,3,7,real
reinforce,meinforce,ppr,re_in,force,,reinforce,target,p,0.0,0,r,m,meinforce,1,9,real
