first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
soarness,soarness,rs,,sour,ness,sourness,target,r,,2,u,a,soarness,2,8,real
calendar,calentar,r,,calendar,,calendar,control,r,,5,d,t,calentar,1,8,real
chincholla,chincholla,r,,chinchilla,,chinchilla,control,r,,6,i,o,chincholla,2,10,real
account,account,r,,account,,account,control,r,,3,o,e,acceunt,0,7,real
disembowel,dusembowel,ppr,dis_em,bowel,,disembowel,target,p,0.0,1,i,u,dusembowel,1,10,real
immersian,immersion,prs,im,mers,ion,immersion,target,s,0.0,1,o,a,immersian,3,9,real
conterse,converse,r,,converse,,converse,control,r,,3,v,t,conterse,3,8,real
axercise,axercise,r,,exercise,,exercise,control,r,,0,e,a,axercise,2,8,real
phenomenon,phenomenon,r,,phenomenon,,phenomenon,control,r,,6,e,a,phenomanon,0,10,real
onhappier,onhappier,prs,un,happ,ier,unhappier,target,p,0.0,0,u,o,onhappier,2,9,real
willfully,willfullm,rss,,will,ful_ly,willfully,target,s,1.0,1,y,m,willfullm,1,9,real
cartridge,cartricge,r,,cartridge,,cartridge,control,r,,6,d,c,cartricge,1,9,real
unfairwy,unfairly,prs,un,fair,ly,unfairly,target,s,0.0,0,l,w,unfairwy,3,8,real
friind,friind,r,,friend,,friend,control,r,,3,e,i,friind,2,6,real
accomplice,accomplece,r,,accomplice,,accomplice,control,r,,7,i,e,accomplece,1,10,real
welcime,welcime,r,,welcome,,welcome,control,r,,4,o,i,welcime,2,7,real
turricane,hurricane,r,,hurricane,,hurricane,control,r,,0,h,t,turricane,3,9,real
removal,removal,prs,re,mov,al,removal,target,r,,1,o,i,remival,0,7,real
naturalism,natuyalism,rss,,natur,al_ism,naturalism,target,r,,4,r,y,natuyalism,1,10,real
principle,principlo,r,,principle,,principle,control,r,,8,e,o,principlo,1,9,real
mushreom,mushroom,r,,mushroom,,mushroom,control,r,,5,o,e,mushreom,3,8,real
etiquette,etiquette,r,,etiquette,,etiquette,control,r,,3,q,p,etipuette,0,9,real
restaurant,restaurand,r,,restaurant,,restaurant,control,r,,9,t,d,restaurand,1,10,real
baomerang,baomerang,r,,boomerang,,boomerang,control,r,,1,o,a,baomerang,2,9,real
dusembody,dusembody,ppr,dis_em,body,,disembody,target,p,0.0,1,i,u,dusembody,2,9,real
disruption,disraption,prs,dis,rupt,ion,disruption,target,r,,1,u,a,disraption,1,10,real
allusively,allusively,rss,,allus,ive_ly,allusively,target,s,0.0,0,i,e,allusevely,0,10,real
carocature,carocature,r,,caricature,,caricature,control,r,,3,i,o,carocature,2,10,real
unrett,unrest,pr,un,rest,,unrest,target,r,,2,s,t,unrett,3,6,real
devotu,devote,r,,devote,,devote,control,r,,5,e,u,devotu,3,6,real
couple,couple,r,,couple,,couple,control,r,,2,u,e,coeple,0,6,real
leprechaun,leprechaun,r,,leprechaun,,leprechaun,control,r,,9,n,l,leprechaul,0,10,real
sensorn,sensory,rss,,sens,or_y,sensory,target,s,1.0,0,y,n,sensorn,3,7,real
lettuce,lettute,r,,lettuce,,lettuce,control,r,,5,c,t,lettute,1,7,real
vingefully,vengefully,rss,,venge,ful_ly,vengefully,target,r,,1,e,i,vingefully,3,10,real
entungle,entungle,pr,en,tangle,,entangle,target,r,,1,a,u,entungle,2,8,real
hitifully,hitifully,rss,,piti,ful_ly,pitifully,target,r,,0,p,h,hitifully,2,9,real
ohten,often,r,,often,,often,control,r,,1,f,h,ohten,3,5,real
enjoyment,enjoyment,prs,en,joy,ment,enjoyment,target,r,,1,o,a,enjayment,0,9,real
success,success,r,,success,,success,control,r,,5,s,t,succets,0,7,real
degrade,degrade,pr,de,grade,,degrade,target,r,,0,g,c,decrade,0,7,real
article,article,r,,article,,article,control,r,,4,c,s,artisle,0,7,real
mariluana,marijuana,r,,marijuana,,marijuana,control,r,,4,j,l,mariluana,3,9,real
certain,certain,r,,certain,,certain,control,r,,3,t,c,cercain,0,7,real
amienate,amienate,rs,,alien,ate,alienate,target,r,,1,l,m,amienate,2,8,real
undisguise,undisguite,ppr,un_dis,guise,,undisguise,target,r,,3,s,t,undisguite,1,10,real
attitude,ittitude,r,,attitude,,attitude,control,r,,0,a,i,ittitude,1,8,real
custom,custom,r,,custom,,custom,control,r,,4,o,e,custem,0,6,real
predifpose,predispose,ppr,pre_dis,pose,,predispose,target,p,1.0,2,s,f,predifpose,3,10,real
odder,edder,rs,,odd,er,odder,target,r,,0,o,e,edder,1,5,real
woedenly,woedenly,rss,,wood,en_ly,woodenly,target,r,,2,o,e,woedenly,2,8,real
neighbour,neighbour,r,,neighbour,,neighbour,control,r,,8,r,m,neighboum,0,9,real
reimburse,reimburse,ppr,re_im,burse,,reimburse,target,r,,1,u,o,reimborse,0,9,real
intellect,insellect,r,,intellect,,intellect,control,r,,2,t,s,insellect,1,9,real
treasure,treasure,r,,treasure,,treasure,control,r,,7,e,a,treasura,0,8,real
versatili,versatili,r,,versatile,,versatile,control,r,,8,e,i,versatili,2,9,real
threshild,threshild,r,,threshold,,threshold,control,r,,6,o,i,threshild,2,9,real
program,program,r,,program,,program,control,r,,6,m,r,prograr,0,7,real
