first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
disorderly,disorderly,prs,dis,order,ly,disorderly,target,s,0.0,1,y,m,disorderlm,0,10,real
underline,underline,pr,under,line,,underline,target,r,,2,n,m,underlime,0,9,real
unkindly,unkindly,prs,un,kind,ly,unkindly,target,r,,0,k,g,ungindly,0,8,real
thannel,thannel,r,,channel,,channel,control,r,,0,c,t,thannel,2,7,real
unreal,unreal,pr,un,real,,unreal,target,p,0.0,1,n,w,uwreal,0,6,real
serpe,serve,r,,serve,,serve,control,r,,3,v,p,serpe,3,5,real
enact,enact,pr,en,act,,enact,target,p,0.0,0,e,i,inact,0,5,real
sterilize,sterilize,rs,,steril,ize,sterilize,target,s,0.0,0,i,o,steriloze,0,9,real
conflict,conflicp,r,,conflict,,conflict,control,r,,7,t,p,conflicp,1,8,real
cantalouse,cantalouse,r,,cantaloupe,,cantaloupe,control,r,,8,p,s,cantalouse,2,10,real
discipline,discipline,r,,discipline,,discipline,control,r,,0,d,h,hiscipline,0,10,real
unread,unruad,pr,un,read,,unread,target,r,,1,e,u,unruad,1,6,real
college,collegi,r,,college,,college,control,r,,6,e,i,collegi,1,7,real
complete,completa,r,,complete,,complete,control,r,,7,e,a,completa,1,8,real
understand,undirstand,r,,understand,,understand,control,r,,3,e,i,undirstand,1,10,real
trampoline,trampoline,r,,trampoline,,trampoline,control,r,,1,r,m,tmampoline,0,10,real
digappoint,disappoint,pr,dis,appoint,,disappoint,target,p,0.0,2,s,g,digappoint,3,10,real
ctinchilla,chinchilla,r,,chinchilla,,chinchilla,control,r,,1,h,t,ctinchilla,3,10,real
urcut,urcut,pr,un,cut,,uncut,target,p,0.0,1,n,r,urcut,2,5,real
example,example,r,,example,,example,control,r,,6,e,a,exampla,0,7,real
iconic,icoric,rs,,icon,ic,iconic,target,r,,3,n,r,icoric,1,6,real
regard,regard,r,,regard,,regard,control,r,,2,g,d,redard,0,6,real
prosbitute,prostitute,r,,prostitute,,prostitute,control,r,,4,t,b,prosbitute,3,10,real
convince,convince,r,,convince,,convince,control,r,,5,n,m,convimce,0,8,real
roenact,roenact,ppr,re_en,act,,reenact,target,p,0.0,1,e,o,roenact,2,7,real
detormine,determine,r,,determine,,determine,control,r,,3,e,o,detormine,3,9,real
neighbour,neifhbour,r,,neighbour,,neighbour,control,r,,3,g,f,neifhbour,1,9,real
dolphin,dolphin,r,,dolphin,,dolphin,control,r,,0,d,f,folphin,0,7,real
insert,insert,pr,in,sert,,insert,target,r,,1,e,u,insurt,0,6,real
tamboumine,tamboumine,r,,tambourine,,tambourine,control,r,,6,r,m,tamboumine,2,10,real
snorer,snorer,rs,,snor,er,snorer,target,r,,0,s,t,tnorer,0,6,real
propertw,property,r,,property,,property,control,r,,7,y,w,propertw,3,8,real
roread,reread,pr,re,read,,reread,target,p,0.0,1,e,o,roread,3,6,real
persuade,persuade,r,,persuade,,persuade,control,r,,4,u,o,persoade,0,8,real
cassette,cassetde,r,,cassette,,cassette,control,r,,6,t,d,cassetde,1,8,real
egoistic,egoishic,rss,,ego,ist_ic,egoistic,target,s,0.0,2,t,h,egoishic,1,8,real
privilede,privilege,r,,privilege,,privilege,control,r,,7,g,d,privilede,3,9,real
crustacean,crustaceam,r,,crustacean,,crustacean,control,r,,9,n,m,crustaceam,1,10,real
about,about,r,,about,,about,control,r,,1,b,t,atout,0,5,real
procreade,procreade,pr,pro,create,,procreate,target,r,,4,t,d,procreade,2,9,real
assure,assume,r,,assume,,assume,control,r,,4,m,r,assure,3,6,real
unwiseyy,unwiseyy,prs,un,wise,ly,unwisely,target,s,0.0,0,l,y,unwiseyy,2,8,real
gracefuw,gracefuw,rs,,grace,ful,graceful,target,s,0.0,2,l,w,gracefuw,2,8,real
unarm,unirm,pr,un,arm,,unarm,target,r,,0,a,i,unirm,1,5,real
envemope,envemope,r,,envelope,,envelope,control,r,,4,l,m,envemope,2,8,real
predispose,predispese,ppr,pre_dis,pose,,predispose,target,r,,1,o,e,predispese,1,10,real
experience,axperience,r,,experience,,experience,control,r,,0,e,a,axperience,1,10,real
lamer,lamer,rs,,lam,er,lamer,target,r,,0,l,w,wamer,0,5,real
unmanly,unmanly,prs,un,man,ly,unmanly,target,r,,0,m,w,unwanly,0,7,real
overextose,overextose,ppr,over_ex,pose,,overexpose,target,r,,0,p,t,overextose,2,10,real
untie,untii,pr,un,tie,,untie,target,r,,2,e,i,untii,1,5,real
premistake,premistake,ppr,pre_mis,take,,premistake,target,p,0.0,2,e,i,primistake,0,10,real
blassheme,blassheme,r,,blaspheme,,blaspheme,control,r,,4,p,s,blassheme,2,9,real
skeleton,skeleton,r,,skeleton,,skeleton,control,r,,7,n,y,skeletoy,0,8,real
portrais,portrait,r,,portrait,,portrait,control,r,,7,t,s,portrais,3,8,real
dispinct,distinct,r,,distinct,,distinct,control,r,,3,t,p,dispinct,3,8,real
outphine,outphine,pr,out,shine,,outshine,target,r,,0,s,p,outphine,2,8,real
disembark,disemdark,ppr,dis_em,bark,,disembark,target,r,,0,b,d,disemdark,1,9,real
devalue,gevalue,pr,de,value,,devalue,target,p,0.0,0,d,g,gevalue,1,7,real
tearloss,tearloss,rs,,tear,less,tearless,target,s,0.0,1,e,o,tearloss,2,8,real
polvable,solvable,rs,,solv,able,solvable,target,r,,0,s,p,polvable,3,8,real
weirdor,weirder,rs,,weird,er,weirder,target,s,0.0,0,e,o,weirdor,3,7,real
sinfally,sinfully,rss,,sin,ful_ly,sinfully,target,s,0.0,1,u,a,sinfally,3,8,real
marathon,marathon,r,,marathon,,marathon,control,r,,2,r,y,mayathon,0,8,real
chuwch,chuwch,r,,church,,church,control,r,,3,r,w,chuwch,2,6,real
heard,peard,r,,heard,,heard,control,r,,0,h,p,peard,1,5,real
marijuana,marijuana,r,,marijuana,,marijuana,control,r,,0,m,r,rarijuana,0,9,real
dolor,color,r,,color,,color,control,r,,0,c,d,dolor,3,5,real
taltness,taltness,rs,,tart,ness,tartness,target,r,,2,r,l,taltness,2,8,real
sexist,sexist,rs,,sex,ist,sexist,target,r,,1,e,i,sixist,0,6,real
satallite,satallite,r,,satellite,,satellite,control,r,,3,e,a,satallite,2,9,real
program,program,r,,program,,program,control,r,,4,r,y,progyam,0,7,real
command,command,r,,command,,command,control,r,,0,c,p,pommand,0,7,real
pinnacle,pennacle,r,,pinnacle,,pinnacle,control,r,,1,i,e,pennacle,1,8,real
ciuple,ciuple,r,,couple,,couple,control,r,,1,o,i,ciuple,2,6,real
protocol,protocol,r,,protocol,,protocol,control,r,,1,r,m,pmotocol,0,8,real
manfully,mawfully,rss,,man,ful_ly,manfully,target,r,,2,n,w,mawfully,1,8,real
reimburse,reimburse,ppr,re_im,burse,,reimburse,target,r,,3,s,p,reimburpe,0,9,real
threspold,threspold,r,,threshold,,threshold,control,r,,5,h,p,threspold,2,9,real
programme,pmogramme,r,,programme,,programme,control,r,,1,r,m,pmogramme,1,9,real
misrepowt,misreport,ppr,mis_re,port,,misreport,target,r,,2,r,w,misrepowt,3,9,real
wishfelly,wishfelly,rss,,wish,ful_ly,wishfully,target,s,0.0,1,u,e,wishfelly,2,9,real
sicknets,sickness,rs,,sick,ness,sickness,target,s,0.0,2,s,t,sicknets,3,8,real
eatem,eatem,rs,,eat,er,eater,target,s,0.0,1,r,m,eatem,2,5,real
unlatural,unnatural,prs,un,natur,al,unnatural,target,r,,0,n,l,unlatural,3,9,real
month,month,r,,month,,month,control,r,,2,n,m,momth,0,5,real
oddor,odder,rs,,odd,er,odder,target,s,0.0,0,e,o,oddor,3,5,real
article,article,r,,article,,article,control,r,,4,c,h,artihle,0,7,real
redisagree,radisagree,ppr,re_dis,agree,,redisagree,target,p,0.0,1,e,a,radisagree,1,10,real
converse,converse,r,,converse,,converse,control,r,,6,s,d,converde,0,8,real
liconse,license,r,,license,,license,control,r,,3,e,o,liconse,3,7,real
underpass,umderpass,pr,under,pass,,underpass,target,p,0.0,1,n,m,umderpass,1,9,real
artillery,antillery,r,,artillery,,artillery,control,r,,1,r,n,antillery,1,9,real
arfue,arfue,r,,argue,,argue,control,r,,2,g,f,arfue,2,5,real
unrest,unrest,pr,un,rest,,unrest,target,p,0.0,0,u,e,enrest,0,6,real
leset,reset,pr,re,set,,reset,target,p,0.0,0,r,l,leset,3,5,real
quarantine,quaranhine,r,,quarantine,,quarantine,control,r,,6,t,h,quaranhine,1,10,real
crient,crient,r,,client,,client,control,r,,1,l,r,crient,2,6,real
complaan,complain,r,,complain,,complain,control,r,,6,i,a,complaan,3,8,real
wihtfully,wihtfully,rss,,wist,ful_ly,wistfully,target,r,,2,s,h,wihtfully,2,9,real
verxatile,versatile,r,,versatile,,versatile,control,r,,3,s,x,verxatile,3,9,real
inspect,inspect,pr,in,spect,,inspect,target,p,0.0,0,i,e,enspect,0,7,real
unshavin,unshaven,prs,un,shav,en,unshaven,target,s,0.0,0,e,i,unshavin,3,8,real
insult,iysult,r,,insult,,insult,control,r,,1,n,y,iysult,1,6,real
hurricane,hurricane,r,,hurricane,,hurricane,control,r,,5,c,v,hurrivane,0,9,real
uninform,uninform,ppr,un_in,form,,uninform,target,p,1.0,1,n,m,unimform,0,8,real
reovercook,reovercook,ppr,re_over,cook,,reovercook,target,r,,1,o,e,reoverceok,0,10,real
woufully,woufully,rss,,woe,ful_ly,woefully,target,r,,2,e,u,woufully,2,8,real
undisclose,undisclose,ppr,un_dis,close,,undisclose,target,p,0.0,1,n,r,urdisclose,0,10,real
tomorrow,tomorrow,r,,tomorrow,,tomorrow,control,r,,4,r,m,tomomrow,0,8,real
phenomenon,phenomenom,r,,phenomenon,,phenomenon,control,r,,9,n,m,phenomenom,1,10,real
chimpanzee,ctimpanzee,r,,chimpanzee,,chimpanzee,control,r,,1,h,t,ctimpanzee,1,10,real
pitufully,pitufully,rss,,piti,ful_ly,pitifully,target,r,,3,i,u,pitufully,2,9,real
reinvorce,reinforce,ppr,re_in,force,,reinforce,target,r,,0,f,v,reinvorce,3,9,real
impossiblm,impossibly,prs,im,possib,ly,impossibly,target,s,0.0,1,y,m,impossiblm,3,10,real
etercise,exercise,r,,exercise,,exercise,control,r,,1,x,t,etercise,3,8,real
hoheless,hopeless,rs,,hope,less,hopeless,target,r,,2,p,h,hoheless,3,8,real
cubical,cubical,rss,,cub,ic_al,cubical,target,s,1.0,1,l,n,cubican,0,7,real
undairly,unfairly,prs,un,fair,ly,unfairly,target,r,,0,f,d,undairly,3,8,real
discourate,discourage,pr,dis,courage,,discourage,target,r,,5,g,t,discourate,3,10,real
catalogue,catalogue,r,,catalogue,,catalogue,control,r,,6,g,s,catalosue,0,9,real
principle,prenciple,r,,principle,,principle,control,r,,2,i,e,prenciple,1,9,real
stall,stoll,r,,stall,,stall,control,r,,2,a,o,stoll,1,5,real
neeghbor,neeghbor,r,,neighbor,,neighbor,control,r,,2,i,e,neeghbor,2,8,real
sende,sende,r,,sense,,sense,control,r,,3,s,d,sende,2,5,real
state,state,r,,state,,state,control,r,,4,e,o,stato,0,5,real
treasuje,treasure,r,,treasure,,treasure,control,r,,6,r,j,treasuje,3,8,real
valentine,valentire,r,,valentine,,valentine,control,r,,7,n,r,valentire,1,9,real
paradite,paradise,r,,paradise,,paradise,control,r,,6,s,t,paradite,3,8,real
disembowel,disembomel,ppr,dis_em,bowel,,disembowel,target,r,,2,w,m,disembomel,1,10,real
enjistment,enjistment,prs,en,list,ment,enlistment,target,r,,0,l,j,enjistment,2,10,real
reattor,reactor,prs,re,act,or,reactor,target,r,,1,c,t,reattor,3,7,real
surfem,surfer,rs,,surf,er,surfer,target,s,0.0,1,r,m,surfem,3,6,real
