first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
hollowmess,hollowness,rs,,hollow,ness,hollowness,target,s,0.0,0,n,m,hollowmess,3,10,real
enjoy,enjoy,pr,en,joy,,enjoy,target,r,,1,o,u,enjuy,0,5,real
wislessly,witlessly,rss,,wit,less_ly,witlessly,target,r,,2,t,s,wislessly,3,9,real
ovemreact,overreact,pr,over,react,,overreact,target,p,0.0,3,r,m,ovemreact,3,9,real
certuin,certuin,r,,certain,,certain,control,r,,4,a,u,certuin,2,7,real
modally,modally,rss,,mod,al_ly,modally,target,r,,2,d,c,mocally,0,7,real
remover,remover,prs,re,mov,er,remover,target,p,0.0,1,e,i,rimover,0,7,real
welcore,welcome,r,,welcome,,welcome,control,r,,5,m,r,welcore,3,7,real
baulevard,baulevard,r,,boulevard,,boulevard,control,r,,1,o,a,baulevard,2,9,real
unfairwy,unfairwy,prs,un,fair,ly,unfairly,target,s,0.0,0,l,w,unfairwy,2,8,real
premisteke,premistake,ppr,pre_mis,take,,premistake,target,r,,1,a,e,premisteke,3,10,real
wishfully,widhfully,rss,,wish,ful_ly,wishfully,target,r,,2,s,d,widhfully,1,9,real
mortgaga,mortgage,r,,mortgage,,mortgage,control,r,,7,e,a,mortgaga,3,8,real
somerdault,somerdault,r,,somersault,,somersault,control,r,,5,s,d,somerdault,2,10,real
womanezer,womanizer,rss,,woman,iz_er,womanizer,target,s,0.0,0,i,e,womanezer,3,9,real
pinyacle,pinnacle,r,,pinnacle,,pinnacle,control,r,,3,n,y,pinyacle,3,8,real
collecs,collecs,r,,collect,,collect,control,r,,6,t,s,collecs,2,7,real
quarantine,quarantine,r,,quarantine,,quarantine,control,r,,0,q,h,huarantine,0,10,real
usage,usage,rs,,us,age,usage,target,s,0.0,1,g,b,usabe,0,5,real
reoutsell,reoutsell,ppr,re_out,sell,,reoutsell,target,p,1.0,2,t,g,reougsell,0,9,real
disconnect,disconnect,pr,dis,connect,,disconnect,target,r,,5,c,t,disconnett,0,10,real
underline,underline,pr,under,line,,underline,target,p,0.0,0,u,e,enderline,0,9,real
lettuce,leptuce,r,,lettuce,,lettuce,control,r,,2,t,p,leptuce,1,7,real
unnatural,urnatural,prs,un,natur,al,unnatural,target,p,0.0,1,n,r,urnatural,1,9,real
snorer,snorer,rs,,snor,er,snorer,target,s,0.0,1,r,m,snorem,0,6,real
distinpt,distinct,r,,distinct,,distinct,control,r,,6,c,p,distinpt,3,8,real
