first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
streeh,streeh,r,,street,,street,control,r,,5,t,h,streeh,2,6,real
weactor,reactor,prs,re,act,or,reactor,target,p,0.0,0,r,w,weactor,3,7,real
caricaturo,caricature,r,,caricature,,caricature,control,r,,9,e,o,caricaturo,3,10,real
somersaalt,somersaalt,r,,somersault,,somersault,control,r,,7,u,a,somersaalt,2,10,real
difficult,difticult,r,,difficult,,difficult,control,r,,3,f,t,difticult,1,9,real
light,light,r,,light,,light,control,r,,4,t,d,lighd,0,5,real
teachable,teachatle,rs,,teach,able,teachable,target,s,0.0,1,b,t,teachatle,1,9,real
nonmacial,nonmacial,prs,non,raci,al,nonracial,target,r,,0,r,m,nonmacial,2,9,real
exercise,exercise,r,,exercise,,exercise,control,r,,1,x,h,ehercise,0,8,real
wishfully,wishsully,rss,,wish,ful_ly,wishfully,target,s,0.0,0,f,s,wishsully,1,9,real
import,import,pr,im,port,,import,target,p,0.0,0,i,e,emport,0,6,real
camouflage,camouflage,r,,camouflage,,camouflage,control,r,,1,a,e,cemouflage,0,10,real
curebly,curably,rss,,cur,abl_y,curably,target,s,0.0,0,a,e,curebly,3,7,real
benefit,benefid,r,,benefit,,benefit,control,r,,6,t,d,benefid,1,7,real
misreport,misreport,ppr,mis_re,port,,misreport,target,r,,1,o,a,misrepart,0,9,real
unlawfur,unlawful,prs,un,law,ful,unlawful,target,s,0.0,2,l,r,unlawfur,3,8,real
avalanchi,avalanchi,r,,avalanche,,avalanche,control,r,,8,e,i,avalanchi,2,9,real
announce,annoince,r,,announce,,announce,control,r,,4,u,i,annoince,1,8,real
remever,remover,prs,re,mov,er,remover,target,r,,1,o,e,remever,3,7,real
apparatus,apparatus,r,,apparatus,,apparatus,control,r,,8,s,p,apparatup,0,9,real
rerun,rerun,pr,re,run,,rerun,target,r,,1,u,i,rerin,0,5,real
reusoble,reusable,prs,re,us,able,reusable,target,s,0.0,0,a,o,reusoble,3,8,real
large,lurge,r,,large,,large,control,r,,1,a,u,lurge,1,5,real
toarless,tearless,rs,,tear,less,tearless,target,r,,1,e,o,toarless,3,8,real
disbelieve,disbelieve,pr,dis,believe,,disbelieve,target,r,,6,e,a,disbelieva,0,10,real
limit,limit,r,,limit,,limit,control,r,,1,i,a,lamit,0,5,real
habitualmy,habitualmy,rss,,habit,ual_ly,habitually,target,s,1.0,0,l,m,habitualmy,2,10,real
reimburse,reimburse,ppr,re_im,burse,,reimburse,target,r,,0,b,g,reimgurse,0,9,real
eucalyptus,euculyptus,r,,eucalyptus,,eucalyptus,control,r,,3,a,u,euculyptus,1,10,real
unicyclo,unicyclo,pr,uni,cycle,,unicycle,target,r,,4,e,o,unicyclo,2,8,real
remew,renew,pr,re,new,,renew,target,r,,0,n,m,remew,3,5,real
highness,highnass,rs,,high,ness,highness,target,s,0.0,1,e,a,highnass,1,8,real
embarrasf,embarrasf,r,,embarrass,,embarrass,control,r,,8,s,f,embarrasf,2,9,real
sinkle,sinkle,r,,single,,single,control,r,,3,g,k,sinkle,2,6,real
terthly,terthly,rss,,ten,th_ly,tenthly,target,r,,2,n,r,terthly,2,7,real
fhreshold,fhreshold,r,,threshold,,threshold,control,r,,0,t,f,fhreshold,2,9,real
actom,actom,rs,,act,or,actor,target,s,0.0,1,r,m,actom,2,5,real
valentine,valentine,r,,valentine,,valentine,control,r,,8,e,a,valentina,0,9,real
champagre,champagre,r,,champagne,,champagne,control,r,,7,n,r,champagre,2,9,real
