first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
avalanche,avalanche,r,,avalanche,,avalanche,control,r,,4,a,i,avalinche,0,9,real
scientist,scientist,rs,,scient,ist,scientist,target,r,,0,s,t,tcientist,0,9,real
folmow,folmow,r,,follow,,follow,control,r,,3,l,m,folmow,2,6,real
protect,protect,r,,protect,,protect,control,r,,1,r,m,pmotect,0,7,real
underscand,understand,r,,understand,,understand,control,r,,6,t,c,underscand,3,10,real
cantaloupe,cantaloute,r,,cantaloupe,,cantaloupe,control,r,,8,p,t,cantaloute,1,10,real
sprintor,sprinter,rs,,sprint,er,sprinter,target,s,0.0,0,e,o,sprintor,3,8,real
sonfully,sinfully,rss,,sin,ful_ly,sinfully,target,r,,1,i,o,sonfully,3,8,real
premistake,premistake,ppr,pre_mis,take,,premistake,target,r,,3,e,a,premistaka,0,10,real
intellect,intelrect,r,,intellect,,intellect,control,r,,5,l,r,intelrect,1,9,real
mecipe,mecipe,r,,recipe,,recipe,control,r,,0,r,m,mecipe,2,6,real
enlisdment,enlisdment,prs,en,list,ment,enlistment,target,r,,3,t,d,enlisdment,2,10,real
caracature,caracature,r,,caricature,,caricature,control,r,,3,i,a,caracature,2,10,real
reumport,reumport,ppr,re_im,port,,reimport,target,p,1.0,0,i,u,reumport,2,8,real
cestle,castle,r,,castle,,castle,control,r,,1,a,e,cestle,3,6,real
unshaven,unshaven,prs,un,shav,en,unshaven,target,r,,2,a,u,unshuven,0,8,real
catalogue,catalogue,r,,catalogue,,catalogue,control,r,,3,a,i,catilogue,0,9,real
rejuvenate,nejuvenate,prs,re,juven,ate,rejuvenate,target,p,0.0,0,r,n,nejuvenate,1,10,real
scrample,scrample,r,,scramble,,scramble,control,r,,5,b,p,scrample,2,8,real
artillery,artillery,r,,artillery,,artillery,control,r,,4,l,m,artimlery,0,9,real
phenomenin,phenomenin,r,,phenomenon,,phenomenon,control,r,,8,o,i,phenomenin,2,10,real
reimburse,reilburse,ppr,re_im,burse,,reimburse,target,p,1.0,1,m,l,reilburse,1,9,real
curwency,currency,r,,currency,,currency,control,r,,3,r,w,curwency,3,8,real
teachable,teachable,rs,,teach,able,teachable,target,r,,1,e,a,taachable,0,9,real
champaigm,champaign,r,,champaign,,champaign,control,r,,8,n,m,champaigm,3,9,real
lawfilly,lawfilly,rss,,law,ful_ly,lawfully,target,s,0.0,1,u,i,lawfilly,2,8,real
comfort,somfort,r,,comfort,,comfort,control,r,,0,c,s,somfort,1,7,real
womanizer,woranizer,rss,,woman,iz_er,womanizer,target,r,,2,m,r,woranizer,1,9,real
pedestrian,petestrian,r,,pedestrian,,pedestrian,control,r,,2,d,t,petestrian,1,10,real
witlessly,wiclessly,rss,,wit,less_ly,witlessly,target,r,,2,t,c,wiclessly,1,9,real
dmive,drive,r,,drive,,drive,control,r,,1,r,m,dmive,3,5,real
analegue,analogue,r,,analogue,,analogue,control,r,,4,o,e,analegue,3,8,real
nonstop,nonstop,pr,non,stop,,nonstop,target,p,0.0,1,o,u,nunstop,0,7,real
uninform,unenform,ppr,un_in,form,,uninform,target,p,1.0,0,i,e,unenform,1,8,real
litrary,library,r,,library,,library,control,r,,2,b,t,litrary,3,7,real
uphomder,upholder,prs,up,hold,er,upholder,target,r,,2,l,m,uphomder,3,8,real
deodorize,deodoreze,prs,de,odor,ize,deodorize,target,s,0.0,0,i,e,deodoreze,1,9,real
meirdly,weirdly,rs,,weird,ly,weirdly,target,r,,0,w,m,meirdly,3,7,real
deshonor,deshonor,pr,dis,honor,,dishonor,target,p,0.0,1,i,e,deshonor,2,8,real
invalidate,invalidate,prs,in,valid,ate,invalidate,target,p,0.0,1,n,m,imvalidate,0,10,real
wetly,wetly,rs,,wet,ly,wetly,target,s,0.0,0,l,r,wetry,0,5,real
appuratus,apparatus,r,,apparatus,,apparatus,control,r,,3,a,u,appuratus,3,9,real
highness,highness,rs,,high,ness,highness,target,r,,0,h,t,tighness,0,8,real
geillotine,geillotine,r,,guillotine,,guillotine,control,r,,1,u,e,geillotine,2,10,real
blatpheme,blaspheme,r,,blaspheme,,blaspheme,control,r,,3,s,t,blatpheme,3,9,real
reinforce,reinforce,ppr,re_in,force,,reinforce,target,p,0.0,1,e,o,roinforce,0,9,real
undersord,undersord,pr,under,sold,,undersold,target,r,,2,l,r,undersord,2,9,real
