first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
difficelt,difficult,r,,difficult,,difficult,control,r,,6,u,e,difficelt,3,9,real
ujread,ujread,pr,un,read,,unread,target,p,0.0,1,n,j,ujread,2,6,real
guilrotine,guilrotine,r,,guillotine,,guillotine,control,r,,4,l,r,guilrotine,2,10,real
champaign,champaign,r,,champaign,,champaign,control,r,,0,c,p,phampaign,0,9,real
accoint,account,r,,account,,account,control,r,,4,u,i,accoint,3,7,real
unearthly,unearthly,prs,un,earth,ly,unearthly,target,r,,0,e,a,unaarthly,0,9,real
reviewer,reviewer,prs,re,view,er,reviewer,target,r,,1,i,e,reveewer,0,8,real
enliptment,enliptment,prs,en,list,ment,enlistment,target,r,,2,s,p,enliptment,2,10,real
convince,convince,r,,convince,,convince,control,r,,2,n,r,corvince,0,8,real
coencil,coencil,r,,council,,council,control,r,,2,u,e,coencil,2,7,real
channer,channel,r,,channel,,channel,control,r,,6,l,r,channer,3,7,real
strength,strength,r,,strength,,strength,control,r,,1,t,d,sdrength,0,8,real
eucalyttus,eucalyptus,r,,eucalyptus,,eucalyptus,control,r,,6,p,t,eucalyttus,3,10,real
cartridge,cartridge,r,,cartridge,,cartridge,control,r,,7,g,t,cartridte,0,9,real
repertoile,repertoire,r,,repertoire,,repertoire,control,r,,8,r,l,repertoile,3,10,real
north,north,r,,north,,north,control,r,,3,t,h,norhh,0,5,real
tharge,tharge,r,,charge,,charge,control,r,,0,c,t,tharge,2,6,real
adaptable,adaptable,rs,,adapt,able,adaptable,target,s,0.0,2,l,w,adaptabwe,0,9,real
nateralism,naturalism,rss,,natur,al_ism,naturalism,target,r,,3,u,e,nateralism,3,10,real
didembowel,disembowel,ppr,dis_em,bowel,,disembowel,target,p,0.0,2,s,d,didembowel,3,10,real
woodanness,woodanness,rss,,wood,en_ness,woodenness,target,s,0.0,0,e,a,woodanness,2,10,real
leprechoun,leprechaun,r,,leprechaun,,leprechaun,control,r,,7,a,o,leprechoun,3,10,real
heelth,health,r,,health,,health,control,r,,2,a,e,heelth,3,6,real
wakefully,wakefully,rss,,wake,ful_ly,wakefully,target,r,,2,k,h,wahefully,0,9,real
tonefully,tonefully,rss,,tune,ful_ly,tunefully,target,r,,1,u,o,tonefully,2,9,real
chameleon,ccameleon,r,,chameleon,,chameleon,control,r,,1,h,c,ccameleon,1,9,real
reanforce,reanforce,ppr,re_in,force,,reinforce,target,p,1.0,0,i,a,reanforce,2,9,real
egoittic,egoistic,rss,,ego,ist_ic,egoistic,target,s,0.0,1,s,t,egoittic,3,8,real
approach,approach,r,,approach,,approach,control,r,,1,p,d,adproach,0,8,real
apparatus,aptaratus,r,,apparatus,,apparatus,control,r,,2,p,t,aptaratus,1,9,real
remover,remover,prs,re,mov,er,remover,target,p,0.0,0,r,m,memover,0,7,real
sinfully,sinfully,rss,,sin,ful_ly,sinfully,target,r,,0,s,c,cinfully,0,8,real
masfuerade,masquerade,r,,masquerade,,masquerade,control,r,,3,q,f,masfuerade,3,10,real
