first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
reservoir,reservoir,r,,reservoir,,reservoir,control,r,,3,e,a,resarvoir,0,9,real
poytrait,portrait,r,,portrait,,portrait,control,r,,2,r,y,poytrait,3,8,real
avalanche,avalanche,r,,avalanche,,avalanche,control,r,,6,c,p,avalanphe,0,9,real
currency,currency,r,,currency,,currency,control,r,,2,r,l,culrency,0,8,real
strength,strungth,r,,strength,,strength,control,r,,3,e,u,strungth,1,8,real
versatile,versatile,r,,versatile,,versatile,control,r,,5,t,g,versagile,0,9,real
reperteire,reperteire,r,,repertoire,,repertoire,control,r,,6,o,e,reperteire,2,10,real
osten,osten,r,,often,,often,control,r,,1,f,s,osten,2,5,real
masquerade,masquerade,r,,masquerade,,masquerade,control,r,,8,d,t,masquerate,0,10,real
pchedule,pchedule,r,,schedule,,schedule,control,r,,0,s,p,pchedule,2,8,real
reenact,reenact,ppr,re_en,act,,reenact,target,r,,1,c,v,reenavt,0,7,real
recmcle,recmcle,pr,re,cycle,,recycle,target,r,,1,y,m,recmcle,2,7,real
attack,atdack,r,,attack,,attack,control,r,,2,t,d,atdack,1,6,real
comfort,comfort,r,,comfort,,comfort,control,r,,1,o,e,cemfort,0,7,real
phenomenen,phenomenon,r,,phenomenon,,phenomenon,control,r,,8,o,e,phenomenen,3,10,real
privilege,privilege,r,,privilege,,privilege,control,r,,8,e,o,privilego,0,9,real
satellite,datellite,r,,satellite,,satellite,control,r,,0,s,d,datellite,1,9,real
standard,standard,r,,standard,,standard,control,r,,6,r,l,standald,0,8,real
beautiful,beautiful,rs,,beauti,ful,beautiful,target,r,,5,i,e,beauteful,0,9,real
tartnest,tartnest,rs,,tart,ness,tartness,target,s,0.0,3,s,t,tartnest,2,8,real
decader,decader,prs,de,cod,er,decoder,target,r,,1,o,a,decader,2,7,real
rediscozer,rediscover,ppr,re_dis,cover,,rediscover,target,r,,2,v,z,rediscozer,3,10,real
reactor,reactor,prs,re,act,or,reactor,target,r,,0,a,e,reector,0,7,real
sterilize,sterileze,rs,,steril,ize,sterilize,target,s,0.0,0,i,e,sterileze,1,9,real
rottenmy,rottenly,rss,,rott,en_ly,rottenly,target,s,1.0,0,l,m,rottenmy,3,8,real
machine,machine,r,,machine,,machine,control,r,,6,e,i,machini,0,7,real
unevently,unevently,prs,un,event,ly,unevently,target,s,0.0,1,y,w,uneventlw,0,9,real
campaign,campaigl,r,,campaign,,campaign,control,r,,7,n,l,campaigl,1,8,real
remastake,remistake,ppr,re_mis,take,,remistake,target,p,1.0,1,i,a,remastake,3,9,real
deadorize,deodorize,prs,de,odor,ize,deodorize,target,r,,0,o,a,deadorize,3,9,real
dotal,total,r,,total,,total,control,r,,0,t,d,dotal,3,5,real
hallelujah,hallelujah,r,,hallelujah,,hallelujah,control,r,,8,a,i,hallelujih,0,10,real
tenthly,tenthly,rss,,ten,th_ly,tenthly,target,s,0.0,0,t,f,tenfhly,0,7,real
pajer,paler,rs,,pal,er,paler,target,r,,2,l,j,pajer,3,5,real
command,command,r,,command,,command,control,r,,0,c,t,tommand,0,7,real
reusasle,reusable,prs,re,us,able,reusable,target,s,0.0,1,b,s,reusasle,3,8,real
allow,ollow,r,,allow,,allow,control,r,,0,a,o,ollow,1,5,real
sportive,sporhive,rs,,sport,ive,sportive,target,r,,4,t,h,sporhive,1,8,real
