first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
disinperit,disinherit,ppr,dis_in,herit,,disinherit,target,r,,0,h,p,disinperit,3,10,real
impostible,impostible,pr,im,possible,,impossible,target,r,,3,s,t,impostible,2,10,real
gayer,gayer,rs,,gay,er,gayer,target,s,0.0,1,r,m,gayem,0,5,real
teachable,deachable,rs,,teach,able,teachable,target,r,,0,t,d,deachable,1,9,real
ilsert,insert,pr,in,sert,,insert,target,p,0.0,1,n,l,ilsert,3,6,real
extract,extract,pr,ex,tract,,extract,target,r,,2,a,e,extrect,0,7,real
gouse,gouse,r,,house,,house,control,r,,0,h,g,gouse,2,5,real
repertoire,yepertoire,r,,repertoire,,repertoire,control,r,,0,r,y,yepertoire,1,10,real
rottenly,rottenly,rss,,rott,en_ly,rottenly,target,r,,3,t,s,rotsenly,0,8,real
homeless,homeless,rs,,home,less,homeless,target,r,,2,m,l,holeless,0,8,real
wrestner,wrestner,rs,,wrestl,er,wrestler,target,r,,5,l,n,wrestner,2,8,real
colleague,corleague,r,,colleague,,colleague,control,r,,2,l,r,corleague,1,9,real
etiquetde,etiquette,r,,etiquette,,etiquette,control,r,,7,t,d,etiquetde,3,9,real
souns,sound,r,,sound,,sound,control,r,,4,d,s,souns,3,5,real
misreport,misreport,ppr,mis_re,port,,misreport,target,r,,3,t,s,misrepors,0,9,real
gisclosure,disclosure,prs,dis,clos,ure,disclosure,target,p,0.0,0,d,g,gisclosure,3,10,real
upholder,upholder,prs,up,hold,er,upholder,target,s,0.0,0,e,a,upholdar,0,8,real
induttry,induttry,r,,industry,,industry,control,r,,4,s,t,induttry,2,8,real
bantaloupe,bantaloupe,r,,cantaloupe,,cantaloupe,control,r,,0,c,b,bantaloupe,2,10,real
pinnacle,vinnacle,r,,pinnacle,,pinnacle,control,r,,0,p,v,vinnacle,1,8,real
advance,advance,r,,advance,,advance,control,r,,2,v,p,adpance,0,7,real
unlawful,unlawful,prs,un,law,ful,unlawful,target,r,,2,w,m,unlamful,0,8,real
sinfully,sinfully,rss,,sin,ful_ly,sinfully,target,s,0.0,2,l,m,sinfumly,0,8,real
aconic,iconic,rs,,icon,ic,iconic,target,r,,0,i,a,aconic,3,6,real
enlistment,enlistment,prs,en,list,ment,enlistment,target,r,,3,t,d,enlisdment,0,10,real
emdarrass,emdarrass,r,,embarrass,,embarrass,control,r,,2,b,d,emdarrass,2,9,real
hallelujah,halmelujah,r,,hallelujah,,hallelujah,control,r,,3,l,m,halmelujah,1,10,real
mavably,mavably,rss,,mov,abl_y,movably,target,r,,1,o,a,mavably,2,7,real
dostrict,dostrict,r,,district,,district,control,r,,1,i,o,dostrict,2,8,real
selsory,selsory,rss,,sens,or_y,sensory,target,r,,2,n,l,selsory,2,7,real
pedestrian,pedestriaw,r,,pedestrian,,pedestrian,control,r,,9,n,w,pedestriaw,1,10,real
stops,stips,r,,stops,,stops,control,r,,2,o,i,stips,1,5,real
determile,determile,r,,determine,,determine,control,r,,7,n,l,determile,2,9,real
tisembody,tisembody,ppr,dis_em,body,,disembody,target,p,0.0,0,d,t,tisembody,2,9,real
mandully,manfully,rss,,man,ful_ly,manfully,target,s,0.0,0,f,d,mandully,3,8,real
fatelly,fatally,rss,,fat,al_ly,fatally,target,s,0.0,0,a,e,fatelly,3,7,real
enlikely,enlikely,prs,un,like,ly,unlikely,target,p,0.0,0,u,e,enlikely,2,8,real
reimport,reomport,ppr,re_im,port,,reimport,target,p,1.0,0,i,o,reomport,1,8,real
anmounce,announce,r,,announce,,announce,control,r,,2,n,m,anmounce,3,8,real
nonstos,nonstos,pr,non,stop,,nonstop,target,r,,3,p,s,nonstos,2,7,real
womanizer,womayizer,rss,,woman,iz_er,womanizer,target,r,,4,n,y,womayizer,1,9,real
falindrome,falindrome,r,,palindrome,,palindrome,control,r,,0,p,f,falindrome,2,10,real
remover,remover,prs,re,mov,er,remover,target,p,0.0,1,e,o,romover,0,7,real
actor,actar,rs,,act,or,actor,target,s,0.0,0,o,a,actar,1,5,real
warmer,warmer,rs,,warm,er,warmer,target,s,0.0,1,r,n,warmen,0,6,real
enjoy,enjoy,pr,en,joy,,enjoy,target,p,0.0,1,n,w,ewjoy,0,5,real
unwisely,enwisely,prs,un,wise,ly,unwisely,target,p,0.0,0,u,e,enwisely,1,8,real
college,cellege,r,,college,,college,control,r,,1,o,e,cellege,1,7,real
discipline,discipline,r,,discipline,,discipline,control,r,,2,s,h,dihcipline,0,10,real
salmonella,salmonerla,r,,salmonella,,salmonella,control,r,,7,l,r,salmonerla,1,10,real
occord,accord,r,,accord,,accord,control,r,,0,a,o,occord,3,6,real
overcook,overcoog,pr,over,cook,,overcook,target,r,,3,k,g,overcoog,1,8,real
artilliry,artilliry,r,,artillery,,artillery,control,r,,6,e,i,artilliry,2,9,real
benefid,benefid,r,,benefit,,benefit,control,r,,6,t,d,benefid,2,7,real
cobical,cobical,rss,,cub,ic_al,cubical,target,r,,1,u,o,cobical,2,7,real
upstage,upstade,pr,up,stage,,upstage,target,r,,3,g,d,upstade,1,7,real
disembowel,disembowel,ppr,dis_em,bowel,,disembowel,target,r,,4,l,r,disembower,0,10,real
chamsagne,chamsagne,r,,champagne,,champagne,control,r,,4,p,s,chamsagne,2,9,real
reovercook,reovercoot,ppr,re_over,cook,,reovercook,target,r,,3,k,t,reovercoot,1,10,real
hurricane,hurricane,r,,hurricane,,hurricane,control,r,,6,a,o,hurricone,0,9,real
currency,culrency,r,,currency,,currency,control,r,,2,r,l,culrency,1,8,real
chamemeon,chameleon,r,,chameleon,,chameleon,control,r,,5,l,m,chamemeon,3,9,real
delicious,delicious,rs,,delic,ious,delicious,target,s,0.0,3,s,t,deliciout,0,9,real
point,point,r,,point,,point,control,r,,3,n,m,poimt,0,5,real
perform,perform,r,,perform,,perform,control,r,,5,r,m,perfomm,0,7,real
uncet,uncut,pr,un,cut,,uncut,target,r,,1,u,e,uncet,3,5,real
modally,modally,rss,,mod,al_ly,modally,target,s,0.0,1,l,r,modarly,0,7,real
stimulis,stimulus,r,,stimulus,,stimulus,control,r,,6,u,i,stimulis,3,8,real
reset,neset,pr,re,set,,reset,target,p,0.0,0,r,n,neset,1,5,real
whitel,whiter,rs,,whit,er,whiter,target,s,0.0,1,r,l,whitel,3,6,real
vulgarisr,vulgarism,rs,,vulgar,ism,vulgarism,target,s,0.0,2,m,r,vulgarisr,3,9,real
campaign,campaigr,r,,campaign,,campaign,control,r,,7,n,r,campaigr,1,8,real
license,licinse,r,,license,,license,control,r,,3,e,i,licinse,1,7,real
apparates,apparates,r,,apparatus,,apparatus,control,r,,7,u,e,apparates,2,9,real
restaumant,restaurant,r,,restaurant,,restaurant,control,r,,6,r,m,restaumant,3,10,real
tambourina,tambourine,r,,tambourine,,tambourine,control,r,,9,e,a,tambourina,3,10,real
ovemstep,ovemstep,pr,over,step,,overstep,target,p,0.0,3,r,m,ovemstep,2,8,real
emphisis,emphisis,r,,emphasis,,emphasis,control,r,,4,a,i,emphisis,2,8,real
uydersold,undersold,pr,under,sold,,undersold,target,p,0.0,1,n,y,uydersold,3,9,real
premisuse,premisuse,ppr,pre_mis,use,,premisuse,target,r,,0,u,a,premisase,0,9,real
boomerang,boomerang,r,,boomerang,,boomerang,control,r,,8,g,h,boomeranh,0,9,real
struggle,ttruggle,r,,struggle,,struggle,control,r,,0,s,t,ttruggle,1,8,real
formality,firmality,rss,,form,al_ity,formality,target,r,,1,o,i,firmality,1,9,real
whisperir,whisperir,rs,,whisper,er,whisperer,target,s,0.0,0,e,i,whisperir,2,9,real
marathon,marathon,r,,marathon,,marathon,control,r,,6,o,e,marathen,0,8,real
reelact,reelact,ppr,re_en,act,,reenact,target,p,1.0,1,n,l,reelact,2,7,real
template,template,r,,template,,template,control,r,,0,t,d,demplate,0,8,real
wrongtully,wrongtully,rss,,wrong,ful_ly,wrongfully,target,s,0.0,0,f,t,wrongtully,2,10,real
architect,architest,r,,architect,,architect,control,r,,7,c,s,architest,1,9,real
reimpose,reirpose,ppr,re_im,pose,,reimpose,target,p,1.0,1,m,r,reirpose,1,8,real
shyly,shmly,rs,,shy,ly,shyly,target,r,,2,y,m,shmly,1,5,real
absoluto,absoluto,r,,absolute,,absolute,control,r,,7,e,o,absoluto,2,8,real
endisclose,undisclose,ppr,un_dis,close,,undisclose,target,p,0.0,0,u,e,endisclose,3,10,real
troable,trouble,r,,trouble,,trouble,control,r,,3,u,a,troable,3,7,real
dorce,dorce,r,,force,,force,control,r,,0,f,d,dorce,2,5,real
illegal,illegal,pr,il,legal,,illegal,target,r,,4,l,r,illegar,0,7,real
catalogue,cetalogue,r,,catalogue,,catalogue,control,r,,1,a,e,cetalogue,1,9,real
peasonal,seasonal,rs,,season,al,seasonal,target,r,,0,s,p,peasonal,3,8,real
discuss,distuss,r,,discuss,,discuss,control,r,,3,c,t,distuss,1,7,real
ovemreach,overreach,pr,over,reach,,overreach,target,p,0.0,3,r,m,ovemreach,3,9,real
uninform,uninforl,ppr,un_in,form,,uninform,target,r,,3,m,l,uninforl,1,8,real
outperform,outperform,pr,out,perform,,outperform,target,r,,3,f,c,outpercorm,0,10,real
renel,renew,pr,re,new,,renew,target,r,,2,w,l,renel,3,5,real
urarm,urarm,pr,un,arm,,unarm,target,p,0.0,1,n,r,urarm,2,5,real
wtitest,whitest,rs,,whit,est,whitest,target,r,,1,h,t,wtitest,3,7,real
programme,programme,r,,programme,,programme,control,r,,0,p,t,trogramme,0,9,real
acsieve,achieve,r,,achieve,,achieve,control,r,,2,h,s,acsieve,3,7,real
youthfully,youthfully,rss,,youth,ful_ly,youthfully,target,r,,1,o,a,yauthfully,0,10,real
lighp,lighp,r,,light,,light,control,r,,4,t,p,lighp,2,5,real
property,property,r,,property,,property,control,r,,4,e,o,proporty,0,8,real
invalidate,invalidate,prs,in,valid,ate,invalidate,target,p,0.0,1,n,l,ilvalidate,0,10,real
unhappier,unhoppier,prs,un,happ,ier,unhappier,target,r,,1,a,o,unhoppier,1,9,real
surfer,surger,rs,,surf,er,surfer,target,r,,3,f,g,surger,1,6,real
opinion,epinion,r,,opinion,,opinion,control,r,,0,o,e,epinion,1,7,real
whila,whila,r,,while,,while,control,r,,4,e,a,whila,2,5,real
chimganzee,chimganzee,r,,chimpanzee,,chimpanzee,control,r,,4,p,g,chimganzee,2,10,real
womanize,womanize,rs,,woman,ize,womanize,target,r,,4,n,l,womalize,0,8,real
hoseful,hopeful,rs,,hope,ful,hopeful,target,r,,2,p,s,hoseful,3,7,real
propaganda,propaganda,r,,propaganda,,propaganda,control,r,,1,r,l,plopaganda,0,10,real
reoutserl,reoutserl,ppr,re_out,sell,,reoutsell,target,r,,2,l,r,reoutserl,2,9,real
trustful,trussful,rs,,trust,ful,trustful,target,r,,4,t,s,trussful,1,8,real
wishfully,wifhfully,rss,,wish,ful_ly,wishfully,target,r,,2,s,f,wifhfully,1,9,real
