first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
surfur,surfur,rs,,surf,er,surfer,target,s,0.0,0,e,u,surfur,2,6,real
ditermine,determine,r,,determine,,determine,control,r,,1,e,i,ditermine,3,9,real
disposal,disposal,prs,dis,pos,al,disposal,target,r,,2,s,t,dispotal,0,8,real
predispose,predistose,ppr,pre_dis,pose,,predispose,target,r,,0,p,t,predistose,1,10,real
close,flose,r,,close,,close,control,r,,0,c,f,flose,1,5,real
vamentine,valentine,r,,valentine,,valentine,control,r,,2,l,m,vamentine,3,9,real
wetny,wetny,rs,,wet,ly,wetly,target,s,0.0,0,l,n,wetny,2,5,real
labiur,labour,r,,labour,,labour,control,r,,3,o,i,labiur,3,6,real
reinforca,reinforce,ppr,re_in,force,,reinforce,target,r,,4,e,a,reinforca,3,9,real
money,monay,r,,money,,money,control,r,,3,e,a,monay,1,5,real
snorer,snorer,rs,,snor,er,snorer,target,r,,3,r,m,snomer,0,6,real
progremme,programme,r,,programme,,programme,control,r,,5,a,e,progremme,3,9,real
disembowel,dosembowel,ppr,dis_em,bowel,,disembowel,target,p,0.0,1,i,o,dosembowel,1,10,real
recycle,recmcle,pr,re,cycle,,recycle,target,r,,1,y,m,recmcle,1,7,real
curably,curably,rss,,cur,abl_y,curably,target,s,1.0,0,y,l,curabll,0,7,real
unwisely,unwisoly,prs,un,wise,ly,unwisely,target,r,,3,e,o,unwisoly,1,8,real
normalitn,normality,rss,,norm,al_ity,normality,target,s,1.0,2,y,n,normalitn,3,9,real
fatally,fatallm,rss,,fat,al_ly,fatally,target,s,1.0,1,y,m,fatallm,1,7,real
westerneze,westernize,rss,,west,ern_ize,westernize,target,s,1.0,0,i,e,westerneze,3,10,real
ercase,encase,pr,en,case,,encase,target,p,0.0,1,n,r,ercase,3,6,real
least,meast,r,,least,,least,control,r,,0,l,m,meast,1,5,real
protram,program,r,,program,,program,control,r,,3,g,t,protram,3,7,real
threshold,thrishold,r,,threshold,,threshold,control,r,,3,e,i,thrishold,1,9,real
warmer,warmel,rs,,warm,er,warmer,target,s,0.0,1,r,l,warmel,1,6,real
holecaust,holocaust,r,,holocaust,,holocaust,control,r,,3,o,e,holecaust,3,9,real
counsew,counsel,r,,counsel,,counsel,control,r,,6,l,w,counsew,3,7,real
extract,extracf,pr,ex,tract,,extract,target,r,,4,t,f,extracf,1,7,real
leprechaun,leprechaun,r,,leprechaun,,leprechaun,control,r,,6,h,s,leprecsaun,0,10,real
discourage,discourage,pr,dis,courage,,discourage,target,p,0.0,0,d,f,fiscourage,0,10,real
uniformly,aniformly,prs,uni,form,ly,uniformly,target,p,0.0,0,u,a,aniformly,1,9,real
attempt,attempt,r,,attempt,,attempt,control,r,,3,e,i,attimpt,0,7,real
misfertune,misfortune,pr,mis,fortune,,misfortune,target,r,,1,o,e,misfertune,3,10,real
wishfully,withfully,rss,,wish,ful_ly,wishfully,target,r,,2,s,t,withfully,1,9,real
fucure,fucure,r,,future,,future,control,r,,2,t,c,fucure,2,6,real
versutile,versutile,r,,versatile,,versatile,control,r,,4,a,u,versutile,2,9,real
wocket,rocket,r,,rocket,,rocket,control,r,,0,r,w,wocket,3,6,real
woodanly,woodanly,rss,,wood,en_ly,woodenly,target,s,0.0,0,e,a,woodanly,2,8,real
reoupsmart,reoupsmart,ppr,re_out,smart,,reoutsmart,target,p,1.0,2,t,p,reoupsmart,2,10,real
puler,puler,rs,,pal,er,paler,target,r,,1,a,u,puler,2,5,real
unnaturan,unnaturan,prs,un,natur,al,unnatural,target,s,0.0,1,l,n,unnaturan,2,9,real
phenomenon,dhenomenon,r,,phenomenon,,phenomenon,control,r,,0,p,d,dhenomenon,1,10,real
fourthly,fourvhly,rss,,four,th_ly,fourthly,target,s,0.0,0,t,v,fourvhly,1,8,real
unread,enread,pr,un,read,,unread,target,p,0.0,0,u,e,enread,1,6,real
prostitude,prostitute,r,,prostitute,,prostitute,control,r,,8,t,d,prostitude,3,10,real
tampourine,tampourine,r,,tambourine,,tambourine,control,r,,3,b,p,tampourine,2,10,real
hostile,hostile,r,,hostile,,hostile,control,r,,2,s,t,hottile,0,7,real
trampoline,trampolune,r,,trampoline,,trampoline,control,r,,7,i,u,trampolune,1,10,real
salmonella,dalmonella,r,,salmonella,,salmonella,control,r,,0,s,d,dalmonella,1,10,real
tenthly,tenthly,rss,,ten,th_ly,tenthly,target,r,,0,t,s,senthly,0,7,real
gayer,gayer,rs,,gay,er,gayer,target,r,,0,g,s,sayer,0,5,real
apparatos,apparatus,r,,apparatus,,apparatus,control,r,,7,u,o,apparatos,3,9,real
pitifumly,pitifully,rss,,piti,ful_ly,pitifully,target,s,0.0,2,l,m,pitifumly,3,9,real
mastuerade,masquerade,r,,masquerade,,masquerade,control,r,,3,q,t,mastuerade,3,10,real
discipline,siscipline,r,,discipline,,discipline,control,r,,0,d,s,siscipline,1,10,real
manfully,mawfully,rss,,man,ful_ly,manfully,target,r,,2,n,w,mawfully,1,8,real
country,couytry,r,,country,,country,control,r,,3,n,y,couytry,1,7,real
disumbody,disembody,ppr,dis_em,body,,disembody,target,p,1.0,0,e,u,disumbody,3,9,real
onhale,onhale,pr,in,hale,,inhale,target,p,0.0,0,i,o,onhale,2,6,real
three,ttree,r,,three,,three,control,r,,1,h,t,ttree,1,5,real
undisguise,undisguese,ppr,un_dis,guise,,undisguise,target,r,,2,i,e,undisguese,1,10,real
woefulll,woefulll,rss,,woe,ful_ly,woefully,target,s,1.0,1,y,l,woefulll,2,8,real
coumse,coumse,r,,course,,course,control,r,,3,r,m,coumse,2,6,real
sasellite,satellite,r,,satellite,,satellite,control,r,,2,t,s,sasellite,3,9,real
tallest,tallest,rs,,tall,est,tallest,target,s,0.0,2,t,h,tallesh,0,7,real
perchase,perchase,r,,purchase,,purchase,control,r,,1,u,e,perchase,2,8,real
unfaiwly,unfairly,prs,un,fair,ly,unfairly,target,r,,3,r,w,unfaiwly,3,8,real
alienage,alienage,rs,,alien,ate,alienate,target,s,0.0,1,t,g,alienage,2,8,real
decider,decoder,prs,de,cod,er,decoder,target,r,,1,o,i,decider,3,7,real
build,build,r,,build,,build,control,r,,4,d,t,built,0,5,real
