first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
unkindly,unkindly,prs,un,kind,ly,unkindly,target,p,0.0,0,u,o,onkindly,0,8,real
instinct,instinct,r,,instinct,,instinct,control,r,,2,s,h,inhtinct,0,8,real
overactive,ovelactive,prs,over,act,ive,overactive,target,p,0.0,3,r,l,ovelactive,1,10,real
reoutsall,reoutsall,ppr,re_out,sell,,reoutsell,target,r,,1,e,a,reoutsall,2,9,real
shenanisan,shenanisan,r,,shenanigan,,shenanigan,control,r,,7,g,s,shenanisan,2,10,real
reinforce,reimforce,ppr,re_in,force,,reinforce,target,p,1.0,1,n,m,reimforce,1,9,real
export,ebport,pr,ex,port,,export,target,p,0.0,1,x,b,ebport,1,6,real
libjary,libjary,r,,library,,library,control,r,,3,r,j,libjary,2,7,real
crustacean,crustacaan,r,,crustacean,,crustacean,control,r,,7,e,a,crustacaan,1,10,real
repiscover,rediscover,ppr,re_dis,cover,,rediscover,target,p,1.0,0,d,p,repiscover,3,10,real
woodenly,wuodenly,rss,,wood,en_ly,woodenly,target,r,,1,o,u,wuodenly,1,8,real
experience,experience,r,,experience,,experience,control,r,,9,e,a,experienca,0,10,real
yrestler,yrestler,rs,,wrestl,er,wrestler,target,r,,0,w,y,yrestler,2,8,real
client,client,r,,client,,client,control,r,,4,n,w,cliewt,0,6,real
dishonor,doshonor,pr,dis,honor,,dishonor,target,p,0.0,1,i,o,doshonor,1,8,real
remisalihn,remisalign,ppr,re_mis,align,,remisalign,target,r,,3,g,h,remisalihn,3,10,real
ingrefient,ingredient,r,,ingredient,,ingredient,control,r,,5,d,f,ingrefient,3,10,real
compare,compare,r,,compare,,compare,control,r,,1,o,e,cempare,0,7,real
tisbar,tisbar,pr,dis,bar,,disbar,target,p,0.0,0,d,t,tisbar,2,6,real
chimpanzee,chimpanzee,r,,chimpanzee,,chimpanzee,control,r,,8,e,o,chimpanzoe,0,10,real
disclosure,disclosure,prs,dis,clos,ure,disclosure,target,r,,3,s,t,discloture,0,10,real
suspenso,suspenso,r,,suspense,,suspense,control,r,,7,e,o,suspenso,2,8,real
formality,formality,rss,,form,al_ity,formality,target,r,,2,r,y,foymality,0,9,real
immoral,ammoral,pr,im,moral,,immoral,target,p,0.0,0,i,a,ammoral,1,7,real
