first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
unwisely,unwisely,prs,un,wise,ly,unwisely,target,r,,0,w,m,unmisely,0,8,real
medicine,medicine,r,,medicine,,medicine,control,r,,1,e,u,mudicine,0,8,real
champoign,champoign,r,,champaign,,champaign,control,r,,5,a,o,champoign,2,9,real
enact,enacd,pr,en,act,,enact,target,r,,2,t,d,enacd,1,5,real
suspense,suspense,r,,suspense,,suspense,control,r,,5,n,r,susperse,0,8,real
coerse,coerse,r,,course,,course,control,r,,2,u,e,coerse,2,6,real
neighsor,neighsor,r,,neighbor,,neighbor,control,r,,5,b,s,neighsor,2,8,real
prinhiple,prinhiple,r,,principle,,principle,control,r,,4,c,h,prinhiple,2,9,real
command,commant,r,,command,,command,control,r,,6,d,t,commant,1,7,real
palindrome,palindrome,r,,palindrome,,palindrome,control,r,,5,d,h,palinhrome,0,10,real
redeflate,redeflate,ppr,re_de,flate,,redeflate,target,p,0.0,0,r,m,medeflate,0,9,real
reversable,reversable,prs,re,vers,able,reversable,target,s,0.0,0,a,o,reversoble,0,10,real
drummer,drummer,rs,,drumm,er,drummer,target,r,,2,u,o,drommer,0,7,real
acrass,acrass,r,,across,,across,control,r,,3,o,a,acrass,2,6,real
unearthly,unearthly,prs,un,earth,ly,unearthly,target,p,0.0,1,n,m,umearthly,0,9,real
uniwform,uninform,ppr,un_in,form,,uninform,target,p,1.0,1,n,w,uniwform,3,8,real
hieroglyph,hieroglrph,r,,hieroglyph,,hieroglyph,control,r,,7,y,r,hieroglrph,1,10,real
avalancde,avalanche,r,,avalanche,,avalanche,control,r,,7,h,d,avalancde,3,9,real
cubical,cubicel,rss,,cub,ic_al,cubical,target,s,1.0,0,a,e,cubicel,1,7,real
notice,notice,r,,notice,,notice,control,r,,1,o,e,netice,0,6,real
license,ligense,r,,license,,license,control,r,,2,c,g,ligense,1,7,real
senvory,sensory,rss,,sens,or_y,sensory,target,r,,3,s,v,senvory,3,7,real
reoutsall,reoutsall,ppr,re_out,sell,,reoutsell,target,r,,1,e,a,reoutsall,2,9,real
quarantine,quarantine,r,,quarantine,,quarantine,control,r,,6,t,c,quarancine,0,10,real
reusable,reusable,prs,re,us,able,reusable,target,s,0.0,2,l,w,reusabwe,0,8,real
alluremeyt,alluremeyt,rs,,allure,ment,allurement,target,s,0.0,2,n,y,alluremeyt,2,10,real
melecule,molecule,r,,molecule,,molecule,control,r,,1,o,e,melecule,3,8,real
teachable,teachable,rs,,teach,able,teachable,target,r,,4,h,s,teacsable,0,9,real
artillery,artillery,r,,artillery,,artillery,control,r,,2,t,p,arpillery,0,9,real
vengefully,vengafully,rss,,venge,ful_ly,vengefully,target,r,,4,e,a,vengafully,1,10,real
fifthly,fiftcly,rss,,fif,th_ly,fifthly,target,s,0.0,1,h,c,fiftcly,1,7,real
mortgage,mortgage,r,,mortgage,,mortgage,control,r,,2,r,y,moytgage,0,8,real
overexpose,overextose,ppr,over_ex,pose,,overexpose,target,r,,0,p,t,overextose,1,10,real
deedorize,deedorize,prs,de,odor,ize,deodorize,target,r,,0,o,e,deedorize,2,9,real
unkisclose,undisclose,ppr,un_dis,close,,undisclose,target,p,1.0,0,d,k,unkisclose,3,10,real
catalog,catalag,r,,catalog,,catalog,control,r,,5,o,a,catalag,1,7,real
analogee,analogee,r,,analogue,,analogue,control,r,,6,u,e,analogee,2,8,real
hportive,sportive,rs,,sport,ive,sportive,target,r,,0,s,h,hportive,3,8,real
riread,reread,pr,re,read,,reread,target,p,0.0,1,e,i,riread,3,6,real
marathon,marothon,r,,marathon,,marathon,control,r,,3,a,o,marothon,1,8,real
outshini,outshine,pr,out,shine,,outshine,target,r,,4,e,i,outshini,3,8,real
trampaline,trampoline,r,,trampoline,,trampoline,control,r,,5,o,a,trampaline,3,10,real
marijuana,marijuala,r,,marijuana,,marijuana,control,r,,7,n,l,marijuala,1,9,real
