Word,Prefix1,Root,Suffix1,Suffix2,Wordlength
unnaturally,un,natur,al,ly,11
revaluation,re,valu,at,ion,11
abnormality,ab,norm,al,ity,11
abnormally,ab,norm,al,ly,10
reactivate,re,act,iv,ate,10
inactivate,in,act,iv,ate,10
