first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
interkoop,anterkoop,pr,koop,inter,,interkoop,target,p,0.0,0,i,a,anterkoop,1,9,pseudo,block1
numeakcila,numeakcila,prss,meak,nu,ci_la,numeakcila,control,s,1.0,1,a,i,numeakcili,0,10,pseudo,block1
nunurdcila,nunurdcila,prss,nurd,nu,ci_la,nunurdcila,control,r,,2,r,l,nunuldcila,0,10,pseudo,block1
bofonila,bofonina,rss,bof,,oni_la,bofonila,control,s,1.0,0,l,n,bofonina,1,8,pseudo,block1
gyocional,gyocional,rss,gloc,,ion_al,glocional,target,r,,1,l,y,gyocional,2,9,pseudo,block1
anconly,inconly,prs,con,in,ly,inconly,target,p,0.0,0,i,a,anconly,3,7,pseudo,block1
targulf,targulf,rs,sarg,,ulf,sargulf,control,r,,0,s,t,targulf,2,7,pseudo,block1
geef,geif,r,geef,,,geef,target,r,,2,e,i,geif,1,4,pseudo,block1
disfum,disfom,pr,fom,dis,,disfom,target,r,,1,o,u,disfum,3,6,pseudo,block1
niremeviyl,niremaviyl,prss,rem,ni,evi_yl,niremeviyl,control,s,0.0,0,e,a,niremaviyl,1,10,pseudo,block1
ernacolg,ernacolg,ppr,colg,er_ni,,ernicolg,control,p,1.0,1,i,a,ernacolg,2,8,pseudo,block1
reinlien,reinmien,ppr,lien,re_in,,reinlien,target,r,,0,l,m,reinmien,1,8,pseudo,block1
drunness,drunness,rs,drun,,ness,drunness,target,s,0.0,3,s,h,drunnesh,0,8,pseudo,block1
nafeegyl,nafeegyl,prs,feeg,ni,yl,nifeegyl,control,p,0.0,1,i,a,nafeegyl,2,8,pseudo,block1
ednafeta,ednafeta,prs,maf,ed,eta,edmafeta,control,r,,0,m,n,ednafeta,2,8,pseudo,block1
ermufeviyl,ermufeviyl,prss,maf,er,evi_yl,ermafeviyl,control,r,,1,a,u,ermufeviyl,2,10,pseudo,block1
merlinoss,merlinoss,rss,mer,,li_ness,merliness,target,s,1.0,1,e,o,merlinoss,2,9,pseudo,block1
girtically,gertically,rsss,girt,,ic_al_ly,girtically,target,r,,1,i,e,gertically,1,10,pseudo,block1
upmer,utmer,pr,mer,up,,upmer,target,p,0.0,1,p,t,utmer,1,5,pseudo,block1
tutec,tutec,pr,tec,pu,,putec,control,p,0.0,0,p,t,tutec,2,5,pseudo,block1
nikeat,nifeat,pr,keat,ni,,nikeat,control,r,,0,k,f,nifeat,1,6,pseudo,block1
tekrl,tekrl,rs,tek,,yl,tekyl,control,s,0.0,0,y,r,tekrl,2,5,pseudo,block1
rentimiak,rentimiak,pr,meak,renti,,rentimeak,control,r,,1,e,i,rentimiak,2,9,pseudo,block1
louksens,mouksens,rs,louk,,sens,louksens,control,r,,0,l,m,mouksens,1,8,pseudo,block1
anketally,unketally,prss,ket,un,al_ly,unketally,target,p,0.0,0,u,a,anketally,3,9,pseudo,block1
reetneyt,reetneyt,rs,reet,,nemt,reetnemt,control,s,0.0,2,m,y,reetneyt,2,8,pseudo,block1
edreetre,edreetre,prs,reet,ed,re,edreetre,control,s,0.0,0,r,m,edreetme,0,8,pseudo,block1
kairance,kairance,rs,keir,,ance,keirance,target,r,,1,e,a,kairance,2,8,pseudo,block1
upkoop,upkoop,pr,koop,up,,upkoop,target,r,,1,o,i,upkiop,0,6,pseudo,block1
dlatness,dlatness,rs,clat,,ness,clatness,target,r,,0,c,d,dlatness,2,8,pseudo,block1
colgla,solgla,rs,colg,,la,colgla,control,r,,0,c,s,solgla,1,6,pseudo,block1
repsimboh,repsimboh,ppr,bof,rep_sim,,repsimbof,control,r,,2,f,h,repsimboh,2,9,pseudo,block1
bofcilayl,bofcilayl,rsss,bof,,ci_la_yl,bofcilayl,control,r,,1,o,a,bafcilayl,0,9,pseudo,block1
redisket,redisked,ppr,ket,re_dis,,redisket,target,r,,2,t,d,redisked,1,8,pseudo,block1
taumistic,taumistic,rss,taun,,ist_ic,taunistic,target,r,,3,n,m,taumistic,2,9,pseudo,block1
contalize,contamize,rss,cont,,al_ize,contalize,target,s,0.0,1,l,m,contamize,1,9,pseudo,block1
teakacally,teakically,rsss,teak,,ic_al_ly,teakically,target,s,0.0,0,i,a,teakacally,3,10,pseudo,block1
comious,comious,rs,con,,ious,conious,target,r,,2,n,m,comious,2,7,pseudo,block1
trit,trig,r,trig,,,trig,control,r,,3,g,t,trit,3,4,pseudo,block1
prosoom,progoom,pr,soom,pro,,prosoom,target,r,,0,s,g,progoom,1,7,pseudo,block1
tidneil,sidneil,pr,neil,sid,,sidneil,control,p,0.0,0,s,t,tidneil,3,7,pseudo,block1
diserdarf,diserdarf,ppr,darf,dis_em,,disemdarf,target,p,1.0,1,m,r,diserdarf,2,9,pseudo,block1
otutek,ototek,pr,tek,otu,,otutek,control,p,0.0,2,u,o,ototek,1,6,pseudo,block1
prograt,progras,pr,gras,pro,,progras,target,r,,3,s,t,prograt,3,7,pseudo,block1
sirt,sirt,r,girt,,,girt,target,r,,0,g,s,sirt,2,4,pseudo,block1
inunurd,inunurt,pr,nurd,inu,,inunurd,control,r,,3,d,t,inunurt,1,7,pseudo,block1
inuwerkyl,inuwerkyl,prs,werk,inu,yl,inuwerkyl,control,p,0.0,0,i,a,anuwerkyl,0,9,pseudo,block1
nuclasim,nuclasim,rss,nuc,,la_sim,nuclasim,control,r,,0,n,l,luclasim,0,8,pseudo,block1
redisgloc,redishloc,ppr,gloc,re_dis,,redisgloc,target,r,,0,g,h,redishloc,1,9,pseudo,block1
truncilayl,truncilayl,rsss,trun,,ci_la_yl,truncilayl,control,s,2.0,1,l,m,truncilaym,0,10,pseudo,block1
otunucneyl,ohunucneyl,prss,nuc,otu,ne_yl,otunucneyl,control,p,0.0,1,t,h,ohunucneyl,1,10,pseudo,block1
pof,bof,r,bof,,,bof,control,r,,0,b,p,pof,3,3,pseudo,block1
kelsal,kelsam,rs,kels,,al,kelsal,target,s,0.0,1,l,m,kelsam,1,6,pseudo,block1
ris,ris,r,wis,,,wis,target,r,,0,w,r,ris,2,3,pseudo,block1
taunically,taunically,rsss,taun,,ic_al_ly,taunically,target,s,0.0,1,c,t,taunitally,0,10,pseudo,block1
outgirt,outgirt,pr,girt,out,,outgirt,target,r,,1,i,o,outgort,0,7,pseudo,block1
ketalism,ketalism,rss,ket,,al_ism,ketalism,target,s,1.0,2,m,r,ketalisr,0,8,pseudo,block1
clatically,clatically,rsss,clat,,ic_al_ly,clatically,target,r,,2,a,o,clotically,0,10,pseudo,block1
glocically,glocically,rsss,gloc,,ic_al_ly,glocically,target,r,,2,o,e,glecically,0,10,pseudo,block1
tiun,tiun,r,taun,,,taun,target,r,,1,a,i,tiun,2,4,pseudo,block1
incetivily,incetively,prss,cet,in,ive_ly,incetively,target,s,0.0,2,e,i,incetivily,3,10,pseudo,block1
weakcilayl,weakcilayl,rsss,meak,,ci_la_yl,meakcilayl,control,r,,0,m,w,weakcilayl,2,10,pseudo,block1
abtiunally,abtaunally,prss,taun,ab,al_ly,abtaunally,target,r,,1,a,i,abtiunally,3,10,pseudo,block1
grasalism,grasalism,rss,gras,,al_ism,grasalism,target,s,0.0,1,l,r,grasarism,0,9,pseudo,block1
kotistic,kotistic,rss,ket,,ist_ic,ketistic,target,r,,1,e,o,kotistic,2,8,pseudo,block1
nuremliyl,nuremlayl,prss,rem,nu,la_yl,nuremlayl,control,s,0.0,1,a,i,nuremliyl,3,9,pseudo,block1
uncunical,uncunical,prss,cun,un,ic_al,uncunical,target,r,,0,c,g,ungunical,0,9,pseudo,block1
eytectaoni,eytectaoni,prss,tec,er,ta_oni,ertectaoni,control,p,0.0,1,r,y,eytectaoni,2,10,pseudo,block1
louk,look,r,louk,,,louk,control,r,,2,u,o,look,1,4,pseudo,block1
ibketally,abketally,prss,ket,ab,al_ly,abketally,target,p,0.0,0,a,i,ibketally,3,9,pseudo,block1
