first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
unwisely,unwisely,prs,un,wise,ly,unwisely,target,r,,0,w,m,unmisely,0,8,real,block1
medicine,medicine,r,,medicine,,medicine,control,r,,1,e,u,mudicine,0,8,real,block1
champoign,champoign,r,,champaign,,champaign,control,r,,5,a,o,champoign,2,9,real,block1
enact,enacd,pr,en,act,,enact,target,r,,2,t,d,enacd,1,5,real,block1
suspense,suspense,r,,suspense,,suspense,control,r,,5,n,r,susperse,0,8,real,block1
coerse,coerse,r,,course,,course,control,r,,2,u,e,coerse,2,6,real,block1
neighsor,neighsor,r,,neighbor,,neighbor,control,r,,5,b,s,neighsor,2,8,real,block1
prinhiple,prinhiple,r,,principle,,principle,control,r,,4,c,h,prinhiple,2,9,real,block1
command,commant,r,,command,,command,control,r,,6,d,t,commant,1,7,real,block1
palindrome,palindrome,r,,palindrome,,palindrome,control,r,,5,d,h,palinhrome,0,10,real,block1
redeflate,redeflate,ppr,re_de,flate,,redeflate,target,p,0.0,0,r,m,medeflate,0,9,real,block1
reversable,reversable,prs,re,vers,able,reversable,target,s,0.0,0,a,o,reversoble,0,10,real,block1
drummer,drummer,rs,,drumm,er,drummer,target,r,,2,u,o,drommer,0,7,real,block1
acrass,acrass,r,,across,,across,control,r,,3,o,a,acrass,2,6,real,block1
unearthly,unearthly,prs,un,earth,ly,unearthly,target,p,0.0,1,n,m,umearthly,0,9,real,block1
uniwform,uninform,ppr,un_in,form,,uninform,target,p,1.0,1,n,w,uniwform,3,8,real,block1
hieroglyph,hieroglrph,r,,hieroglyph,,hieroglyph,control,r,,7,y,r,hieroglrph,1,10,real,block1
avalancde,avalanche,r,,avalanche,,avalanche,control,r,,7,h,d,avalancde,3,9,real,block1
cubical,cubicel,rss,,cub,ic_al,cubical,target,s,1.0,0,a,e,cubicel,1,7,real,block1
notice,notice,r,,notice,,notice,control,r,,1,o,e,netice,0,6,real,block1
license,ligense,r,,license,,license,control,r,,2,c,g,ligense,1,7,real,block1
senvory,sensory,rss,,sens,or_y,sensory,target,r,,3,s,v,senvory,3,7,real,block1
reoutsall,reoutsall,ppr,re_out,sell,,reoutsell,target,r,,1,e,a,reoutsall,2,9,real,block1
