first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
fourthly,fourvhly,rss,,four,th_ly,fourthly,target,s,0.0,0,t,v,fourvhly,1,8,real,block1
unread,enread,pr,un,read,,unread,target,p,0.0,0,u,e,enread,1,6,real,block1
prostitude,prostitute,r,,prostitute,,prostitute,control,r,,8,t,d,prostitude,3,10,real,block1
tampourine,tampourine,r,,tambourine,,tambourine,control,r,,3,b,p,tampourine,2,10,real,block1
hostile,hostile,r,,hostile,,hostile,control,r,,2,s,t,hottile,0,7,real,block1
trampoline,trampolune,r,,trampoline,,trampoline,control,r,,7,i,u,trampolune,1,10,real,block1
salmonella,dalmonella,r,,salmonella,,salmonella,control,r,,0,s,d,dalmonella,1,10,real,block1
tenthly,tenthly,rss,,ten,th_ly,tenthly,target,r,,0,t,s,senthly,0,7,real,block1
gayer,gayer,rs,,gay,er,gayer,target,r,,0,g,s,sayer,0,5,real,block1
apparatos,apparatus,r,,apparatus,,apparatus,control,r,,7,u,o,apparatos,3,9,real,block1
pitifumly,pitifully,rss,,piti,ful_ly,pitifully,target,s,0.0,2,l,m,pitifumly,3,9,real,block1
mastuerade,masquerade,r,,masquerade,,masquerade,control,r,,3,q,t,mastuerade,3,10,real,block1
discipline,siscipline,r,,discipline,,discipline,control,r,,0,d,s,siscipline,1,10,real,block1
manfully,mawfully,rss,,man,ful_ly,manfully,target,r,,2,n,w,mawfully,1,8,real,block1
country,couytry,r,,country,,country,control,r,,3,n,y,couytry,1,7,real,block1
disumbody,disembody,ppr,dis_em,body,,disembody,target,p,1.0,0,e,u,disumbody,3,9,real,block1
onhale,onhale,pr,in,hale,,inhale,target,p,0.0,0,i,o,onhale,2,6,real,block1
three,ttree,r,,three,,three,control,r,,1,h,t,ttree,1,5,real,block1
undisguise,undisguese,ppr,un_dis,guise,,undisguise,target,r,,2,i,e,undisguese,1,10,real,block1
woefulll,woefulll,rss,,woe,ful_ly,woefully,target,s,1.0,1,y,l,woefulll,2,8,real,block1
coumse,coumse,r,,course,,course,control,r,,3,r,m,coumse,2,6,real,block1
sasellite,satellite,r,,satellite,,satellite,control,r,,2,t,s,sasellite,3,9,real,block1
tallest,tallest,rs,,tall,est,tallest,target,s,0.0,2,t,h,tallesh,0,7,real,block1
perchase,perchase,r,,purchase,,purchase,control,r,,1,u,e,perchase,2,8,real,block1
unfaiwly,unfairly,prs,un,fair,ly,unfairly,target,r,,3,r,w,unfaiwly,3,8,real,block1
alienage,alienage,rs,,alien,ate,alienate,target,s,0.0,1,t,g,alienage,2,8,real,block1
decider,decoder,prs,de,cod,er,decoder,target,r,,1,o,i,decider,3,7,real,block1
build,build,r,,build,,build,control,r,,4,d,t,built,0,5,real,block1
solidify,soledify,rs,,solid,ify,solidify,target,r,,3,i,e,soledify,1,8,real,block1
unmindhul,unmindful,prs,un,mind,ful,unmindful,target,s,0.0,0,f,h,unmindhul,3,9,real,block1
discubs,discuss,r,,discuss,,discuss,control,r,,5,s,b,discubs,3,7,real,block1
diffidult,diffidult,r,,difficult,,difficult,control,r,,5,c,d,diffidult,2,9,real,block1
totil,total,r,,total,,total,control,r,,3,a,i,totil,3,5,real,block1
unreft,unreft,pr,un,rest,,unrest,target,r,,2,s,f,unreft,2,6,real,block1
reoutsell,reoutsell,ppr,re_out,sell,,reoutsell,target,r,,2,l,r,reoutserl,0,9,real,block1
propiganda,propiganda,r,,propaganda,,propaganda,control,r,,4,a,i,propiganda,2,10,real,block1
kisclosure,kisclosure,prs,dis,clos,ure,disclosure,target,p,0.0,0,d,k,kisclosure,2,10,real,block1
irpossibly,irpossibly,prs,im,possib,ly,impossibly,target,p,0.0,1,m,r,irpossibly,2,10,real,block1
rhinoceros,rhinoceros,r,,rhinoceros,,rhinoceros,control,r,,3,n,r,rhiroceros,0,10,real,block1
achieve,ahhieve,r,,achieve,,achieve,control,r,,1,c,h,ahhieve,1,7,real,block1
wrongfully,wrongfully,rss,,wrong,ful_ly,wrongfully,target,r,,2,o,e,wrengfully,0,10,real,block1
reimburde,reimburse,ppr,re_im,burse,,reimburse,target,r,,3,s,d,reimburde,3,9,real,block1
unkindly,enkindly,prs,un,kind,ly,unkindly,target,p,0.0,0,u,e,enkindly,1,8,real,block1
svandard,svandard,r,,standard,,standard,control,r,,1,t,v,svandard,2,8,real,block1
foreign,foreign,r,,foreign,,foreign,control,r,,2,r,l,foleign,0,7,real,block1
nonsenbe,nonsenbe,pr,non,sense,,nonsense,target,r,,3,s,b,nonsenbe,2,8,real,block1
hawlelujah,hallelujah,r,,hallelujah,,hallelujah,control,r,,2,l,w,hawlelujah,3,10,real,block1
naturalize,naturalize,rss,,natur,al_ize,naturalize,target,r,,1,a,o,noturalize,0,10,real,block1
essist,assist,r,,assist,,assist,control,r,,0,a,e,essist,3,6,real,block1
profess,profess,r,,profess,,profess,control,r,,2,o,i,prifess,0,7,real,block1
cartridge,cartridge,r,,cartridge,,cartridge,control,r,,7,g,f,cartridfe,0,9,real,block1
cellophane,cellophame,r,,cellophane,,cellophane,control,r,,8,n,m,cellophame,1,10,real,block1
allurement,allurement,rs,,allure,ment,allurement,target,r,,5,e,a,allurament,0,10,real,block1
single,single,r,,single,,single,control,r,,1,i,a,sangle,0,6,real,block1
boomerang,boomerang,r,,boomerang,,boomerang,control,r,,1,o,a,baomerang,0,9,real,block1
sexost,sexist,rs,,sex,ist,sexist,target,s,0.0,0,i,o,sexost,3,6,real,block1
accomplici,accomplici,r,,accomplice,,accomplice,control,r,,9,e,i,accomplici,2,10,real,block1
somple,simple,r,,simple,,simple,control,r,,1,i,o,somple,3,6,real,block1
whiter,wheter,rs,,whit,er,whiter,target,r,,2,i,e,wheter,1,6,real,block1
reenacs,reenacs,ppr,re_en,act,,reenact,target,r,,2,t,s,reenacs,2,7,real,block1
repar,repar,pr,re,pay,,repay,target,r,,2,y,r,repar,2,5,real,block1
premisuse,pmemisuse,ppr,pre_mis,use,,premisuse,target,p,0.0,1,r,m,pmemisuse,1,9,real,block1
emphases,emphasis,r,,emphasis,,emphasis,control,r,,6,i,e,emphases,3,8,real,block1
reimport,reimporf,ppr,re_im,port,,reimport,target,r,,3,t,f,reimporf,1,8,real,block1
benefit,benefit,r,,benefit,,benefit,control,r,,2,n,y,beyefit,0,7,real,block1
complaint,colplaint,r,,complaint,,complaint,control,r,,2,m,l,colplaint,1,9,real,block1
horricane,horricane,r,,hurricane,,hurricane,control,r,,1,u,o,horricane,2,9,real,block1
ixperience,ixperience,r,,experience,,experience,control,r,,0,e,i,ixperience,2,10,real,block1
schedule,tchedule,r,,schedule,,schedule,control,r,,0,s,t,tchedule,1,8,real,block1
depopumate,depopulate,prs,de,popul,ate,depopulate,target,r,,4,l,m,depopumate,3,10,real,block1
neighbor,neighbor,r,,neighbor,,neighbor,control,r,,2,i,e,neeghbor,0,8,real,block1
disagree,dosagree,pr,dis,agree,,disagree,target,p,0.0,1,i,o,dosagree,1,8,real,block1
nenracial,nonracial,prs,non,raci,al,nonracial,target,p,0.0,1,o,e,nenracial,3,9,real,block1
rewew,renew,pr,re,new,,renew,target,r,,0,n,w,rewew,3,5,real,block1
understand,understand,r,,understand,,understand,control,r,,9,d,h,understanh,0,10,real,block1
dolphin,dolphin,r,,dolphin,,dolphin,control,r,,6,n,m,dolphim,0,7,real,block1
pomtrait,pomtrait,r,,portrait,,portrait,control,r,,2,r,m,pomtrait,2,8,real,block1
uninform,uninform,ppr,un_in,form,,uninform,target,r,,0,f,h,uninhorm,0,8,real,block1
unmenly,unmanly,prs,un,man,ly,unmanly,target,r,,1,a,e,unmenly,3,7,real,block1
inwisally,inwisally,prss,un,wis,al_ly,unwisally,target,p,0.0,0,u,i,inwisally,2,9,pseudo,block2
erotunoc,erotunoc,ppr,er_otu,noc,,erotunoc,control,p,0.0,1,r,j,ejotunoc,0,8,pseudo,block2
encunment,encunment,prs,en,cun,ment,encunment,target,p,0.0,1,n,m,emcunment,0,9,pseudo,block2
nutecison,nutecison,prs,nu,tec,ison,nutecison,control,s,0.0,2,o,i,nutecisin,0,9,pseudo,block2
discet,discet,pr,dis,cet,,discet,target,p,0.0,1,i,o,doscet,0,6,pseudo,block2
abkeamally,abkeamally,prss,ab,keam,al_ly,abkeamally,target,s,0.0,1,l,r,abkeamarly,0,10,pseudo,block2
taakor,teakor,rs,,teak,or,teakor,target,r,,1,e,a,taakor,3,6,pseudo,block2
sidpookyl,sidpookyl,prs,sid,pook,yl,sidpookyl,control,p,0.0,1,i,o,sodpookyl,0,9,pseudo,block2
koelically,koelically,rsss,,koul,ic_al_ly,koulically,target,r,,2,u,e,koelically,2,10,pseudo,block2
nimerk,nimerk,pr,ni,werk,,niwerk,control,r,,0,w,m,nimerk,2,6,pseudo,block2
niut,niut,r,,naut,,naut,control,r,,1,a,i,niut,2,4,pseudo,block2
nuslasim,nuslasim,rss,,nuc,la_sim,nuclasim,control,r,,2,c,s,nuslasim,2,8,pseudo,block2
bof,tof,r,,bof,,bof,control,r,,0,b,t,tof,1,3,pseudo,block2
nugeronila,nugenonila,prss,nu,gen,oni_la,nugenonila,control,r,,2,n,r,nugeronila,3,10,pseudo,block2
nurtically,nertically,rsss,,nurt,ic_al_ly,nurtically,target,r,,1,u,e,nertically,1,10,pseudo,block2
krewically,brewically,rsss,,krew,ic_al_ly,krewically,target,r,,0,k,b,brewically,1,10,pseudo,block2
reevci,reetci,rs,,reet,ci,reetci,control,r,,3,t,v,reevci,3,6,pseudo,block2
inkoopness,irkoopness,prs,in,koop,ness,inkoopness,target,p,0.0,1,n,r,irkoopness,1,10,pseudo,block2
reoverfom,reoverfom,ppr,re_over,fom,,reoverfom,target,p,1.0,3,r,m,reovemfom,0,9,pseudo,block2
conment,conmint,rs,,con,ment,conment,target,s,0.0,1,e,i,conmint,1,7,pseudo,block2
overkoam,overkoam,pr,over,keam,,overkeam,target,r,,1,e,o,overkoam,2,8,pseudo,block2
uniglec,unigloc,pr,uni,gloc,,unigloc,target,r,,2,o,e,uniglec,3,7,pseudo,block2
crig,trig,r,,trig,,trig,control,r,,0,t,c,crig,3,4,pseudo,block2
fobistic,fobistoc,rss,,fob,ist_ic,fobistic,target,s,1.0,0,i,o,fobistoc,1,8,pseudo,block2
conalist,conalist,rss,,con,al_ist,conalist,target,r,,0,c,p,ponalist,0,8,pseudo,block2
darh,darh,r,,darf,,darf,target,r,,3,f,h,darh,2,4,pseudo,block2
siwcilayl,siwcilaym,rsss,,siw,ci_la_yl,siwcilayl,control,s,2.0,1,l,m,siwcilaym,1,9,pseudo,block2
tecouis,tecouis,rs,,tec,ouis,tecouis,control,s,0.0,3,s,h,tecouih,0,7,pseudo,block2
mofya,mofya,rs,,mof,la,mofla,control,s,0.0,0,l,y,mofya,2,5,pseudo,block2
innegatiun,innegatiun,prss,in,neg,at_ion,innegation,target,s,1.0,1,o,u,innegatiun,2,10,pseudo,block2
sihneil,sihneil,pr,sid,neil,,sidneil,control,p,0.0,2,d,h,sihneil,2,7,pseudo,block2
keatsit,peatsit,rs,,keat,sit,keatsit,control,r,,0,k,p,peatsit,1,7,pseudo,block2
miselpsens,miselpsens,prs,mi,selk,sens,miselksens,control,r,,3,k,p,miselpsens,2,10,pseudo,block2
eredsiw,eretsiw,ppr,er_ed,siw,,eredsiw,control,p,1.0,1,d,t,eretsiw,1,7,pseudo,block2
nuselklayl,nuselklayl,prss,nu,selk,la_yl,nuselklayl,control,s,1.0,1,l,r,nuselklayr,0,10,pseudo,block2
uncunally,uncunally,prss,un,cun,al_ly,uncunally,target,p,0.0,1,n,w,uwcunally,0,9,pseudo,block2
poov,poov,r,,pook,,pook,control,r,,3,k,v,poov,2,4,pseudo,block2
erehtrun,eredtrun,ppr,er_ed,trun,,eredtrun,control,p,1.0,1,d,h,erehtrun,3,8,pseudo,block2
erverocolg,erverocolt,ppr,er_vero,colg,,erverocolg,control,r,,3,g,t,erverocolt,1,10,pseudo,block2
drunocally,drunocally,rsss,,drun,ic_al_ly,drunically,target,s,0.0,0,i,o,drunocally,2,10,pseudo,block2
basnurd,basnurd,pr,bus,nurd,,busnurd,control,p,0.0,1,u,a,basnurd,2,7,pseudo,block2
redekoop,redekaop,ppr,re_de,koop,,redekoop,target,r,,1,o,a,redekaop,1,8,pseudo,block2
legist,negist,rs,,neg,ist,negist,target,r,,0,n,l,legist,3,6,pseudo,block2
unketionol,unketionol,prss,un,ket,ion_al,unketional,target,s,1.0,0,a,o,unketionol,2,10,pseudo,block2
reyislien,reyislien,ppr,re_mis,lien,,remislien,target,p,1.0,0,m,y,reyislien,2,9,pseudo,block2
reoutfob,reoutfob,ppr,re_out,fob,,reoutfob,target,r,,2,b,h,reoutfoh,0,8,pseudo,block2
remcilayl,remcilayl,rsss,,rem,ci_la_yl,remcilayl,control,s,1.0,0,l,r,remcirayl,0,9,pseudo,block2
ketalism,ketalism,rss,,ket,al_ism,ketalism,target,s,0.0,0,a,e,ketelism,0,8,pseudo,block2
unnurtical,ulnurtical,prss,un,nurt,ic_al,unnurtical,target,p,0.0,1,n,l,ulnurtical,1,10,pseudo,block2
soomional,soomional,rss,,soom,ion_al,soomional,target,r,,1,o,u,suomional,0,9,pseudo,block2
contarce,contance,rs,,cont,ance,contance,target,s,0.0,1,n,r,contarce,3,8,pseudo,block2
bumooslayl,bamooslayl,prss,ba,moos,la_yl,bamooslayl,control,p,0.0,1,a,u,bumooslayl,3,10,pseudo,block2
nurdilsens,nurdolsens,rss,,nurd,il_sens,nurdilsens,control,s,0.0,0,i,o,nurdolsens,1,10,pseudo,block2
moflasitxi,moflasitci,rsss,,mof,la_sit_ci,moflasitci,control,s,2.0,0,c,x,moflasitxi,3,10,pseudo,block2
nimaftaono,nimaftaoni,prss,ni,maf,ta_oni,nimaftaoni,control,s,1.0,2,i,o,nimaftaono,3,10,pseudo,block2
cat,cet,r,,cet,,cet,target,r,,1,e,a,cat,3,3,pseudo,block2
wisitally,wisically,rsss,,wis,ic_al_ly,wisically,target,s,0.0,1,c,t,wisitally,3,9,pseudo,block2
teat,keat,r,,keat,,keat,control,r,,0,k,t,teat,3,4,pseudo,block2
nurdyr,nurdyr,rs,,nurd,yl,nurdyl,control,s,0.0,1,l,r,nurdyr,2,6,pseudo,block2
abdrunally,asdrunally,prss,ab,drun,al_ly,abdrunally,target,p,0.0,1,b,s,asdrunally,1,10,pseudo,block2
nesalistic,negalistic,rsss,,neg,al_ist_ic,negalistic,target,r,,2,g,s,nesalistic,3,10,pseudo,block2
nedarf,redarf,pr,re,darf,,redarf,target,p,0.0,0,r,n,nedarf,3,6,pseudo,block2
teakihally,teakically,rsss,,teak,ic_al_ly,teakically,target,s,0.0,1,c,h,teakihally,3,10,pseudo,block2
eredloek,eredlouk,ppr,er_ed,louk,,eredlouk,control,r,,2,u,e,eredloek,3,8,pseudo,block2
jurtiously,jurtiously,rss,,nurt,ious_ly,nurtiously,target,r,,0,n,j,jurtiously,2,10,pseudo,block2
contalize,contalize,rss,,cont,al_ize,contalize,target,r,,0,c,t,tontalize,0,9,pseudo,block2
inumaos,inumaos,pr,inu,moos,,inumoos,control,r,,1,o,a,inumaos,2,7,pseudo,block2
ermef,ermef,pr,er,mof,,ermof,control,r,,1,o,e,ermef,2,5,pseudo,block2
nuf,nuf,r,,nuc,,nuc,control,r,,2,c,f,nuf,2,3,pseudo,block2
revomas,revomas,pr,revo,maf,,revomaf,control,r,,2,f,s,revomas,2,7,pseudo,block2
wisious,wisious,rs,,wis,ious,wisious,target,r,,0,w,m,misious,0,7,pseudo,block2
clatal,clatam,rs,,clat,al,clatal,target,s,0.0,1,l,m,clatam,1,6,pseudo,block2
unkelsness,unkelsness,prs,un,kels,ness,unkelsness,target,p,0.0,0,u,a,ankelsness,0,10,pseudo,block2
toncnemt,toncnert,rs,,tonc,nemt,toncnemt,control,s,0.0,2,m,r,toncnert,1,8,pseudo,block2
koopically,koopically,rsss,,koop,ic_al_ly,koopically,target,s,1.0,0,a,i,koopicilly,0,10,pseudo,block2
numdcilayl,numdcilayl,rsss,,nurd,ci_la_yl,nurdcilayl,control,r,,2,r,m,numdcilayl,2,10,pseudo,block2
abfobally,ubfobally,prss,ab,fob,al_ly,abfobally,target,p,0.0,0,a,u,ubfobally,1,9,pseudo,block2
nuyafsens,numafsens,prs,nu,maf,sens,numafsens,control,r,,0,m,y,nuyafsens,3,9,pseudo,block2
teccilayl,teccilayl,rsss,,tec,ci_la_yl,teccilayl,control,r,,2,c,t,tetcilayl,0,9,pseudo,block2
rouk,rouk,r,,louk,,louk,control,r,,0,l,r,rouk,2,4,pseudo,block2
famal,famal,rs,,fam,al,famal,target,s,0.0,1,l,m,famam,0,5,pseudo,block2
nef,nef,r,,neg,,neg,target,r,,2,g,f,nef,2,3,pseudo,block2
selklapit,selklapit,rss,,selk,la_sit,selklasit,control,s,1.0,0,s,p,selklapit,2,9,pseudo,block2
elkoul,enkoul,pr,en,koul,,enkoul,target,p,0.0,1,n,l,elkoul,3,6,pseudo,block2
wisift,wisist,rs,,wis,ist,wisist,target,s,0.0,1,s,f,wisift,3,6,pseudo,block2
nudcilayl,nudcilayl,rsss,,nuc,ci_la_yl,nuccilayl,control,r,,2,c,d,nudcilayl,2,9,pseudo,block2
erninaut,orninaut,ppr,er_ni,naut,,erninaut,control,p,0.0,0,e,o,orninaut,1,8,pseudo,block2
koncouis,toncouis,rs,,tonc,ouis,toncouis,control,r,,0,t,k,koncouis,3,8,pseudo,block2
reinglec,reinglec,ppr,re_in,gloc,,reingloc,target,r,,2,o,e,reinglec,2,8,pseudo,block2
abmerally,abmerelly,prss,ab,mer,al_ly,abmerally,target,s,0.0,0,a,e,abmerelly,1,9,pseudo,block2
conically,conically,rsss,,con,ic_al_ly,conically,target,r,,1,o,i,cinically,0,9,pseudo,block2
werk,wemk,r,,werk,,werk,control,r,,2,r,m,wemk,1,4,pseudo,block2
yemoos,nemoos,pr,ne,moos,,nemoos,control,p,0.0,0,n,y,yemoos,3,6,pseudo,block2
tuak,teak,r,,teak,,teak,target,r,,1,e,u,tuak,3,4,pseudo,block2
abteeralry,abteerally,prss,ab,teer,al_ly,abteerally,target,s,1.0,0,l,r,abteeralry,3,10,pseudo,block2
repsimrem,repsimrem,ppr,rep_sim,rem,,repsimrem,control,r,,2,m,r,repsimrer,0,9,pseudo,block2
mooscilayl,mooscilayl,rsss,,moos,ci_la_yl,mooscilayl,control,r,,2,o,i,moiscilayl,0,10,pseudo,block2
basarglarl,basarglarl,prss,ba,sarg,la_yl,basarglayl,control,s,1.0,0,y,r,basarglarl,2,10,pseudo,block2
nucenca,nuhenca,rs,,nuc,enca,nucenca,control,r,,2,c,h,nuhenca,1,7,pseudo,block2
tok,tek,r,,tek,,tek,control,r,,1,e,o,tok,3,3,pseudo,block2
reinpoul,reinkoul,ppr,re_in,koul,,reinkoul,target,r,,0,k,p,reinpoul,3,8,pseudo,block2
dislien,dislien,pr,dis,lien,,dislien,target,r,,0,l,m,dismien,0,7,pseudo,block2
conalistec,conalistic,rsss,,con,al_ist_ic,conalistic,target,s,2.0,0,i,e,conalistec,3,10,pseudo,block2
bofsitci,bafsitci,rss,,bof,sit_ci,bofsitci,control,r,,1,o,a,bafsitci,1,8,pseudo,block2
feag,feag,r,,feeg,,feeg,control,r,,2,e,a,feag,2,4,pseudo,block2
ernitrig,ernitrig,ppr,er_ni,trig,,ernitrig,control,r,,2,i,e,ernitreg,0,8,pseudo,block2
sadtoncla,sadtoncla,prs,sid,tonc,la,sidtoncla,control,p,0.0,1,i,a,sadtoncla,2,9,pseudo,block2
sidmenoil,sidmenoil,ppr,sid_me,neil,,sidmeneil,control,r,,1,e,o,sidmenoil,2,9,pseudo,block2
rafcilayl,rafcilayl,rsss,,maf,ci_la_yl,mafcilayl,control,r,,0,m,r,rafcilayl,2,9,pseudo,block2
talccilayl,talccinayl,rsss,,talc,ci_la_yl,talccilayl,control,s,1.0,0,l,n,talccinayl,1,10,pseudo,block2
balouklayl,balouklayl,prss,ba,louk,la_yl,balouklayl,control,p,0.0,1,a,e,belouklayl,0,10,pseudo,block2
minurdoni,winurdoni,prs,mi,nurd,oni,minurdoni,control,p,0.0,0,m,w,winurdoni,1,9,pseudo,block2
incontness,incontnest,prs,in,cont,ness,incontness,target,s,0.0,3,s,t,incontnest,1,10,pseudo,block2
unteemally,unteemally,prss,un,teer,al_ly,unteerally,target,r,,3,r,m,unteemally,2,10,pseudo,block2
kotmental,kotmental,rss,,ket,ment_al,ketmental,target,r,,1,e,o,kotmental,2,9,pseudo,block2
meoverfam,meoverfam,ppr,re_over,fam,,reoverfam,target,p,0.0,0,r,m,meoverfam,2,9,pseudo,block2
trihnemtla,trihnemtla,rss,,trig,nemt_la,trignemtla,control,r,,3,g,h,trihnemtla,2,10,pseudo,block2
loen,loen,r,,lien,,lien,target,r,,1,i,o,loen,2,4,pseudo,block2
keir,keir,r,,keir,,keir,target,r,,0,k,h,heir,0,4,pseudo,block2
sednuc,sednuc,pr,sid,nuc,,sidnuc,control,p,0.0,1,i,e,sednuc,2,6,pseudo,block2
color,color,r,,color,,color,control,r,,3,o,a,colar,0,5,real,block3
shenanigan,shenaligan,r,,shenanigan,,shenanigan,control,r,,5,n,l,shenaligan,1,10,real,block3
welcome,welcome,r,,welcome,,welcome,control,r,,4,o,e,welceme,0,7,real,block3
principlo,principle,r,,principle,,principle,control,r,,8,e,o,principlo,3,9,real,block3
somersauls,somersauls,r,,somersault,,somersault,control,r,,9,t,s,somersauls,2,10,real,block3
unreal,unreal,pr,un,real,,unreal,target,r,,3,l,w,unreaw,0,6,real,block3
unfriendll,unfriendll,prs,un,friend,ly,unfriendly,target,s,0.0,1,y,l,unfriendll,2,10,real,block3
architect,anchitect,r,,architect,,architect,control,r,,1,r,n,anchitect,1,9,real,block3
announce,announca,r,,announce,,announce,control,r,,7,e,a,announca,1,8,real,block3
unlawful,unlawful,prs,un,law,ful,unlawful,target,p,0.0,1,n,r,urlawful,0,8,real,block3
kieroglyph,hieroglyph,r,,hieroglyph,,hieroglyph,control,r,,0,h,k,kieroglyph,3,10,real,block3
tanefully,tanefully,rss,,tune,ful_ly,tunefully,target,r,,1,u,a,tanefully,2,9,real,block3
champagne,champagne,r,,champagne,,champagne,control,r,,4,p,h,chamhagne,0,9,real,block3
embarrads,embarrass,r,,embarrass,,embarrass,control,r,,7,s,d,embarrads,3,9,real,block3
province,province,r,,province,,province,control,r,,5,n,m,provimce,0,8,real,block3
witlessly,witlessly,rss,,wit,less_ly,witlessly,target,r,,2,t,d,widlessly,0,9,real,block3
vilgarism,vilgarism,rs,,vulgar,ism,vulgarism,target,r,,1,u,i,vilgarism,2,9,real,block3
neigdbour,neighbour,r,,neighbour,,neighbour,control,r,,4,h,d,neigdbour,3,9,real,block3
paradase,paradase,r,,paradise,,paradise,control,r,,5,i,a,paradase,2,8,real,block3
wfole,whole,r,,whole,,whole,control,r,,1,h,f,wfole,3,5,real,block3
industry,inbustry,r,,industry,,industry,control,r,,2,d,b,inbustry,1,8,real,block3
reusable,reusahle,prs,re,us,able,reusable,target,s,0.0,1,b,h,reusahle,1,8,real,block3
reviewar,reviewar,prs,re,view,er,reviewer,target,s,0.0,0,e,a,reviewar,2,8,real,block3
remover,remover,prs,re,mov,er,remover,target,p,0.0,0,r,m,memover,0,7,real,block3
tenseness,tenseness,rs,,tense,ness,tenseness,target,r,,3,s,g,tengeness,0,9,real,block3
devalue,divalue,pr,de,value,,devalue,target,p,0.0,1,e,i,divalue,1,7,real,block3
pronoance,pronoance,r,,pronounce,,pronounce,control,r,,5,u,a,pronoance,2,9,real,block3
