first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
surfur,surfur,rs,,surf,er,surfer,target,s,0.0,0,e,u,surfur,2,6,real,block1
ditermine,determine,r,,determine,,determine,control,r,,1,e,i,ditermine,3,9,real,block1
disposal,disposal,prs,dis,pos,al,disposal,target,r,,2,s,t,dispotal,0,8,real,block1
predispose,predistose,ppr,pre_dis,pose,,predispose,target,r,,0,p,t,predistose,1,10,real,block1
close,flose,r,,close,,close,control,r,,0,c,f,flose,1,5,real,block1
vamentine,valentine,r,,valentine,,valentine,control,r,,2,l,m,vamentine,3,9,real,block1
wetny,wetny,rs,,wet,ly,wetly,target,s,0.0,0,l,n,wetny,2,5,real,block1
labiur,labour,r,,labour,,labour,control,r,,3,o,i,labiur,3,6,real,block1
reinforca,reinforce,ppr,re_in,force,,reinforce,target,r,,4,e,a,reinforca,3,9,real,block1
money,monay,r,,money,,money,control,r,,3,e,a,monay,1,5,real,block1
snorer,snorer,rs,,snor,er,snorer,target,r,,3,r,m,snomer,0,6,real,block1
progremme,programme,r,,programme,,programme,control,r,,5,a,e,progremme,3,9,real,block1
disembowel,dosembowel,ppr,dis_em,bowel,,disembowel,target,p,0.0,1,i,o,dosembowel,1,10,real,block1
recycle,recmcle,pr,re,cycle,,recycle,target,r,,1,y,m,recmcle,1,7,real,block1
curably,curably,rss,,cur,abl_y,curably,target,s,1.0,0,y,l,curabll,0,7,real,block1
unwisely,unwisoly,prs,un,wise,ly,unwisely,target,r,,3,e,o,unwisoly,1,8,real,block1
normalitn,normality,rss,,norm,al_ity,normality,target,s,1.0,2,y,n,normalitn,3,9,real,block1
fatally,fatallm,rss,,fat,al_ly,fatally,target,s,1.0,1,y,m,fatallm,1,7,real,block1
westerneze,westernize,rss,,west,ern_ize,westernize,target,s,1.0,0,i,e,westerneze,3,10,real,block1
ercase,encase,pr,en,case,,encase,target,p,0.0,1,n,r,ercase,3,6,real,block1
least,meast,r,,least,,least,control,r,,0,l,m,meast,1,5,real,block1
protram,program,r,,program,,program,control,r,,3,g,t,protram,3,7,real,block1
threshold,thrishold,r,,threshold,,threshold,control,r,,3,e,i,thrishold,1,9,real,block1
warmer,warmel,rs,,warm,er,warmer,target,s,0.0,1,r,l,warmel,1,6,real,block1
holecaust,holocaust,r,,holocaust,,holocaust,control,r,,3,o,e,holecaust,3,9,real,block1
counsew,counsel,r,,counsel,,counsel,control,r,,6,l,w,counsew,3,7,real,block1
extract,extracf,pr,ex,tract,,extract,target,r,,4,t,f,extracf,1,7,real,block1
leprechaun,leprechaun,r,,leprechaun,,leprechaun,control,r,,6,h,s,leprecsaun,0,10,real,block1
discourage,discourage,pr,dis,courage,,discourage,target,p,0.0,0,d,f,fiscourage,0,10,real,block1
uniformly,aniformly,prs,uni,form,ly,uniformly,target,p,0.0,0,u,a,aniformly,1,9,real,block1
attempt,attempt,r,,attempt,,attempt,control,r,,3,e,i,attimpt,0,7,real,block1
misfertune,misfortune,pr,mis,fortune,,misfortune,target,r,,1,o,e,misfertune,3,10,real,block1
wishfully,withfully,rss,,wish,ful_ly,wishfully,target,r,,2,s,t,withfully,1,9,real,block1
fucure,fucure,r,,future,,future,control,r,,2,t,c,fucure,2,6,real,block1
versutile,versutile,r,,versatile,,versatile,control,r,,4,a,u,versutile,2,9,real,block1
wocket,rocket,r,,rocket,,rocket,control,r,,0,r,w,wocket,3,6,real,block1
woodanly,woodanly,rss,,wood,en_ly,woodenly,target,s,0.0,0,e,a,woodanly,2,8,real,block1
reoupsmart,reoupsmart,ppr,re_out,smart,,reoutsmart,target,p,1.0,2,t,p,reoupsmart,2,10,real,block1
puler,puler,rs,,pal,er,paler,target,r,,1,a,u,puler,2,5,real,block1
unnaturan,unnaturan,prs,un,natur,al,unnatural,target,s,0.0,1,l,n,unnaturan,2,9,real,block1
phenomenon,dhenomenon,r,,phenomenon,,phenomenon,control,r,,0,p,d,dhenomenon,1,10,real,block1
