first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
avalanche,avalanche,r,,avalanche,,avalanche,control,r,,4,a,i,avalinche,0,9,real,block1
scientist,scientist,rs,,scient,ist,scientist,target,r,,0,s,t,tcientist,0,9,real,block1
folmow,folmow,r,,follow,,follow,control,r,,3,l,m,folmow,2,6,real,block1
protect,protect,r,,protect,,protect,control,r,,1,r,m,pmotect,0,7,real,block1
underscand,understand,r,,understand,,understand,control,r,,6,t,c,underscand,3,10,real,block1
cantaloupe,cantaloute,r,,cantaloupe,,cantaloupe,control,r,,8,p,t,cantaloute,1,10,real,block1
sprintor,sprinter,rs,,sprint,er,sprinter,target,s,0.0,0,e,o,sprintor,3,8,real,block1
sonfully,sinfully,rss,,sin,ful_ly,sinfully,target,r,,1,i,o,sonfully,3,8,real,block1
premistake,premistake,ppr,pre_mis,take,,premistake,target,r,,3,e,a,premistaka,0,10,real,block1
intellect,intelrect,r,,intellect,,intellect,control,r,,5,l,r,intelrect,1,9,real,block1
mecipe,mecipe,r,,recipe,,recipe,control,r,,0,r,m,mecipe,2,6,real,block1
enlisdment,enlisdment,prs,en,list,ment,enlistment,target,r,,3,t,d,enlisdment,2,10,real,block1
caracature,caracature,r,,caricature,,caricature,control,r,,3,i,a,caracature,2,10,real,block1
reumport,reumport,ppr,re_im,port,,reimport,target,p,1.0,0,i,u,reumport,2,8,real,block1
cestle,castle,r,,castle,,castle,control,r,,1,a,e,cestle,3,6,real,block1
unshaven,unshaven,prs,un,shav,en,unshaven,target,r,,2,a,u,unshuven,0,8,real,block1
catalogue,catalogue,r,,catalogue,,catalogue,control,r,,3,a,i,catilogue,0,9,real,block1
rejuvenate,nejuvenate,prs,re,juven,ate,rejuvenate,target,p,0.0,0,r,n,nejuvenate,1,10,real,block1
scrample,scrample,r,,scramble,,scramble,control,r,,5,b,p,scrample,2,8,real,block1
artillery,artillery,r,,artillery,,artillery,control,r,,4,l,m,artimlery,0,9,real,block1
phenomenin,phenomenin,r,,phenomenon,,phenomenon,control,r,,8,o,i,phenomenin,2,10,real,block1
reimburse,reilburse,ppr,re_im,burse,,reimburse,target,p,1.0,1,m,l,reilburse,1,9,real,block1
curwency,currency,r,,currency,,currency,control,r,,3,r,w,curwency,3,8,real,block1
teachable,teachable,rs,,teach,able,teachable,target,r,,1,e,a,taachable,0,9,real,block1
champaigm,champaign,r,,champaign,,champaign,control,r,,8,n,m,champaigm,3,9,real,block1
lawfilly,lawfilly,rss,,law,ful_ly,lawfully,target,s,0.0,1,u,i,lawfilly,2,8,real,block1
comfort,somfort,r,,comfort,,comfort,control,r,,0,c,s,somfort,1,7,real,block1
womanizer,woranizer,rss,,woman,iz_er,womanizer,target,r,,2,m,r,woranizer,1,9,real,block1
