first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
grasliness,graslinesv,rss,gras,,li_ness,grasliness,target,s,1.0,3,s,v,graslinesv,1,10,pseudo,block1
tricsim,tricsim,rs,trig,,sim,trigsim,control,r,,3,g,c,tricsim,2,7,pseudo,block1
neilcilayl,neilcimayl,rsss,neil,,ci_la_yl,neilcilayl,control,s,1.0,0,l,m,neilcimayl,1,10,pseudo,block1
revomaf,revomaf,pr,maf,revo,,revomaf,control,r,,0,m,w,revowaf,0,7,pseudo,block1
reetset,reetset,rs,reet,,sit,reetsit,control,s,0.0,1,i,e,reetset,2,7,pseudo,block1
unkeamical,unkeamical,prss,keam,un,ic_al,unkeamical,target,s,0.0,1,c,p,unkeamipal,0,10,pseudo,block1
nutekulfyj,nutekulfyl,prss,tek,nu,ulf_yl,nutekulfyl,control,s,1.0,1,l,j,nutekulfyj,3,10,pseudo,block1
unnegional,unnegional,prss,neg,un,ion_al,unnegional,target,r,,1,e,a,unnagional,0,10,pseudo,block1
silknemt,silknemt,rs,selk,,nemt,selknemt,control,r,,1,e,i,silknemt,2,8,pseudo,block1
rentipoop,rentipoop,pr,pook,renti,,rentipook,control,r,,3,k,p,rentipoop,2,9,pseudo,block1
neg,nog,r,neg,,,neg,target,r,,1,e,o,nog,1,3,pseudo,block1
keiric,keiric,rs,keir,,ic,keiric,target,r,,0,k,v,veiric,0,6,pseudo,block1
disdrunity,disdronity,prs,drun,dis,ity,disdrunity,target,r,,2,u,o,disdronity,1,10,pseudo,block1
ninaut,nineut,pr,naut,ni,,ninaut,control,r,,1,a,e,nineut,1,6,pseudo,block1
minurdoni,minurdoni,prs,nurd,mi,oni,minurdoni,control,p,0.0,1,i,e,menurdoni,0,9,pseudo,block1
keatlasir,keatlasir,rss,keat,,la_sim,keatlasim,control,s,1.0,2,m,r,keatlasir,2,9,pseudo,block1
ungeefical,ungeafical,prss,geef,un,ic_al,ungeefical,target,r,,2,e,a,ungeafical,1,10,pseudo,block1
somneiloni,simneiloni,prs,neil,sim,oni,simneiloni,control,p,0.0,1,i,o,somneiloni,3,10,pseudo,block1
inutrig,inuhrig,pr,trig,inu,,inutrig,control,r,,0,t,h,inuhrig,1,7,pseudo,block1
nureetlayl,nureetlayy,prss,reet,nu,la_yl,nureetlayl,control,s,1.0,1,l,y,nureetlayy,1,10,pseudo,block1
bidtrun,bidtrun,pr,trun,sid,,sidtrun,control,p,0.0,0,s,b,bidtrun,2,7,pseudo,block1
inkeam,imkeam,pr,keam,in,,inkeam,target,p,0.0,1,n,m,imkeam,1,6,pseudo,block1
tlatically,tlatically,rsss,clat,,ic_al_ly,clatically,target,r,,0,c,t,tlatically,2,10,pseudo,block1
ketally,ketalmy,rss,ket,,al_ly,ketally,target,s,1.0,0,l,m,ketalmy,1,7,pseudo,block1
incetfully,incetfully,prss,cet,un,ful_ly,uncetfully,target,p,0.0,0,u,i,incetfully,2,10,pseudo,block1
ersidbook,ersidpook,ppr,pook,er_sid,,ersidpook,control,r,,0,p,b,ersidbook,3,9,pseudo,block1
mofulfyl,mofulfyl,rss,mof,,ulf_yl,mofulfyl,control,r,,0,m,r,rofulfyl,0,8,pseudo,block1
disemcob,disemcob,ppr,fob,dis_em,,disemfob,target,r,,0,f,c,disemcob,2,8,pseudo,block1
fobate,fobate,rs,fob,,ate,fobate,target,r,,0,f,s,sobate,0,6,pseudo,block1
unclat,unclat,pr,clat,un,,unclat,target,r,,0,c,t,untlat,0,6,pseudo,block1
numof,lumof,pr,mof,nu,,numof,control,p,0.0,0,n,l,lumof,1,5,pseudo,block1
otunocneyl,otunocneyl,prss,noc,otu,ne_yl,otunocneyl,control,r,,1,o,a,otunacneyl,0,10,pseudo,block1
sodmesiw,sodmesiw,ppr,siw,sid_me,,sidmesiw,control,p,0.0,1,i,o,sodmesiw,2,8,pseudo,block1
cun,pun,r,cun,,,cun,target,r,,0,c,p,pun,1,3,pseudo,block1
wit,wis,r,wis,,,wis,target,r,,2,s,t,wit,3,3,pseudo,block1
ercimnurd,ercimnurd,ppr,nurd,er_sim,,ersimnurd,control,p,1.0,0,s,c,ercimnurd,2,9,pseudo,block1
cisfob,disfob,pr,fob,dis,,disfob,target,p,0.0,0,d,c,cisfob,3,6,pseudo,block1
feegnemt,feegnemt,rs,feeg,,nemt,feegnemt,control,s,0.0,2,m,r,feegnert,0,8,pseudo,block1
ersimtinc,ersimtinc,ppr,tonc,er_sim,,ersimtonc,control,r,,1,o,i,ersimtinc,2,9,pseudo,block1
prucunion,prucunion,prs,cun,pro,ion,procunion,target,p,0.0,2,o,u,prucunion,2,9,pseudo,block1
innegity,innegity,prs,neg,in,ity,innegity,target,s,0.0,0,i,e,innegety,0,8,pseudo,block1
tidsiwre,sidsiwre,prs,siw,sid,re,sidsiwre,control,p,0.0,0,s,t,tidsiwre,3,8,pseudo,block1
hisfober,disfober,prs,fob,dis,er,disfober,target,p,0.0,0,d,h,hisfober,3,8,pseudo,block1
taak,taak,r,teak,,,teak,target,r,,1,e,a,taak,2,4,pseudo,block1
nurtalist,nurtalist,rss,nurt,,al_ist,nurtalist,target,r,,3,t,h,nurhalist,0,9,pseudo,block1
mir,mir,r,mer,,,mer,target,r,,1,e,i,mir,2,3,pseudo,block1
interkoop,anterkoop,pr,koop,inter,,interkoop,target,p,0.0,0,i,a,anterkoop,1,9,pseudo,block1
outconenly,outconenly,prss,con,out,en_ly,outconenly,target,p,0.0,0,o,u,uutconenly,0,10,pseudo,block1
nutrunlayl,nutranlayl,prss,trun,nu,la_yl,nutrunlayl,control,r,,2,u,a,nutranlayl,1,10,pseudo,block1
girt,girt,r,girt,,,girt,target,r,,0,g,t,tirt,0,4,pseudo,block1
infobeon,infobion,prs,fob,in,ion,infobion,target,s,0.0,0,i,e,infobeon,3,8,pseudo,block1
reingrap,reingrap,ppr,gras,re_in,,reingras,target,r,,3,s,p,reingrap,2,8,pseudo,block1
koopality,koopality,rss,koop,,al_ity,koopality,target,r,,0,k,d,doopality,0,9,pseudo,block1
sargouisyl,sargouisyl,rss,sarg,,ouis_yl,sargouisyl,control,r,,3,g,h,sarhouisyl,0,10,pseudo,block1
conional,conionol,rss,con,,ion_al,conional,target,s,1.0,0,a,o,conionol,1,8,pseudo,block1
moosilsens,moosilsens,rss,moos,,il_sens,moosilsens,control,r,,3,s,t,mootilsens,0,10,pseudo,block1
erselk,ersemk,pr,selk,er,,erselk,control,r,,2,l,m,ersemk,1,6,pseudo,block1
workcilayl,werkcilayl,rsss,werk,,ci_la_yl,werkcilayl,control,r,,1,e,o,workcilayl,3,10,pseudo,block1
renisnurt,renisnurt,ppr,nurt,re_mis,,remisnurt,target,p,1.0,0,m,n,renisnurt,2,9,pseudo,block1
umicont,umicont,pr,cont,uni,,unicont,target,p,0.0,1,n,m,umicont,2,7,pseudo,block1
negilize,negalize,rss,neg,,al_ize,negalize,target,s,0.0,0,a,i,negilize,3,8,pseudo,block1
grasfullm,grasfully,rss,gras,,ful_ly,grasfully,target,s,1.0,1,y,m,grasfullm,3,9,pseudo,block1
siwulf,tiwulf,rs,siw,,ulf,siwulf,control,r,,0,s,t,tiwulf,1,6,pseudo,block1
fowically,fowically,rsss,fom,,ic_al_ly,fomically,target,r,,2,m,w,fowically,2,9,pseudo,block1
abmisality,abwisality,prss,wis,ab,al_ity,abwisality,target,r,,0,w,m,abmisality,3,10,pseudo,block1
meakcilayl,meakcilayl,rsss,meak,,ci_la_yl,meakcilayl,control,r,,3,k,d,meadcilayl,0,10,pseudo,block1
cmat,cmat,r,clat,,,clat,target,r,,1,l,m,cmat,2,4,pseudo,block1
