first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
unkindly,unkindly,prs,un,kind,ly,unkindly,target,p,0.0,0,u,o,onkindly,0,8,real,block1
instinct,instinct,r,,instinct,,instinct,control,r,,2,s,h,inhtinct,0,8,real,block1
overactive,ovelactive,prs,over,act,ive,overactive,target,p,0.0,3,r,l,ovelactive,1,10,real,block1
reoutsall,reoutsall,ppr,re_out,sell,,reoutsell,target,r,,1,e,a,reoutsall,2,9,real,block1
shenanisan,shenanisan,r,,shenanigan,,shenanigan,control,r,,7,g,s,shenanisan,2,10,real,block1
reinforce,reimforce,ppr,re_in,force,,reinforce,target,p,1.0,1,n,m,reimforce,1,9,real,block1
export,ebport,pr,ex,port,,export,target,p,0.0,1,x,b,ebport,1,6,real,block1
libjary,libjary,r,,library,,library,control,r,,3,r,j,libjary,2,7,real,block1
crustacean,crustacaan,r,,crustacean,,crustacean,control,r,,7,e,a,crustacaan,1,10,real,block1
repiscover,rediscover,ppr,re_dis,cover,,rediscover,target,p,1.0,0,d,p,repiscover,3,10,real,block1
woodenly,wuodenly,rss,,wood,en_ly,woodenly,target,r,,1,o,u,wuodenly,1,8,real,block1
experience,experience,r,,experience,,experience,control,r,,9,e,a,experienca,0,10,real,block1
yrestler,yrestler,rs,,wrestl,er,wrestler,target,r,,0,w,y,yrestler,2,8,real,block1
client,client,r,,client,,client,control,r,,4,n,w,cliewt,0,6,real,block1
dishonor,doshonor,pr,dis,honor,,dishonor,target,p,0.0,1,i,o,doshonor,1,8,real,block1
remisalihn,remisalign,ppr,re_mis,align,,remisalign,target,r,,3,g,h,remisalihn,3,10,real,block1
ingrefient,ingredient,r,,ingredient,,ingredient,control,r,,5,d,f,ingrefient,3,10,real,block1
compare,compare,r,,compare,,compare,control,r,,1,o,e,cempare,0,7,real,block1
tisbar,tisbar,pr,dis,bar,,disbar,target,p,0.0,0,d,t,tisbar,2,6,real,block1
chimpanzee,chimpanzee,r,,chimpanzee,,chimpanzee,control,r,,8,e,o,chimpanzoe,0,10,real,block1
disclosure,disclosure,prs,dis,clos,ure,disclosure,target,r,,3,s,t,discloture,0,10,real,block1
suspenso,suspenso,r,,suspense,,suspense,control,r,,7,e,o,suspenso,2,8,real,block1
formality,formality,rss,,form,al_ity,formality,target,r,,2,r,y,foymality,0,9,real,block1
immoral,ammoral,pr,im,moral,,immoral,target,p,0.0,0,i,a,ammoral,1,7,real,block1
embarrass,embarrasf,r,,embarrass,,embarrass,control,r,,8,s,f,embarrasf,1,9,real,block1
disombowel,disembowel,ppr,dis_em,bowel,,disembowel,target,p,1.0,0,e,o,disombowel,3,10,real,block1
leprechaun,leprechaun,r,,leprechaun,,leprechaun,control,r,,4,e,o,leprochaun,0,10,real,block1
disposal,dispasal,prs,dis,pos,al,disposal,target,r,,1,o,a,dispasal,1,8,real,block1
hieroglyph,hierotlyph,r,,hieroglyph,,hieroglyph,control,r,,5,g,t,hierotlyph,1,10,real,block1
etiquettu,etiquettu,r,,etiquette,,etiquette,control,r,,8,e,u,etiquettu,2,9,real,block1
habitually,habitualmy,rss,,habit,ual_ly,habitually,target,s,1.0,0,l,m,habitualmy,1,10,real,block1
straighter,dtraighter,rs,,straight,er,straighter,target,r,,0,s,d,dtraighter,1,10,real,block1
opinion,opinion,r,,opinion,,opinion,control,r,,0,o,i,ipinion,0,7,real,block1
unnaturel,unnatural,prs,un,natur,al,unnatural,target,s,0.0,0,a,e,unnaturel,3,9,real,block1
avalanche,avalanche,r,,avalanche,,avalanche,control,r,,2,a,o,avolanche,0,9,real,block1
treasure,treature,r,,treasure,,treasure,control,r,,4,s,t,treature,1,8,real,block1
reoverhook,reoverhook,ppr,re_over,cook,,reovercook,target,r,,0,c,h,reoverhook,2,10,real,block1
naturalism,naturalisr,rss,,natur,al_ism,naturalism,target,s,1.0,2,m,r,naturalisr,1,10,real,block1
reversable,reversable,prs,re,vers,able,reversable,target,r,,2,r,w,revewsable,0,10,real,block1
origun,origin,r,,origin,,origin,control,r,,4,i,u,origun,3,6,real,block1
unhisguise,unhisguise,ppr,un_dis,guise,,undisguise,target,p,1.0,0,d,h,unhisguise,2,10,real,block1
renaw,renew,pr,re,new,,renew,target,r,,1,e,a,renaw,3,5,real,block1
quarantine,quarantine,r,,quarantine,,quarantine,control,r,,8,n,r,quarantire,0,10,real,block1
pmonounce,pmonounce,r,,pronounce,,pronounce,control,r,,1,r,m,pmonounce,2,9,real,block1
chinchilla,chincfilla,r,,chinchilla,,chinchilla,control,r,,5,h,f,chincfilla,1,10,real,block1
woefulmy,woefulmy,rss,,woe,ful_ly,woefully,target,s,1.0,0,l,m,woefulmy,2,8,real,block1
scramble,scramble,r,,scramble,,scramble,control,r,,5,b,p,scrample,0,8,real,block1
mestaurant,restaurant,r,,restaurant,,restaurant,control,r,,0,r,m,mestaurant,3,10,real,block1
champaign,champaign,r,,champaign,,champaign,control,r,,5,a,o,champoign,0,9,real,block1
camouflage,camouflage,r,,camouflage,,camouflage,control,r,,6,l,r,camoufrage,0,10,real,block1
