first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
principle,principle,r,,principle,,principle,control,r,,4,c,g,pringiple,0,9,real,block1
softly,softly,rs,,soft,ly,softly,target,r,,2,f,t,sottly,0,6,real,block1
still,still,r,,stall,,stall,control,r,,2,a,i,still,2,5,real,block1
commune,commune,r,,commune,,commune,control,r,,1,o,a,cammune,0,7,real,block1
tearless,tearless,rs,,tear,less,tearless,target,s,0.0,0,l,m,tearmess,0,8,real,block1
accomplice,accomplite,r,,accomplice,,accomplice,control,r,,8,c,t,accomplite,1,10,real,block1
desembowel,disembowel,ppr,dis_em,bowel,,disembowel,target,p,0.0,1,i,e,desembowel,3,10,real,block1
satellite,satellihe,r,,satellite,,satellite,control,r,,7,t,h,satellihe,1,9,real,block1
youthfully,youtsfully,rss,,youth,ful_ly,youthfully,target,r,,4,h,s,youtsfully,1,10,real,block1
overstep,overstep,pr,over,step,,overstep,target,r,,2,e,o,overstop,0,8,real,block1
premesuse,premesuse,ppr,pre_mis,use,,premisuse,target,p,1.0,1,i,e,premesuse,2,9,real,block1
class,cmass,r,,class,,class,control,r,,1,l,m,cmass,1,5,real,block1
degrade,degrade,pr,de,grade,,degrade,target,r,,0,g,t,detrade,0,7,real,block1
surprise,surprise,r,,surprise,,surprise,control,r,,4,r,m,surpmise,0,8,real,block1
unlawful,unlawfol,prs,un,law,ful,unlawful,target,s,0.0,1,u,o,unlawfol,1,8,real,block1
tambourine,tamtourine,r,,tambourine,,tambourine,control,r,,3,b,t,tamtourine,1,10,real,block1
street,streeh,r,,street,,street,control,r,,5,t,h,streeh,1,6,real,block1
marijuana,marijuana,r,,marijuana,,marijuana,control,r,,5,u,i,marijiana,0,9,real,block1
nepaint,repaint,pr,re,paint,,repaint,target,p,0.0,0,r,n,nepaint,3,7,real,block1
cistrict,cistrict,r,,district,,district,control,r,,0,d,c,cistrict,2,8,real,block1
benefit,benefit,r,,benefit,,benefit,control,r,,1,e,a,banefit,0,7,real,block1
outperform,outperform,pr,out,perform,,outperform,target,r,,1,e,u,outpurform,0,10,real,block1
reviewer,reviewir,prs,re,view,er,reviewer,target,s,0.0,0,e,i,reviewir,1,8,real,block1
complete,corplete,r,,complete,,complete,control,r,,2,m,r,corplete,1,8,real,block1
redisagree,redisagmee,ppr,re_dis,agree,,redisagree,target,r,,2,r,m,redisagmee,1,10,real,block1
waefully,woefully,rss,,woe,ful_ly,woefully,target,r,,1,o,a,waefully,3,8,real,block1
oetshine,oetshine,pr,out,shine,,outshine,target,p,0.0,1,u,e,oetshine,2,8,real,block1
rejevenate,rejevenate,prs,re,juven,ate,rejuvenate,target,r,,1,u,e,rejevenate,2,10,real,block1
restaurant,restaurant,r,,restaurant,,restaurant,control,r,,0,r,y,yestaurant,0,10,real,block1
unmindful,onmindful,prs,un,mind,ful,unmindful,target,p,0.0,0,u,o,onmindful,1,9,real,block1
difficult,difficult,r,,difficult,,difficult,control,r,,5,c,k,diffikult,0,9,real,block1
agree,agree,r,,agree,,agree,control,r,,0,a,e,egree,0,5,real,block1
ipholder,upholder,prs,up,hold,er,upholder,target,p,0.0,0,u,i,ipholder,3,8,real,block1
stronge,strange,r,,strange,,strange,control,r,,3,a,o,stronge,3,7,real,block1
reinforce,meinforce,ppr,re_in,force,,reinforce,target,p,0.0,0,r,m,meinforce,1,9,real,block1
reoutfmart,reoutsmart,ppr,re_out,smart,,reoutsmart,target,r,,0,s,f,reoutfmart,3,10,real,block1
usage,usago,rs,,us,age,usage,target,s,0.0,2,e,o,usago,1,5,real,block1
woodenness,woodanness,rss,,wood,en_ness,woodenness,target,s,0.0,0,e,a,woodanness,1,10,real,block1
curably,curably,rss,,cur,abl_y,curably,target,r,,0,c,s,surably,0,7,real,block1
wakefully,wakefully,rss,,wake,ful_ly,wakefully,target,s,1.0,1,y,m,wakefullm,0,9,real,block1
sctricter,sctrictir,rs,,sctrict,er,sctricter,target,s,0.0,0,e,i,sctrictir,1,9,real,block1
cenverse,converse,r,,converse,,converse,control,r,,1,o,e,cenverse,3,8,real,block1
wrote,write,r,,write,,write,control,r,,2,i,o,wrote,3,5,real,block1
conflict,confrict,r,,conflict,,conflict,control,r,,4,l,r,confrict,1,8,real,block1
fouwthly,fouwthly,rss,,four,th_ly,fourthly,target,r,,3,r,w,fouwthly,2,8,real,block1
dtate,state,r,,state,,state,control,r,,0,s,d,dtate,3,5,real,block1
wamanizer,wamanizer,rss,,woman,iz_er,womanizer,target,r,,1,o,a,wamanizer,2,9,real,block1
artifice,arhifice,r,,artifice,,artifice,control,r,,2,t,h,arhifice,1,8,real,block1
frivon,frivon,r,,frivol,,frivol,control,r,,5,l,n,frivon,2,6,real,block1
sensory,sensory,rss,,sens,or_y,sensory,target,s,1.0,0,y,r,sensorr,0,7,real,block1
westernize,westernizu,rss,,west,ern_ize,westernize,target,s,1.0,2,e,u,westernizu,1,10,real,block1
eucalyptus,eucalyptis,r,,eucalyptus,,eucalyptus,control,r,,8,u,i,eucalyptis,1,10,real,block1
difinherit,difinherit,ppr,dis_in,herit,,disinherit,target,p,0.0,2,s,f,difinherit,2,10,real,block1
stimulos,stimulos,r,,stimulus,,stimulus,control,r,,6,u,o,stimulos,2,8,real,block1
fatally,fatally,rss,,fat,al_ly,fatally,target,r,,0,f,s,satally,0,7,real,block1
disembody,disembody,ppr,dis_em,body,,disembody,target,p,1.0,1,m,w,disewbody,0,9,real,block1
cliim,claim,r,,claim,,claim,control,r,,2,a,i,cliim,3,5,real,block1
college,collego,r,,college,,college,control,r,,6,e,o,collego,1,7,real,block1
invalidate,invalidate,prs,in,valid,ate,invalidate,target,p,0.0,1,n,m,imvalidate,0,10,real,block1
hrostitute,prostitute,r,,prostitute,,prostitute,control,r,,0,p,h,hrostitute,3,10,real,block1
calentar,calendar,r,,calendar,,calendar,control,r,,5,d,t,calentar,3,8,real,block1
perform,perfarm,r,,perform,,perform,control,r,,4,o,a,perfarm,1,7,real,block1
sabitually,sabitually,rss,,habit,ual_ly,habitually,target,r,,0,h,s,sabitually,2,10,real,block1
redeflate,redeflave,ppr,re_de,flate,,redeflate,target,r,,3,t,v,redeflave,1,9,real,block1
reinstate,reinstate,ppr,re_in,state,,reinstate,target,p,1.0,1,n,r,reirstate,0,9,real,block1
reservoiy,reservoir,r,,reservoir,,reservoir,control,r,,8,r,y,reservoiy,3,9,real,block1
friendly,triendly,rs,,friend,ly,friendly,target,r,,0,f,t,triendly,1,8,real,block1
naturalize,naturalize,rss,,natur,al_ize,naturalize,target,r,,2,t,s,nasuralize,0,10,real,block1
semtence,sentence,r,,sentence,,sentence,control,r,,2,n,m,semtence,3,8,real,block1
discipline,discipline,r,,discipline,,discipline,control,r,,6,l,w,discipwine,0,10,real,block1
comtlain,complain,r,,complain,,complain,control,r,,3,p,t,comtlain,3,8,real,block1
misrepolt,misrepolt,ppr,mis_re,port,,misreport,target,r,,2,r,l,misrepolt,2,9,real,block1
cardridge,cardridge,r,,cartridge,,cartridge,control,r,,3,t,d,cardridge,2,9,real,block1
boulevard,boulevard,r,,boulevard,,boulevard,control,r,,0,b,s,soulevard,0,9,real,block1
charpaign,champaign,r,,champaign,,champaign,control,r,,3,m,r,charpaign,3,9,real,block1
hause,cause,r,,cause,,cause,control,r,,0,c,h,hause,3,5,real,block1
enact,enact,pr,en,act,,enact,target,r,,1,c,t,enatt,0,5,real,block1
detemmine,determine,r,,determine,,determine,control,r,,4,r,m,detemmine,3,9,real,block1
architect,architect,r,,architect,,architect,control,r,,0,a,i,irchitect,0,9,real,block1
compare,compare,r,,compare,,compare,control,r,,3,p,c,comcare,0,7,real,block1
inhale,inhame,pr,in,hale,,inhale,target,r,,2,l,m,inhame,1,6,real,block1
homeless,homeless,rs,,home,less,homeless,target,s,0.0,1,e,i,homeliss,0,8,real,block1
leprecpaun,leprecpaun,r,,leprechaun,,leprechaun,control,r,,6,h,p,leprecpaun,2,10,real,block1
reimposo,reimposo,ppr,re_im,pose,,reimpose,target,r,,3,e,o,reimposo,2,8,real,block1
nondtop,nondtop,pr,non,stop,,nonstop,target,r,,0,s,d,nondtop,2,7,real,block1
machine,machine,r,,machine,,machine,control,r,,0,m,l,lachine,0,7,real,block1
tramporine,tramporine,r,,trampoline,,trampoline,control,r,,6,l,r,tramporine,2,10,real,block1
encmose,enclose,pr,en,close,,enclose,target,r,,1,l,m,encmose,3,7,real,block1
hostile,hostile,r,,hostile,,hostile,control,r,,6,e,a,hostila,0,7,real,block1
exampye,exampye,r,,example,,example,control,r,,5,l,y,exampye,2,7,real,block1
neoutsell,neoutsell,ppr,re_out,sell,,reoutsell,target,p,0.0,0,r,n,neoutsell,2,9,real,block1
valentine,valentine,r,,valentine,,valentine,control,r,,0,v,h,halentine,0,9,real,block1
reliant,reliant,rs,,reli,ant,reliant,target,s,0.0,2,t,d,reliand,0,7,real,block1
unreal,unreal,pr,un,real,,unreal,target,r,,3,l,y,unreay,0,6,real,block1
ungraceful,ungradeful,prs,un,grace,ful,ungraceful,target,r,,3,c,d,ungradeful,1,10,real,block1
province,province,r,,province,,province,control,r,,4,i,a,provance,0,8,real,block1
weirder,weirdar,rs,,weird,er,weirder,target,s,0.0,0,e,a,weirdar,1,7,real,block1
experience,etperience,r,,experience,,experience,control,r,,1,x,t,etperience,1,10,real,block1
ignore,ignome,r,,ignore,,ignore,control,r,,4,r,m,ignome,1,6,real,block1
uwevently,uwevently,prs,un,event,ly,unevently,target,p,0.0,1,n,w,uwevently,2,9,real,block1
holocausk,holocausk,r,,holocaust,,holocaust,control,r,,8,t,k,holocausk,2,9,real,block1
embawrass,embawrass,r,,embarrass,,embarrass,control,r,,4,r,w,embawrass,2,9,real,block1
boomerang,boomerang,r,,boomerang,,boomerang,control,r,,6,a,o,boomerong,0,9,real,block1
salmonella,salmonalla,r,,salmonella,,salmonella,control,r,,6,e,a,salmonalla,1,10,real,block1
pordrait,portrait,r,,portrait,,portrait,control,r,,3,t,d,pordrait,3,8,real,block1
willdully,willdully,rss,,will,ful_ly,willfully,target,s,0.0,0,f,d,willdully,2,9,real,block1
gayer,gayer,rs,,gay,er,gayer,target,r,,0,g,h,hayer,0,5,real,block1
manfully,manfully,rss,,man,ful_ly,manfully,target,s,1.0,0,l,m,manfulmy,0,8,real,block1
onvelope,envelope,r,,envelope,,envelope,control,r,,0,e,o,onvelope,3,8,real,block1
privilegu,privilegu,r,,privilege,,privilege,control,r,,8,e,u,privilegu,2,9,real,block1
solidufy,solidufy,rs,,solid,ify,solidify,target,s,0.0,0,i,u,solidufy,2,8,real,block1
policy,polacy,r,,policy,,policy,control,r,,3,i,a,polacy,1,6,real,block1
reaptor,reaptor,prs,re,act,or,reactor,target,r,,1,c,p,reaptor,2,7,real,block1
comfart,comfart,r,,comfort,,comfort,control,r,,4,o,a,comfart,2,7,real,block1
dishonor,dishunor,pr,dis,honor,,dishonor,target,r,,1,o,u,dishunor,1,8,real,block1
avalanche,avalanche,r,,avalanche,,avalanche,control,r,,8,e,o,avalancho,0,9,real,block1
colleapue,colleapue,r,,colleague,,colleague,control,r,,6,g,p,colleapue,2,9,real,block1
unmanny,unmanny,prs,un,man,ly,unmanly,target,s,0.0,0,l,n,unmanny,2,7,real,block1
