first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
praview,preview,pr,pre,view,,preview,target,p,0.0,2,e,a,praview,3,7,real,block1
raactor,reactor,prs,re,act,or,reactor,target,p,0.0,1,e,a,raactor,3,7,real,block1
disposal,disposal,prs,dis,pos,al,disposal,target,s,0.0,1,l,n,disposan,0,8,real,block1
suspense,suspense,r,,suspense,,suspense,control,r,,7,e,a,suspensa,0,8,real,block1
accomplice,accomplice,r,,accomplice,,accomplice,control,r,,0,a,e,eccomplice,0,10,real,block1
forlality,forlality,rss,,form,al_ity,formality,target,r,,3,m,l,forlality,2,9,real,block1
pnovince,pnovince,r,,province,,province,control,r,,1,r,n,pnovince,2,8,real,block1
unevently,unevently,prs,un,event,ly,unevently,target,r,,3,n,r,unevertly,0,9,real,block1
disembark,disembark,ppr,dis_em,bark,,disembark,target,r,,3,k,t,disembart,0,9,real,block1
schedule,sdhedule,r,,schedule,,schedule,control,r,,1,c,d,sdhedule,1,8,real,block1
spoak,speak,r,,speak,,speak,control,r,,2,e,o,spoak,3,5,real,block1
pitifully,pitifuwly,rss,,piti,ful_ly,pitifully,target,s,0.0,2,l,w,pitifuwly,1,9,real,block1
woodenly,woodenly,rss,,wood,en_ly,woodenly,target,s,0.0,0,e,o,woodonly,0,8,real,block1
seasonil,seasonil,rs,,season,al,seasonal,target,s,0.0,0,a,i,seasonil,2,8,real,block1
disbar,disbar,pr,dis,bar,,disbar,target,r,,0,b,g,disgar,0,6,real,block1
achieve,achieve,r,,achieve,,achieve,control,r,,0,a,u,uchieve,0,7,real,block1
etiquetde,etiquette,r,,etiquette,,etiquette,control,r,,7,t,d,etiquetde,3,9,real,block1
manfully,ranfully,rss,,man,ful_ly,manfully,target,r,,0,m,r,ranfully,1,8,real,block1
happen,hapden,r,,happen,,happen,control,r,,3,p,d,hapden,1,6,real,block1
predistose,predispose,ppr,pre_dis,pose,,predispose,target,r,,0,p,t,predistose,3,10,real,block1
guillotina,guillotina,r,,guillotine,,guillotine,control,r,,9,e,a,guillotina,2,10,real,block1
sttricter,sctricter,rs,,sctrict,er,sctricter,target,r,,1,c,t,sttricter,3,9,real,block1
whotest,whotest,rs,,whit,est,whitest,target,r,,2,i,o,whotest,2,7,real,block1
reruvenate,rejuvenate,prs,re,juven,ate,rejuvenate,target,r,,0,j,r,reruvenate,3,10,real,block1
tamouflage,tamouflage,r,,camouflage,,camouflage,control,r,,0,c,t,tamouflage,2,10,real,block1
impomite,impolite,pr,im,polite,,impolite,target,r,,2,l,m,impomite,3,8,real,block1
eatew,eater,rs,,eat,er,eater,target,s,0.0,1,r,w,eatew,3,5,real,block1
exporience,exporience,r,,experience,,experience,control,r,,3,e,o,exporience,2,10,real,block1
teechable,teechable,rs,,teach,able,teachable,target,r,,2,a,e,teechable,2,9,real,block1
artollery,artollery,r,,artillery,,artillery,control,r,,3,i,o,artollery,2,9,real,block1
ssampoo,ssampoo,r,,shampoo,,shampoo,control,r,,1,h,s,ssampoo,2,7,real,block1
archidect,archidect,r,,architect,,architect,control,r,,5,t,d,archidect,2,9,real,block1
princicle,principle,r,,principle,,principle,control,r,,6,p,c,princicle,3,9,real,block1
weirdlw,weirdlw,rs,,weird,ly,weirdly,target,s,0.0,1,y,w,weirdlw,2,7,real,block1
unreal,unmeal,pr,un,real,,unreal,target,r,,0,r,m,unmeal,1,6,real,block1
disciplino,disciplino,r,,discipline,,discipline,control,r,,9,e,o,disciplino,2,10,real,block1
gargeyle,gargoyle,r,,gargoyle,,gargoyle,control,r,,4,o,e,gargeyle,3,8,real,block1
wakefullr,wakefully,rss,,wake,ful_ly,wakefully,target,s,1.0,1,y,r,wakefullr,3,9,real,block1
disponor,dishonor,pr,dis,honor,,dishonor,target,r,,0,h,p,disponor,3,8,real,block1
quarartine,quarartine,r,,quarantine,,quarantine,control,r,,5,n,r,quarartine,2,10,real,block1
decoder,decoder,prs,de,cod,er,decoder,target,p,0.0,1,e,a,dacoder,0,7,real,block1
umlikely,umlikely,prs,un,like,ly,unlikely,target,p,0.0,1,n,m,umlikely,2,8,real,block1
unnatural,ennatural,prs,un,natur,al,unnatural,target,p,0.0,0,u,e,ennatural,1,9,real,block1
boomerang,baomerang,r,,boomerang,,boomerang,control,r,,1,o,a,baomerang,1,9,real,block1
outsmart,outsmart,pr,out,smart,,outsmart,target,p,0.0,2,t,k,ouksmart,0,8,real,block1
commune,commune,r,,commune,,commune,control,r,,5,n,r,commure,0,7,real,block1
counsel,coensel,r,,counsel,,counsel,control,r,,2,u,e,coensel,1,7,real,block1
complaint,somplaint,r,,complaint,,complaint,control,r,,0,c,s,somplaint,1,9,real,block1
rhinoceros,rhineceros,r,,rhinoceros,,rhinoceros,control,r,,4,o,e,rhineceros,1,10,real,block1
underlone,underlone,pr,under,line,,underline,target,r,,1,i,o,underlone,2,9,real,block1
group,gruup,r,,group,,group,control,r,,2,o,u,gruup,1,5,real,block1
trensmit,transmit,r,,transmit,,transmit,control,r,,2,a,e,trensmit,3,8,real,block1
disruption,disruption,prs,dis,rupt,ion,disruption,target,p,0.0,0,d,t,tisruption,0,10,real,block1
pregramme,programme,r,,programme,,programme,control,r,,2,o,e,pregramme,3,9,real,block1
distinct,distinst,r,,distinct,,distinct,control,r,,6,c,s,distinst,1,8,real,block1
author,authon,r,,author,,author,control,r,,5,r,n,authon,1,6,real,block1
totam,totam,r,,total,,total,control,r,,4,l,m,totam,2,5,real,block1
undisguise,urdisguise,ppr,un_dis,guise,,undisguise,target,p,0.0,1,n,r,urdisguise,1,10,real,block1
beautifur,beautifur,rs,,beauti,ful,beautiful,target,s,0.0,2,l,r,beautifur,2,9,real,block1
sodtly,softly,rs,,soft,ly,softly,target,r,,2,f,d,sodtly,3,6,real,block1
redeflate,redeflate,ppr,re_de,flate,,redeflate,target,r,,4,e,u,redeflatu,0,9,real,block1
satellite,satemlite,r,,satellite,,satellite,control,r,,4,l,m,satemlite,1,9,real,block1
complain,complain,r,,complain,,complain,control,r,,7,n,m,complaim,0,8,real,block1
streep,street,r,,street,,street,control,r,,5,t,p,streep,3,6,real,block1
shruggle,shruggle,r,,struggle,,struggle,control,r,,1,t,h,shruggle,2,8,real,block1
offer,offir,r,,offer,,offer,control,r,,3,e,i,offir,1,5,real,block1
across,atross,r,,across,,across,control,r,,1,c,t,atross,1,6,real,block1
search,searct,r,,search,,search,control,r,,5,h,t,searct,1,6,real,block1
vengefumly,vengefumly,rss,,venge,ful_ly,vengefully,target,s,0.0,2,l,m,vengefumly,2,10,real,block1
fourphly,fourphly,rss,,four,th_ly,fourthly,target,s,0.0,0,t,p,fourphly,2,8,real,block1
certain,certain,r,,certain,,certain,control,r,,3,t,p,cerpain,0,7,real,block1
rottenly,rottenly,rss,,rott,en_ly,rottenly,target,s,1.0,0,l,w,rottenwy,0,8,real,block1
disembowel,disembowel,ppr,dis_em,bowel,,disembowel,target,p,0.0,1,i,a,dasembowel,0,10,real,block1
prohocol,prohocol,r,,protocol,,protocol,control,r,,3,t,h,prohocol,2,8,real,block1
upholder,uphelder,prs,up,hold,er,upholder,target,r,,1,o,e,uphelder,1,8,real,block1
utage,utage,rs,,us,age,usage,target,r,,1,s,t,utage,2,5,real,block1
incellect,intellect,r,,intellect,,intellect,control,r,,2,t,c,incellect,3,9,real,block1
everactive,everactive,prs,over,act,ive,overactive,target,p,0.0,0,o,e,everactive,2,10,real,block1
undisclope,undisclose,ppr,un_dis,close,,undisclose,target,r,,3,s,p,undisclope,3,10,real,block1
councol,council,r,,council,,council,control,r,,5,i,o,councol,3,7,real,block1
wrestler,mrestler,rs,,wrestl,er,wrestler,target,r,,0,w,m,mrestler,1,8,real,block1
marijuana,marijuano,r,,marijuana,,marijuana,control,r,,8,a,o,marijuano,1,9,real,block1
removal,removel,prs,re,mov,al,removal,target,s,0.0,0,a,e,removel,1,7,real,block1
orally,orally,rs,,oral,ly,orally,target,r,,1,r,m,omally,0,6,real,block1
reservoir,reservoir,r,,reservoir,,reservoir,control,r,,8,r,m,reservoim,0,9,real,block1
movadly,movadly,rss,,mov,abl_y,movably,target,s,0.0,1,b,d,movadly,2,7,real,block1
privalege,privalege,r,,privilege,,privilege,control,r,,4,i,a,privalege,2,9,real,block1
lerun,lerun,pr,re,run,,rerun,target,p,0.0,0,r,l,lerun,2,5,real,block1
soyersault,somersault,r,,somersault,,somersault,control,r,,2,m,y,soyersault,3,10,real,block1
comfort,cimfort,r,,comfort,,comfort,control,r,,1,o,i,cimfort,1,7,real,block1
tearless,tearmess,rs,,tear,less,tearless,target,s,0.0,0,l,m,tearmess,1,8,real,block1
tenthly,tenthly,rss,,ten,th_ly,tenthly,target,s,0.0,1,h,c,tentcly,0,7,real,block1
disberieve,disbelieve,pr,dis,believe,,disbelieve,target,r,,2,l,r,disberieve,3,10,real,block1
artifice,arvifice,r,,artifice,,artifice,control,r,,2,t,v,arvifice,1,8,real,block1
lettuce,lettuhe,r,,lettuce,,lettuce,control,r,,5,c,h,lettuhe,1,7,real,block1
mepaint,repaint,pr,re,paint,,repaint,target,p,0.0,0,r,m,mepaint,3,7,real,block1
detemmine,detemmine,r,,determine,,determine,control,r,,4,r,m,detemmine,2,9,real,block1
threshold,phreshold,r,,threshold,,threshold,control,r,,0,t,p,phreshold,1,9,real,block1
reinstate,reinstate,ppr,re_in,state,,reinstate,target,r,,4,e,i,reinstati,0,9,real,block1
misreport,misneport,ppr,mis_re,port,,misreport,target,p,1.0,0,r,n,misneport,1,9,real,block1
overexpose,averexpose,ppr,over_ex,pose,,overexpose,target,p,0.0,0,o,a,averexpose,1,10,real,block1
senteyce,sentence,r,,sentence,,sentence,control,r,,5,n,y,senteyce,3,8,real,block1
thorougf,thorough,r,,thorough,,thorough,control,r,,7,h,f,thorougf,3,8,real,block1
sterilize,steriwize,rs,,steril,ize,sterilize,target,r,,5,l,w,steriwize,1,9,real,block1
catelogue,catelogue,r,,catalogue,,catalogue,control,r,,3,a,e,catelogue,2,9,real,block1
taler,taler,rs,,pal,er,paler,target,r,,0,p,t,taler,2,5,real,block1
phenomemon,phenomemon,r,,phenomenon,,phenomenon,control,r,,7,n,m,phenomemon,2,10,real,block1
hearc,heard,r,,heard,,heard,control,r,,4,d,c,hearc,3,5,real,block1
redisagree,redisagree,ppr,re_dis,agree,,redisagree,target,p,0.0,0,r,y,yedisagree,0,10,real,block1
unkindln,unkindln,prs,un,kind,ly,unkindly,target,s,0.0,1,y,n,unkindln,2,8,real,block1
colleague,colleasue,r,,colleague,,colleague,control,r,,6,g,s,colleasue,1,9,real,block1
woodinness,woodinness,rss,,wood,en_ness,woodenness,target,s,0.0,0,e,i,woodinness,2,10,real,block1
foreihn,foreihn,r,,foreign,,foreign,control,r,,5,g,h,foreihn,2,7,real,block1
handwe,handwe,r,,handle,,handle,control,r,,4,l,w,handwe,2,6,real,block1
uninfolm,uninform,ppr,un_in,form,,uninform,target,r,,2,r,l,uninfolm,3,8,real,block1
sickness,sickwess,rs,,sick,ness,sickness,target,s,0.0,0,n,w,sickwess,1,8,real,block1
renawal,renawal,prs,re,new,al,renewal,target,r,,1,e,a,renawal,2,7,real,block1
issue,issee,r,,issue,,issue,control,r,,3,u,e,issee,1,5,real,block1
