first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
unnegness,unnegness,prs,neg,un,ness,unnegness,target,r,,0,n,m,unmegness,0,9,pseudo,block1
werkcilayl,welkcilayl,rsss,werk,,ci_la_yl,werkcilayl,control,r,,2,r,l,welkcilayl,1,10,pseudo,block1
undrunalry,undrunally,prss,drun,un,al_ly,undrunally,target,s,1.0,0,l,r,undrunalry,3,10,pseudo,block1
cunalist,cunalist,rss,cun,,al_ist,cunalist,target,r,,1,u,o,conalist,0,8,pseudo,block1
unsoomally,unsoomally,prss,soom,un,al_ly,unsoomally,target,p,0.0,0,u,i,insoomally,0,10,pseudo,block1
infority,infomity,prs,fom,in,ity,infomity,target,r,,2,m,r,infority,3,8,pseudo,block1
nisargyit,nisargyat,prs,sarg,ni,yit,nisargyit,control,s,0.0,1,i,a,nisargyat,1,9,pseudo,block1
teccilayl,ceccilayl,rsss,tec,,ci_la_yl,teccilayl,control,r,,0,t,c,ceccilayl,1,9,pseudo,block1
fal,fal,r,fam,,,fam,target,r,,2,m,l,fal,2,3,pseudo,block1
contitally,contitally,rsss,cont,,ic_al_ly,contically,target,s,0.0,1,c,t,contitally,2,10,pseudo,block1
riekcilayl,riekcilayl,rsss,riek,,ci_la_yl,riekcilayl,control,s,0.0,1,i,o,riekcolayl,0,10,pseudo,block1
glas,glas,r,gras,,,gras,target,r,,1,r,l,glas,2,4,pseudo,block1
fradsat,fradsat,rs,frad,,sit,fradsit,control,s,0.0,1,i,a,fradsat,2,7,pseudo,block1
regeefal,regeefal,prs,geef,re,al,regeefal,target,s,0.0,1,l,m,regeefam,0,8,pseudo,block1
nurtical,nurtical,rss,nurt,,ic_al,nurtical,target,s,0.0,0,i,a,nurtacal,0,8,pseudo,block1
mofselb,mofsels,rs,mof,,sels,mofsels,control,s,0.0,3,s,b,mofselb,3,7,pseudo,block1
keamleness,keamliness,rss,keam,,li_ness,keamliness,target,s,0.0,1,i,e,keamleness,3,10,pseudo,block1
reg,reg,r,neg,,,neg,target,r,,0,n,r,reg,2,3,pseudo,block1
reforate,reforate,prs,fom,re,ate,refomate,target,r,,2,m,r,reforate,2,8,pseudo,block1
geep,geef,r,geef,,,geef,target,r,,3,f,p,geep,3,4,pseudo,block1
repsidtrun,repsidtrun,ppr,trun,rep_sid,,repsidtrun,control,p,0.0,0,r,l,lepsidtrun,0,10,pseudo,block1
neilonila,meilonila,rss,neil,,oni_la,neilonila,control,r,,0,n,m,meilonila,1,9,pseudo,block1
clatically,claticalln,rsss,clat,,ic_al_ly,clatically,target,s,2.0,1,y,n,claticalln,1,10,pseudo,block1
premisfor,premisfor,ppr,fom,pre_mis,,premisfom,target,r,,2,m,r,premisfor,2,9,pseudo,block1
outdeir,outdeir,pr,keir,out,,outkeir,target,r,,0,k,d,outdeir,2,7,pseudo,block1
infomivate,infomivato,prss,fom,in,iv_ate,infomivate,target,s,1.0,2,e,o,infomivato,1,10,pseudo,block1
sedmenurd,sidmenurd,ppr,nurd,sid_me,,sidmenurd,control,p,0.0,1,i,e,sedmenurd,3,9,pseudo,block1
unmerness,onmerness,prs,mer,un,ness,unmerness,target,p,0.0,0,u,o,onmerness,1,9,pseudo,block1
talcelba,talcelbo,rs,talc,,elba,talcelba,control,s,0.0,3,a,o,talcelbo,1,8,pseudo,block1
ninurdlayl,nunurdlayl,prss,nurd,nu,la_yl,nunurdlayl,control,p,0.0,1,u,i,ninurdlayl,3,10,pseudo,block1
baselklayl,basolklayl,prss,selk,ba,la_yl,baselklayl,control,r,,1,e,o,basolklayl,1,10,pseudo,block1
numoosulf,numoosulf,prs,moos,nu,ulf,numoosulf,control,s,0.0,2,f,s,numoosuls,0,9,pseudo,block1
famalistic,famalistic,rsss,fam,,al_ist_ic,famalistic,target,r,,0,f,s,samalistic,0,10,pseudo,block1
outdrun,ousdrun,pr,drun,out,,outdrun,target,p,0.0,2,t,s,ousdrun,1,7,pseudo,block1
reuutnurt,reoutnurt,ppr,nurt,re_out,,reoutnurt,target,p,1.0,0,o,u,reuutnurt,3,9,pseudo,block1
unketal,unkefal,prs,ket,un,al,unketal,target,r,,2,t,f,unkefal,1,7,pseudo,block1
orpbof,orpgof,pr,bof,orp,,orpbof,control,r,,0,b,g,orpgof,1,6,pseudo,block1
girtance,girtence,rs,girt,,ance,girtance,target,s,0.0,0,a,e,girtence,1,8,pseudo,block1
selk,selk,r,selk,,,selk,control,r,,2,l,r,serk,0,4,pseudo,block1
repsimroc,repsimroc,ppr,noc,rep_sim,,repsimnoc,control,r,,0,n,r,repsimroc,2,9,pseudo,block1
merage,merate,rs,mer,,ate,merate,target,s,0.0,1,t,g,merage,3,6,pseudo,block1
nurdla,nurdma,rs,nurd,,la,nurdla,control,s,0.0,0,l,m,nurdma,1,6,pseudo,block1
reet,reet,r,reet,,,reet,control,r,,0,r,l,leet,0,4,pseudo,block1
infamical,infamical,prss,fam,un,ic_al,unfamical,target,p,0.0,0,u,i,infamical,2,9,pseudo,block1
koumically,koulically,rsss,koul,,ic_al_ly,koulically,target,r,,3,l,m,koumically,3,10,pseudo,block1
promeg,promeg,pr,neg,pro,,proneg,target,r,,0,n,m,promeg,2,6,pseudo,block1
erremtaoni,erremteoni,prss,rem,er,ta_oni,erremtaoni,control,s,0.0,1,a,e,erremteoni,1,10,pseudo,block1
salg,salg,r,sarg,,,sarg,control,r,,2,r,l,salg,2,4,pseudo,block1
erpsenk,erpsenk,pr,selk,erp,,erpselk,control,r,,2,l,n,erpsenk,2,7,pseudo,block1
babooklayl,babooklayl,prss,pook,ba,la_yl,bapooklayl,control,r,,0,p,b,babooklayl,2,10,pseudo,block1
boflasit,boflasit,rss,bof,,la_sit,boflasit,control,s,1.0,1,i,a,boflasat,0,8,pseudo,block1
tonclacit,tonclasit,rss,tonc,,la_sit,tonclasit,control,s,1.0,0,s,c,tonclacit,3,9,pseudo,block1
rehegloc,rehegloc,ppr,gloc,re_de,,redegloc,target,p,1.0,0,d,h,rehegloc,2,8,pseudo,block1
sargleyl,sarglayl,rss,sarg,,la_yl,sarglayl,control,s,0.0,1,a,e,sargleyl,3,8,pseudo,block1
