first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
teklasitci,teklasitci,rsss,tek,,la_sit_ci,teklasitci,control,r,,1,e,u,tuklasitci,0,10,pseudo,block1
toncsit,toncdit,rs,tonc,,sit,toncsit,control,s,0.0,0,s,d,toncdit,1,7,pseudo,block1
sargouis,sargouis,rs,sarg,,ouis,sargouis,control,r,,0,s,t,targouis,0,8,pseudo,block1
wisalistic,wisalistuc,rsss,wis,,al_ist_ic,wisalistic,target,s,2.0,0,i,u,wisalistuc,1,10,pseudo,block1
famiously,famiously,rss,fam,,ious_ly,famiously,target,s,1.0,1,y,m,famiouslm,0,9,pseudo,block1
uninurd,uninurt,pr,nurt,uni,,uninurt,target,r,,3,t,d,uninurd,3,7,pseudo,block1
nesiwlayl,nesiwlayl,prss,siw,nu,la_yl,nusiwlayl,control,p,0.0,1,u,e,nesiwlayl,2,9,pseudo,block1
inikels,inikels,pr,kels,uni,,unikels,target,p,0.0,0,u,i,inikels,2,7,pseudo,block1
fotalistic,fobalistic,rsss,fob,,al_ist_ic,fobalistic,target,r,,2,b,t,fotalistic,3,10,pseudo,block1
sargnertla,sargnemtla,rss,sarg,,nemt_la,sargnemtla,control,s,0.0,2,m,r,sargnertla,3,10,pseudo,block1
disteerful,disteerful,prs,teer,dis,ful,disteerful,target,s,0.0,1,u,i,disteerfil,0,10,pseudo,block1
fom,tom,r,fom,,,fom,target,r,,0,f,t,tom,1,3,pseudo,block1
famious,famious,rs,fam,,ious,famious,target,r,,0,f,h,hamious,0,7,pseudo,block1
empmaf,empmaf,pr,maf,erp,,erpmaf,control,p,0.0,1,r,m,empmaf,2,6,pseudo,block1
merality,merality,rss,mer,,al_ity,merality,target,r,,1,e,u,murality,0,8,pseudo,block1
inneganhly,innegantly,prss,neg,in,ant_ly,innegantly,target,s,0.0,2,t,h,inneganhly,3,10,pseudo,block1
neg,net,r,neg,,,neg,target,r,,2,g,t,net,1,3,pseudo,block1
trunyr,trunyr,rs,trun,,yl,trunyl,control,s,0.0,1,l,r,trunyr,2,6,pseudo,block1
risly,wisly,rs,wis,,ly,wisly,target,r,,0,w,r,risly,3,5,pseudo,block1
fom,fam,r,fam,,,fam,target,r,,1,a,o,fom,3,3,pseudo,block1
muneil,muneil,pr,neil,nu,,nuneil,control,p,0.0,0,n,m,muneil,2,6,pseudo,block1
niremtanyl,niremtanyn,prss,rem,ni,tan_yl,niremtanyl,control,s,1.0,1,l,n,niremtanyn,1,10,pseudo,block1
sidtalculc,sidtalculc,prs,talc,sid,ulf,sidtalculf,control,s,0.0,2,f,c,sidtalculc,2,10,pseudo,block1
werkcilayl,merkcilayl,rsss,werk,,ci_la_yl,werkcilayl,control,r,,0,w,m,merkcilayl,1,10,pseudo,block1
mooscimayl,mooscilayl,rsss,moos,,ci_la_yl,mooscilayl,control,s,1.0,0,l,m,mooscimayl,3,10,pseudo,block1
prateer,proteer,pr,teer,pro,,proteer,target,p,0.0,2,o,a,prateer,3,7,pseudo,block1
unsoulness,unsoulness,prs,koul,un,ness,unkoulness,target,r,,0,k,s,unsoulness,2,10,pseudo,block1
meincon,meincon,ppr,con,re_in,,reincon,target,p,0.0,0,r,m,meincon,2,7,pseudo,block1
ermaosla,ermoosla,prs,moos,er,la,ermoosla,control,r,,1,o,a,ermaosla,3,8,pseudo,block1
inuried,inuriek,pr,riek,inu,,inuriek,control,r,,3,k,d,inuried,3,7,pseudo,block1
koulol,koulol,rs,koul,,or,koulor,target,s,0.0,1,r,l,koulol,2,6,pseudo,block1
sidmegen,sidmeten,ppr,gen,sid_me,,sidmegen,control,r,,0,g,t,sidmeten,1,8,pseudo,block1
pookone,pookoni,rs,pook,,oni,pookoni,control,s,0.0,2,i,e,pookone,3,7,pseudo,block1
reeutgloc,reoutgloc,ppr,gloc,re_out,,reoutgloc,target,p,1.0,0,o,e,reeutgloc,3,9,pseudo,block1
reinmur,reinmer,ppr,mer,re_in,,reinmer,target,r,,1,e,u,reinmur,3,7,pseudo,block1
inteak,inpeak,pr,teak,in,,inteak,target,r,,0,t,p,inpeak,1,6,pseudo,block1
repsimrem,repsimrem,ppr,rem,rep_sim,,repsimrem,control,p,1.0,2,m,w,repsiwrem,0,9,pseudo,block1
mesdarfion,mesdarfion,prs,darf,mis,ion,misdarfion,target,p,0.0,1,i,e,mesdarfion,2,10,pseudo,block1
ednerkezi,ednerkezi,prs,werk,ed,ezi,edwerkezi,control,r,,0,w,n,ednerkezi,2,9,pseudo,block1
unketally,unketally,prss,ket,un,al_ly,unketally,target,p,0.0,0,u,o,onketally,0,9,pseudo,block1
onkoulally,unkoulally,prss,koul,un,al_ly,unkoulally,target,p,0.0,0,u,o,onkoulally,3,10,pseudo,block1
riek,riek,r,riek,,,riek,control,r,,1,i,a,raek,0,4,pseudo,block1
incuwively,incuwively,prss,cun,in,ive_ly,incunively,target,r,,2,n,w,incuwively,2,10,pseudo,block1
abclatally,abclatally,prss,clat,ab,al_ly,abclatally,target,s,1.0,0,l,y,abclatalyy,0,10,pseudo,block1
ertof,erbof,pr,bof,er,,erbof,control,r,,0,b,t,ertof,3,5,pseudo,block1
mafonila,mafonila,rss,maf,,oni_la,mafonila,control,s,1.0,1,a,e,mafonile,0,8,pseudo,block1
rom,rom,r,rem,,,rem,control,r,,1,e,o,rom,2,3,pseudo,block1
reimpose,riimpose,ppr,pose,re_im,,reimpose,target,p,0.0,1,e,i,riimpose,1,8,real,block2
compare,compawe,r,compare,,,compare,control,r,,5,r,w,compawe,1,7,real,block2
highniss,highness,rs,high,,ness,highness,target,s,0.0,1,e,i,highniss,3,8,real,block2
eucalyppus,eucalyptus,r,eucalyptus,,,eucalyptus,control,r,,7,t,p,eucalyppus,3,10,real,block2
inteylect,inteylect,r,intellect,,,intellect,control,r,,4,l,y,inteylect,2,9,real,block2
neeghbor,neeghbor,r,neighbor,,,neighbor,control,r,,2,i,e,neeghbor,2,8,real,block2
holocaust,holocaust,r,holocaust,,,holocaust,control,r,,3,o,e,holecaust,0,9,real,block2
palar,palar,rs,pal,,er,paler,target,s,0.0,0,e,a,palar,2,5,real,block2
didhonor,didhonor,pr,honor,dis,,dishonor,target,p,0.0,2,s,d,didhonor,2,8,real,block2
threshomd,threshomd,r,threshold,,,threshold,control,r,,7,l,m,threshomd,2,9,real,block2
thorough,tharough,r,thorough,,,thorough,control,r,,2,o,a,tharough,1,8,real,block2
neighbour,neighbour,r,neighbour,,,neighbour,control,r,,2,i,a,neaghbour,0,9,real,block2
camplaint,complaint,r,complaint,,,complaint,control,r,,1,o,a,camplaint,3,9,real,block2
totar,total,r,total,,,total,control,r,,4,l,r,totar,3,5,real,block2
depopelate,depopulate,prs,popul,de,ate,depopulate,target,r,,3,u,e,depopelate,3,10,real,block2
unread,onread,pr,read,un,,unread,target,p,0.0,0,u,o,onread,1,6,real,block2
mitlessly,mitlessly,rss,wit,,less_ly,witlessly,target,r,,0,w,m,mitlessly,2,9,real,block2
leirn,learn,r,learn,,,learn,control,r,,2,a,i,leirn,3,5,real,block2
meinforce,reinforce,ppr,force,re_in,,reinforce,target,p,0.0,0,r,m,meinforce,3,9,real,block2
comfort,comfomt,r,comfort,,,comfort,control,r,,5,r,m,comfomt,1,7,real,block2
hopelass,hopelass,rs,hope,,less,hopeless,target,s,0.0,1,e,a,hopelass,2,8,real,block2
pedestrian,pedostrian,r,pedestrian,,,pedestrian,control,r,,3,e,o,pedostrian,1,10,real,block2
morfgage,mortgage,r,mortgage,,,mortgage,control,r,,3,t,f,morfgage,3,8,real,block2
unnaturan,unnatural,prs,natur,un,al,unnatural,target,s,0.0,1,l,n,unnaturan,3,9,real,block2
disembady,disembady,ppr,body,dis_em,,disembody,target,r,,1,o,a,disembady,2,9,real,block2
allow,allow,r,allow,,,allow,control,r,,4,w,y,alloy,0,5,real,block2
artifice,artitice,r,artifice,,,artifice,control,r,,4,f,t,artitice,1,8,real,block2
softly,softly,rs,soft,,ly,softly,target,s,0.0,1,y,m,softlm,0,6,real,block2
profuss,profess,r,profess,,,profess,control,r,,4,e,u,profuss,3,7,real,block2
modalyy,modalyy,rss,mod,,al_ly,modally,target,s,1.0,0,l,y,modalyy,2,7,real,block2
still,vtill,r,still,,,still,control,r,,0,s,v,vtill,1,5,real,block2
reread,reread,pr,read,re,,reread,target,p,0.0,0,r,m,meread,0,6,real,block2
unwisely,unlisely,prs,wise,un,ly,unwisely,target,r,,0,w,l,unlisely,1,8,real,block2
undisguise,undishuise,ppr,guise,un_dis,,undisguise,target,r,,0,g,h,undishuise,1,10,real,block2
gayem,gayer,rs,gay,,er,gayer,target,s,0.0,1,r,m,gayem,3,5,real,block2
reeract,reenact,ppr,act,re_en,,reenact,target,p,1.0,1,n,r,reeract,3,7,real,block2
chamtaign,chamtaign,r,champaign,,,champaign,control,r,,4,p,t,chamtaign,2,9,real,block2
overactive,iveractive,prs,act,over,ive,overactive,target,p,0.0,0,o,i,iveractive,1,10,real,block2
blasdheme,blasdheme,r,blaspheme,,,blaspheme,control,r,,4,p,d,blasdheme,2,9,real,block2
remisalign,remisaligy,ppr,align,re_mis,,remisalign,target,r,,4,n,y,remisaligy,1,10,real,block2
mawket,mawket,r,market,,,market,control,r,,2,r,w,mawket,2,6,real,block2
cartain,cartain,r,certain,,,certain,control,r,,1,e,a,cartain,2,7,real,block2
claim,claim,r,claim,,,claim,control,r,,3,i,e,claem,0,5,real,block2
reoutsell,reoubsell,ppr,sell,re_out,,reoutsell,target,p,1.0,2,t,b,reoubsell,1,9,real,block2
normalaty,normality,rss,norm,,al_ity,normality,target,s,1.0,0,i,a,normalaty,3,9,real,block2
ingredient,ingredeent,r,ingredient,,,ingredient,control,r,,6,i,e,ingredeent,1,10,real,block2
cenflict,cenflict,r,conflict,,,conflict,control,r,,1,o,e,cenflict,2,8,real,block2
accomplice,accomtlice,r,accomplice,,,accomplice,control,r,,5,p,t,accomtlice,1,10,real,block2
cantaloupe,cantaloupe,r,cantaloupe,,,cantaloupe,control,r,,5,l,m,cantamoupe,0,10,real,block2
contrast,contrast,r,contrast,,,contrast,control,r,,6,s,h,contraht,0,8,real,block2
semtence,sentence,r,sentence,,,sentence,control,r,,2,n,m,semtence,3,8,real,block2
disposal,disposal,prs,pos,dis,al,disposal,target,p,0.0,0,d,p,pisposal,0,8,real,block2
tamboerine,tamboerine,r,tambourine,,,tambourine,control,r,,5,u,e,tamboerine,2,10,real,block2
chinchilla,chinchilla,r,chinchilla,,,chinchilla,control,r,,4,c,t,chinthilla,0,10,real,block2
yellower,yemlower,rs,yellow,,er,yellower,target,r,,2,l,m,yemlower,1,8,real,block2
heroical,heroical,rss,hero,,ic_al,heroical,target,s,0.0,1,c,h,heroihal,0,8,real,block2
fexist,sexist,rs,sex,,ist,sexist,target,r,,0,s,f,fexist,3,6,real,block2
meusable,reusable,prs,us,re,able,reusable,target,p,0.0,0,r,m,meusable,3,8,real,block2
reovencome,reovencome,ppr,come,re_over,,reovercome,target,p,1.0,3,r,n,reovencome,2,10,real,block2
leactor,leactor,prs,act,re,or,reactor,target,p,0.0,0,r,l,leactor,2,7,real,block2
extrict,extrict,pr,tract,ex,,extract,target,r,,2,a,i,extrict,2,7,real,block2
renemal,renemal,prs,new,re,al,renewal,target,r,,2,w,m,renemal,2,7,real,block2
naturalism,jaturalism,rss,natur,,al_ism,naturalism,target,r,,0,n,j,jaturalism,1,10,real,block2
overexpese,overexpese,ppr,pose,over_ex,,overexpose,target,r,,1,o,e,overexpese,2,10,real,block2
memover,remover,prs,mov,re,er,remover,target,p,0.0,0,r,m,memover,3,7,real,block2
salmonerla,salmonerla,r,salmonella,,,salmonella,control,r,,7,l,r,salmonerla,2,10,real,block2
immorally,immorally,prs,moral,im,ly,immorally,target,s,0.0,1,y,l,immoralll,0,9,real,block2
soledify,solidify,rs,solid,,ify,solidify,target,r,,3,i,e,soledify,3,8,real,block2
heroic,heroic,rs,hero,,ic,heroic,target,r,,1,e,o,horoic,0,6,real,block2
etiquetpe,etiquetpe,r,etiquette,,,etiquette,control,r,,7,t,p,etiquetpe,2,9,real,block2
announce,announce,r,announce,,,announce,control,r,,2,n,m,anmounce,0,8,real,block2
fourthly,fourthly,rss,four,,th_ly,fourthly,target,r,,2,u,e,foerthly,0,8,real,block2
tomorlow,tomorlow,r,tomorrow,,,tomorrow,control,r,,5,r,l,tomorlow,2,8,real,block2
enlistmend,enlistmend,prs,list,en,ment,enlistment,target,s,0.0,3,t,d,enlistmend,2,10,real,block2
adaptable,adaptable,rs,adapt,,able,adaptable,target,s,0.0,3,e,i,adaptabli,0,9,real,block2
recycle,rexycle,pr,cycle,re,,recycle,target,r,,0,c,x,rexycle,1,7,real,block2
pitifully,pitifullm,rss,piti,,ful_ly,pitifully,target,s,1.0,1,y,m,pitifullm,1,9,real,block2
difficult,difdicult,r,difficult,,,difficult,control,r,,3,f,d,difdicult,1,9,real,block2
unreal,unreil,pr,real,un,,unreal,target,r,,2,a,i,unreil,1,6,real,block2
reoutsmart,meoutsmart,ppr,smart,re_out,,reoutsmart,target,p,0.0,0,r,m,meoutsmart,1,10,real,block2
reimpart,reimpart,ppr,port,re_im,,reimport,target,r,,1,o,a,reimpart,2,8,real,block2
money,monem,r,money,,,money,control,r,,4,y,m,monem,1,5,real,block2
whitem,whiter,rs,whit,,er,whiter,target,s,0.0,1,r,m,whitem,3,6,real,block2
foreign,foreign,r,foreign,,,foreign,control,r,,0,f,h,horeign,0,7,real,block2
fafthly,fifthly,rss,fif,,th_ly,fifthly,target,r,,1,i,a,fafthly,3,7,real,block2
satellite,satellute,r,satellite,,,satellite,control,r,,6,i,u,satellute,1,9,real,block2
disembolel,disembowel,ppr,bowel,dis_em,,disembowel,target,r,,2,w,l,disembolel,3,10,real,block2
decoder,docoder,prs,cod,de,er,decoder,target,p,0.0,1,e,o,docoder,1,7,real,block2
period,period,r,period,,,period,control,r,,1,e,o,poriod,0,6,real,block2
reveewer,reveewer,prs,view,re,er,reviewer,target,r,,1,i,e,reveewer,2,8,real,block2
shenanigan,shenanigan,r,shenanigan,,,shenanigan,control,r,,8,a,o,shenanigon,0,10,real,block2
atcord,accord,r,accord,,,accord,control,r,,1,c,t,atcord,3,6,real,block2
uhstage,uhstage,pr,stage,up,,upstage,target,p,0.0,1,p,h,uhstage,2,7,real,block2
convince,convince,r,convince,,,convince,control,r,,6,c,h,convinhe,0,8,real,block2
underyine,underline,pr,line,under,,underline,target,r,,0,l,y,underyine,3,9,real,block2
irpossibly,impossibly,prs,possib,im,ly,impossibly,target,p,0.0,1,m,r,irpossibly,3,10,real,block2
tearful,tearful,rs,tear,,ful,tearful,target,r,,2,a,e,teerful,0,7,real,block2
deodorize,deodoribe,prs,odor,de,ize,deodorize,target,s,0.0,1,z,b,deodoribe,1,9,real,block2
phenomenon,phenomenon,r,phenomenon,,,phenomenon,control,r,,2,e,o,phonomenon,0,10,real,block2
approacs,approach,r,approach,,,approach,control,r,,7,h,s,approacs,3,8,real,block2
unfliendly,unfliendly,prs,friend,un,ly,unfriendly,target,r,,1,r,l,unfliendly,2,10,real,block2
rerun,rerun,pr,run,re,,rerun,target,r,,1,u,i,rerin,0,5,real,block2
disinherit,disinherit,ppr,herit,dis_in,,disinherit,target,r,,4,t,p,disinherip,0,10,real,block2
country,countrw,r,country,,,country,control,r,,6,y,w,countrw,1,7,real,block2
parasite,parasite,r,parasite,,,parasite,control,r,,0,p,g,garasite,0,8,real,block2
imphasis,emphasis,r,emphasis,,,emphasis,control,r,,0,e,i,imphasis,3,8,real,block2
program,prosram,r,program,,,program,control,r,,3,g,s,prosram,1,7,real,block2
colleagua,colleague,r,colleague,,,colleague,control,r,,8,e,a,colleagua,3,9,real,block2
allusively,allusively,rss,allus,,ive_ly,allusively,target,r,,1,l,m,amlusively,0,10,real,block2
lettuce,lettuce,r,lettuce,,,lettuce,control,r,,0,l,y,yettuce,0,7,real,block2
frotocol,protocol,r,protocol,,,protocol,control,r,,0,p,f,frotocol,3,8,real,block2
prostitete,prostitute,r,prostitute,,,prostitute,control,r,,7,u,e,prostitete,3,10,real,block2
crustacean,cruspacean,r,crustacean,,,crustacean,control,r,,4,t,p,cruspacean,1,10,real,block2
digrade,digrade,pr,grade,de,,degrade,target,p,0.0,1,e,i,digrade,2,7,real,block2
curabln,curabln,rss,cur,,abl_y,curably,target,s,1.0,0,y,n,curabln,2,7,real,block2
removal,removal,prs,mov,re,al,removal,target,p,0.0,0,r,w,wemoval,0,7,real,block2
account,iccount,r,account,,,account,control,r,,0,a,i,iccount,1,7,real,block2
whisperur,whisperer,rs,whisper,,er,whisperer,target,s,0.0,0,e,u,whisperur,3,9,real,block2
example,example,r,example,,,example,control,r,,3,m,r,exarple,0,7,real,block2
valentine,valontine,r,valentine,,,valentine,control,r,,3,e,o,valontine,1,9,real,block2
suhcun,subcun,pr,cun,sub,,subcun,target,p,0.0,2,b,h,suhcun,3,6,pseudo,block3
lienicalln,lienicalln,rsss,lien,,ic_al_ly,lienically,target,s,2.0,1,y,n,lienicalln,2,10,pseudo,block3
reetru,reetro,rs,reet,,ro,reetro,control,s,0.0,1,o,u,reetru,3,6,pseudo,block3
unfamical,unfamical,prss,fam,un,ic_al,unfamical,target,p,0.0,0,u,a,anfamical,0,9,pseudo,block3
riekya,riekla,rs,riek,,la,riekla,control,s,0.0,0,l,y,riekya,3,6,pseudo,block3
abkoelally,abkoelally,prss,koul,ab,al_ly,abkoulally,target,r,,2,u,e,abkoelally,2,10,pseudo,block3
selkcilayl,selkcirayl,rsss,selk,,ci_la_yl,selkcilayl,control,s,1.0,0,l,r,selkcirayl,1,10,pseudo,block3
pookculayl,pookculayl,rsss,pook,,ci_la_yl,pookcilayl,control,s,0.0,1,i,u,pookculayl,2,10,pseudo,block3
reetla,reetla,rs,reet,,la,reetla,control,s,0.0,1,a,e,reetle,0,6,pseudo,block3
fotion,fobion,rs,fob,,ion,fobion,target,r,,2,b,t,fotion,3,6,pseudo,block3
meaksim,meaksim,rs,meak,,sim,meaksim,control,r,,3,k,t,meatsim,0,7,pseudo,block3
miscontour,miscontour,prs,cont,mis,our,miscontour,target,p,0.0,2,s,p,mipcontour,0,10,pseudo,block3
degirtize,degirtize,prs,girt,de,ize,degirtize,target,p,0.0,0,d,f,fegirtize,0,9,pseudo,block3
natrunsens,nutrunsens,prs,trun,nu,sens,nutrunsens,control,p,0.0,1,u,a,natrunsens,3,10,pseudo,block3
teakically,tiakically,rsss,teak,,ic_al_ly,teakically,target,r,,1,e,i,tiakically,1,10,pseudo,block3
uncon,uncom,pr,con,un,,uncon,target,r,,2,n,m,uncom,1,5,pseudo,block3
nimeakmit,nimeakmit,prs,meak,ni,yit,nimeakyit,control,s,0.0,0,y,m,nimeakmit,2,9,pseudo,block3
nurtically,nurtecally,rsss,nurt,,ic_al_ly,nurtically,target,s,0.0,0,i,e,nurtecally,1,10,pseudo,block3
feclasit,feclasit,rss,tec,,la_sit,teclasit,control,r,,0,t,f,feclasit,2,8,pseudo,block3
pooknemtlu,pooknemtlu,rss,pook,,nemt_la,pooknemtla,control,s,1.0,1,a,u,pooknemtlu,2,10,pseudo,block3
