first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
unfibally,unfobally,prss,fob,un,al_ly,unfobally,target,r,,1,o,i,unfibally,3,9,pseudo,block1
edyaf,edyaf,pr,maf,ed,,edmaf,control,r,,0,m,y,edyaf,2,5,pseudo,block1
gels,kels,r,kels,,,kels,target,r,,0,k,g,gels,3,4,pseudo,block1
wisally,yisally,rss,wis,,al_ly,wisally,target,r,,0,w,y,yisally,1,7,pseudo,block1
nutefison,nutefison,prs,tek,nu,ison,nutekison,control,r,,2,k,f,nutefison,2,9,pseudo,block1
inkeamity,inkeamitm,prs,keam,in,ity,inkeamity,target,s,0.0,2,y,m,inkeamitm,1,9,pseudo,block1
tek,tuk,r,tek,,,tek,control,r,,1,e,u,tuk,1,3,pseudo,block1
feeg,feog,r,feeg,,,feeg,control,r,,2,e,o,feog,1,4,pseudo,block1
progras,progras,pr,gras,pro,,progras,target,p,0.0,1,r,y,pyogras,0,7,pseudo,block1
sidmemaos,sidmemaos,ppr,moos,sid_me,,sidmemoos,control,r,,1,o,a,sidmemaos,2,9,pseudo,block1
meakenta,meakenta,rs,meak,,enca,meakenca,control,s,0.0,2,c,t,meakenta,2,8,pseudo,block1
dekeirize,dekeirize,prs,keir,de,ize,dekeirize,target,p,0.0,1,e,i,dikeirize,0,9,pseudo,block1
regeedate,regeedate,prs,geef,re,ate,regeefate,target,r,,3,f,d,regeedate,2,9,pseudo,block1
fim,fim,r,fam,,,fam,target,r,,1,a,i,fim,2,3,pseudo,block1
sidtofoni,sidbofoni,prs,bof,sid,oni,sidbofoni,control,r,,0,b,t,sidtofoni,3,9,pseudo,block1
cefically,cetically,rsss,cet,,ic_al_ly,cetically,target,r,,2,t,f,cefically,3,9,pseudo,block1
niremtaoni,niremtaone,prss,rem,ni,ta_oni,niremtaoni,control,s,1.0,2,i,e,niremtaone,1,10,pseudo,block1
revosiw,revosiw,pr,siw,revo,,revosiw,control,p,0.0,0,r,w,wevosiw,0,7,pseudo,block1
culalism,cunalism,rss,cun,,al_ism,cunalism,target,r,,2,n,l,culalism,3,8,pseudo,block1
mor,mor,r,mer,,,mer,target,r,,1,e,o,mor,2,3,pseudo,block1
baselklayl,baserklayl,prss,selk,ba,la_yl,baselklayl,control,r,,2,l,r,baserklayl,1,10,pseudo,block1
orpreet,erpreet,pr,reet,orp,,orpreet,control,p,0.0,0,o,e,erpreet,1,7,pseudo,block1
reeverdrun,reoverdrun,ppr,drun,re_over,,reoverdrun,target,p,1.0,0,o,e,reeverdrun,3,10,pseudo,block1
ersimmop,ersimmop,ppr,mof,er_sim,,ersimmof,control,r,,2,f,p,ersimmop,2,8,pseudo,block1
teeyic,teeyic,rs,teer,,ic,teeric,target,r,,3,r,y,teeyic,2,6,pseudo,block1
nuneilelba,nuniilelba,prs,neil,nu,elba,nuneilelba,control,r,,1,e,i,nuniilelba,1,10,pseudo,block1
ersidnoc,ersidnop,ppr,noc,er_sid,,ersidnoc,control,r,,2,c,p,ersidnop,1,8,pseudo,block1
meristic,memistic,rss,mer,,ist_ic,meristic,target,r,,2,r,m,memistic,1,8,pseudo,block1
remermant,remermant,prs,mer,re,ment,remerment,target,s,0.0,1,e,a,remermant,2,9,pseudo,block1
nurtihally,nurtihally,rsss,nurt,,ic_al_ly,nurtically,target,s,0.0,1,c,h,nurtihally,2,10,pseudo,block1
nutruncila,nutruncila,prss,trun,nu,ci_la,nutruncila,control,p,0.0,1,u,o,notruncila,0,10,pseudo,block1
abclatally,abslatally,prss,clat,ab,al_ly,abclatally,target,r,,0,c,s,abslatally,1,10,pseudo,block1
