first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
sargcilayl,sargcilayl,rsss,sarg,,ci_la_yl,sargcilayl,control,s,2.0,1,l,w,sargcilayw,0,10,pseudo,block1
simneil,simneil,pr,neil,sim,,simneil,control,p,0.0,2,m,r,sirneil,0,7,pseudo,block1
nertal,nertal,rs,nurt,,al,nurtal,target,r,,1,u,e,nertal,2,6,pseudo,block1
repsimnuc,repsimnuc,ppr,nuc,rep_sim,,repsimnuc,control,r,,1,u,o,repsimnoc,0,9,pseudo,block1
edmeak,edweak,pr,meak,ed,,edmeak,control,r,,0,m,w,edweak,1,6,pseudo,block1
inuniut,inuniut,pr,naut,inu,,inunaut,control,r,,1,a,i,inuniut,2,7,pseudo,block1
nigenvieta,nigenvieta,prss,gen,ni,vi_eta,nigenvieta,control,s,1.0,0,e,u,nigenviuta,0,10,pseudo,block1
erremeviyl,errameviyl,prss,rem,er,evi_yl,erremeviyl,control,r,,1,e,a,errameviyl,1,10,pseudo,block1
trig,trig,r,trig,,,trig,control,r,,0,t,s,srig,0,4,pseudo,block1
ertnoc,erpnoc,pr,noc,erp,,erpnoc,control,p,0.0,2,p,t,ertnoc,3,6,pseudo,block1
geefable,geefable,rs,geef,,able,geefable,target,r,,0,g,d,deefable,0,8,pseudo,block1
reketal,reketal,prs,ket,re,al,reketal,target,r,,2,t,d,rekedal,0,7,pseudo,block1
meakonina,meakonila,rss,meak,,oni_la,meakonila,control,s,1.0,0,l,n,meakonina,3,9,pseudo,block1
upkeom,upkeom,pr,keam,up,,upkeam,target,r,,2,a,o,upkeom,2,6,pseudo,block1
tekcilayl,tekciluyl,rsss,tek,,ci_la_yl,tekcilayl,control,s,1.0,1,a,u,tekciluyl,1,9,pseudo,block1
disteerity,desteerity,prs,teer,dis,ity,disteerity,target,p,0.0,1,i,e,desteerity,1,10,pseudo,block1
tencilayl,gencilayl,rsss,gen,,ci_la_yl,gencilayl,control,r,,0,g,t,tencilayl,3,9,pseudo,block1
erpneet,erpreet,pr,reet,erp,,erpreet,control,r,,0,r,n,erpneet,3,7,pseudo,block1
abnurtally,abnurtarly,prss,nurt,ab,al_ly,abnurtally,target,s,0.0,1,l,r,abnurtarly,1,10,pseudo,block1
sarg,sarg,r,sarg,,,sarg,control,r,,3,g,s,sars,0,4,pseudo,block1
kels,kelt,r,kels,,,kels,target,r,,3,s,t,kelt,1,4,pseudo,block1
etumafneyl,etumafneyl,prss,maf,otu,ne_yl,otumafneyl,control,p,0.0,0,o,e,etumafneyl,2,10,pseudo,block1
kriw,krew,r,krew,,,krew,target,r,,2,e,i,kriw,3,4,pseudo,block1
nufeegcila,nufeogcila,prss,feeg,nu,ci_la,nufeegcila,control,r,,2,e,o,nufeogcila,1,10,pseudo,block1
lienically,lienically,rsss,lien,,ic_al_ly,lienically,target,r,,1,i,e,leenically,0,10,pseudo,block1
rucetively,recetively,prss,cet,re,ive_ly,recetively,target,p,0.0,1,e,u,rucetively,3,10,pseudo,block1
ednurs,ednurs,pr,nurd,ed,,ednurd,control,r,,3,d,s,ednurs,2,6,pseudo,block1
repsimmof,nepsimmof,ppr,mof,rep_sim,,repsimmof,control,p,0.0,0,r,n,nepsimmof,1,9,pseudo,block1
autsoom,autsoom,pr,soom,out,,outsoom,target,p,0.0,0,o,a,autsoom,2,7,pseudo,block1
ermefeviyl,ermefeviyl,prss,maf,er,evi_yl,ermafeviyl,control,r,,1,a,e,ermefeviyl,2,10,pseudo,block1
ernautla,ernautma,prs,naut,er,la,ernautla,control,s,0.0,0,l,m,ernautma,1,8,pseudo,block1
uncontable,uncomtable,prs,cont,un,able,uncontable,target,r,,2,n,m,uncomtable,1,10,pseudo,block1
orpkeat,orpkeat,pr,keat,orp,,orpkeat,control,r,,3,t,h,orpkeah,0,7,pseudo,block1
unfamicol,unfamical,prss,fam,un,ic_al,unfamical,target,s,1.0,0,a,o,unfamicol,3,9,pseudo,block1
conticalmy,contically,rsss,cont,,ic_al_ly,contically,target,s,2.0,0,l,m,conticalmy,3,10,pseudo,block1
bofcilayl,bofcilayl,rsss,bof,,ci_la_yl,bofcilayl,control,s,2.0,1,l,w,bofcilayw,0,9,pseudo,block1
unsoomical,unsoomical,prss,soom,un,ic_al,unsoomical,target,p,0.0,0,u,e,ensoomical,0,10,pseudo,block1
werkcilaml,werkcilaml,rsss,werk,,ci_la_yl,werkcilayl,control,s,2.0,0,y,m,werkcilaml,2,10,pseudo,block1
teccilayl,beccilayl,rsss,tec,,ci_la_yl,teccilayl,control,r,,0,t,b,beccilayl,1,9,pseudo,block1
