first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
disorderly,disorderly,prs,dis,order,ly,disorderly,target,s,0.0,1,y,m,disorderlm,0,10,real,block1
underline,underline,pr,under,line,,underline,target,r,,2,n,m,underlime,0,9,real,block1
unkindly,unkindly,prs,un,kind,ly,unkindly,target,r,,0,k,g,ungindly,0,8,real,block1
thannel,thannel,r,,channel,,channel,control,r,,0,c,t,thannel,2,7,real,block1
unreal,unreal,pr,un,real,,unreal,target,p,0.0,1,n,w,uwreal,0,6,real,block1
serpe,serve,r,,serve,,serve,control,r,,3,v,p,serpe,3,5,real,block1
enact,enact,pr,en,act,,enact,target,p,0.0,0,e,i,inact,0,5,real,block1
sterilize,sterilize,rs,,steril,ize,sterilize,target,s,0.0,0,i,o,steriloze,0,9,real,block1
conflict,conflicp,r,,conflict,,conflict,control,r,,7,t,p,conflicp,1,8,real,block1
cantalouse,cantalouse,r,,cantaloupe,,cantaloupe,control,r,,8,p,s,cantalouse,2,10,real,block1
discipline,discipline,r,,discipline,,discipline,control,r,,0,d,h,hiscipline,0,10,real,block1
unread,unruad,pr,un,read,,unread,target,r,,1,e,u,unruad,1,6,real,block1
college,collegi,r,,college,,college,control,r,,6,e,i,collegi,1,7,real,block1
complete,completa,r,,complete,,complete,control,r,,7,e,a,completa,1,8,real,block1
understand,undirstand,r,,understand,,understand,control,r,,3,e,i,undirstand,1,10,real,block1
trampoline,trampoline,r,,trampoline,,trampoline,control,r,,1,r,m,tmampoline,0,10,real,block1
digappoint,disappoint,pr,dis,appoint,,disappoint,target,p,0.0,2,s,g,digappoint,3,10,real,block1
ctinchilla,chinchilla,r,,chinchilla,,chinchilla,control,r,,1,h,t,ctinchilla,3,10,real,block1
urcut,urcut,pr,un,cut,,uncut,target,p,0.0,1,n,r,urcut,2,5,real,block1
example,example,r,,example,,example,control,r,,6,e,a,exampla,0,7,real,block1
iconic,icoric,rs,,icon,ic,iconic,target,r,,3,n,r,icoric,1,6,real,block1
regard,regard,r,,regard,,regard,control,r,,2,g,d,redard,0,6,real,block1
prosbitute,prostitute,r,,prostitute,,prostitute,control,r,,4,t,b,prosbitute,3,10,real,block1
convince,convince,r,,convince,,convince,control,r,,5,n,m,convimce,0,8,real,block1
roenact,roenact,ppr,re_en,act,,reenact,target,p,0.0,1,e,o,roenact,2,7,real,block1
detormine,determine,r,,determine,,determine,control,r,,3,e,o,detormine,3,9,real,block1
neighbour,neifhbour,r,,neighbour,,neighbour,control,r,,3,g,f,neifhbour,1,9,real,block1
dolphin,dolphin,r,,dolphin,,dolphin,control,r,,0,d,f,folphin,0,7,real,block1
insert,insert,pr,in,sert,,insert,target,r,,1,e,u,insurt,0,6,real,block1
tamboumine,tamboumine,r,,tambourine,,tambourine,control,r,,6,r,m,tamboumine,2,10,real,block1
snorer,snorer,rs,,snor,er,snorer,target,r,,0,s,t,tnorer,0,6,real,block1
propertw,property,r,,property,,property,control,r,,7,y,w,propertw,3,8,real,block1
roread,reread,pr,re,read,,reread,target,p,0.0,1,e,o,roread,3,6,real,block1
persuade,persuade,r,,persuade,,persuade,control,r,,4,u,o,persoade,0,8,real,block1
cassette,cassetde,r,,cassette,,cassette,control,r,,6,t,d,cassetde,1,8,real,block1
egoistic,egoishic,rss,,ego,ist_ic,egoistic,target,s,0.0,2,t,h,egoishic,1,8,real,block1
privilede,privilege,r,,privilege,,privilege,control,r,,7,g,d,privilede,3,9,real,block1
crustacean,crustaceam,r,,crustacean,,crustacean,control,r,,9,n,m,crustaceam,1,10,real,block1
