first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
overkoul,overkoul,pr,koul,over,,overkoul,target,p,0.0,2,e,a,ovarkoul,0,8,pseudo,block1
premihket,premisket,ppr,ket,pre_mis,,premisket,target,p,1.0,2,s,h,premihket,3,9,pseudo,block1
meralistic,maralistic,rsss,mer,,al_ist_ic,meralistic,target,r,,1,e,a,maralistic,1,10,pseudo,block1
comtically,contically,rsss,cont,,ic_al_ly,contically,target,r,,2,n,m,comtically,3,10,pseudo,block1
erotunuc,erotunut,ppr,nuc,er_otu,,erotunuc,control,r,,2,c,t,erotunut,1,8,pseudo,block1
teconila,teconila,rss,tec,,oni_la,teconila,control,s,1.0,0,l,w,teconiwa,0,8,pseudo,block1
mofcilayl,mofcilayl,rsss,maf,,ci_la_yl,mafcilayl,control,r,,1,a,o,mofcilayl,2,9,pseudo,block1
moescilayl,mooscilayl,rsss,moos,,ci_la_yl,mooscilayl,control,r,,2,o,e,moescilayl,3,10,pseudo,block1
prokeir,propeir,pr,keir,pro,,prokeir,target,r,,0,k,p,propeir,1,7,pseudo,block1
reoutlien,reoutlien,ppr,lien,re_out,,reoutlien,target,r,,3,n,w,reoutliew,0,9,pseudo,block1
incetatoon,incetatoon,prss,cet,in,at_ion,incetation,target,s,1.0,0,i,o,incetatoon,2,10,pseudo,block1
fradciloyl,fradcilayl,rsss,frad,,ci_la_yl,fradcilayl,control,s,1.0,1,a,o,fradciloyl,3,10,pseudo,block1
erniilnemt,erneilnemt,prs,neil,er,nemt,erneilnemt,control,r,,1,e,i,erniilnemt,3,10,pseudo,block1
gras,gras,r,gras,,,gras,target,r,,1,r,j,gjas,0,4,pseudo,block1
teunful,taunful,rs,taun,,ful,taunful,target,r,,1,a,e,teunful,3,7,pseudo,block1
comalistic,comalistic,rsss,con,,al_ist_ic,conalistic,target,r,,2,n,m,comalistic,2,10,pseudo,block1
lienically,lienihally,rsss,lien,,ic_al_ly,lienically,target,s,0.0,1,c,h,lienihally,1,10,pseudo,block1
sidkeatyl,sidkeatyl,prs,keat,sid,yl,sidkeatyl,control,s,0.0,1,l,r,sidkeatyr,0,9,pseudo,block1
bustalc,bustilc,pr,talc,bus,,bustalc,control,r,,1,a,i,bustilc,1,7,pseudo,block1
meaklaym,meaklayl,rss,meak,,la_yl,meaklayl,control,s,1.0,1,l,m,meaklaym,3,8,pseudo,block1
fam,far,r,fam,,,fam,target,r,,2,m,r,far,1,3,pseudo,block1
taunanc,taunanc,rs,taun,,ant,taunant,target,s,0.0,2,t,c,taunanc,2,7,pseudo,block1
sidnuc,sicnuc,pr,nuc,sid,,sidnuc,control,p,0.0,2,d,c,sicnuc,1,6,pseudo,block1
cun,cun,r,cun,,,cun,target,r,,0,c,b,bun,0,3,pseudo,block1
repsidtonc,repsidtonc,ppr,tonc,rep_sid,,repsidtonc,control,r,,3,c,h,repsidtonh,0,10,pseudo,block1
engeefly,engeefly,prs,geef,un,ly,ungeefly,target,p,0.0,0,u,e,engeefly,2,8,pseudo,block1
tyigeta,trigeta,rs,trig,,eta,trigeta,control,r,,1,r,y,tyigeta,3,7,pseudo,block1
nurtalize,nurtalize,rss,nurt,,al_ize,nurtalize,target,s,0.0,0,a,e,nurtelize,0,9,pseudo,block1
laen,lien,r,lien,,,lien,target,r,,1,i,a,laen,3,4,pseudo,block1
repsidfrad,repsidfrad,ppr,frad,rep_sid,,repsidfrad,control,r,,0,f,p,repsidprad,0,10,pseudo,block1
revonoc,revonoc,pr,noc,revo,,revonoc,control,r,,1,o,a,revonac,0,7,pseudo,block1
gerulfsens,gerulfsens,rss,gen,,ulf_sens,genulfsens,control,r,,2,n,r,gerulfsens,2,10,pseudo,block1
repsimgen,repsimgen,ppr,gen,rep_sim,,repsimgen,control,r,,1,e,a,repsimgan,0,9,pseudo,block1
orninaut,erninaut,ppr,naut,er_ni,,erninaut,control,p,0.0,0,e,o,orninaut,3,8,pseudo,block1
reeverfob,reeverfob,ppr,fob,re_over,,reoverfob,target,p,1.0,0,o,e,reeverfob,2,9,pseudo,block1
volg,colg,r,colg,,,colg,control,r,,0,c,v,volg,3,4,pseudo,block1
discet,tiscet,pr,cet,dis,,discet,target,p,0.0,0,d,t,tiscet,1,6,pseudo,block1
erverorom,erverorem,ppr,rem,er_vero,,erverorem,control,r,,1,e,o,erverorom,3,9,pseudo,block1
ketliness,katliness,rss,ket,,li_ness,ketliness,target,r,,1,e,a,katliness,1,9,pseudo,block1
