first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
keir,keer,r,keir,,,keir,target,r,,2,i,e,keer,1,4,pseudo,block1
nimoftanyl,nimoftanyl,prss,mof,ni,tan_yl,nimoftanyl,control,p,0.0,0,n,r,rimoftanyl,0,10,pseudo,block1
girtil,girtal,rs,girt,,al,girtal,target,s,0.0,0,a,i,girtil,3,6,pseudo,block1
conance,conance,rs,con,,ance,conance,target,r,,0,c,t,tonance,0,7,pseudo,block1
simbookoni,simpookoni,prs,pook,sim,oni,simpookoni,control,r,,0,p,b,simbookoni,3,10,pseudo,block1
oetgras,outgras,pr,gras,out,,outgras,target,p,0.0,1,u,e,oetgras,3,7,pseudo,block1
moc,noc,r,noc,,,noc,control,r,,0,n,m,moc,3,3,pseudo,block1
urrieketa,errieketa,prs,riek,er,eta,errieketa,control,p,0.0,0,e,u,urrieketa,3,9,pseudo,block1
abkemsally,abkelsally,prss,kels,ab,al_ly,abkelsally,target,r,,2,l,m,abkemsally,3,10,pseudo,block1
bapooklall,bapooklayl,prss,pook,ba,la_yl,bapooklayl,control,s,1.0,0,y,l,bapooklall,3,10,pseudo,block1
radiskels,radiskels,ppr,kels,re_dis,,rediskels,target,p,0.0,1,e,a,radiskels,2,9,pseudo,block1
ertrig,ertrig,pr,trig,er,,ertrig,control,r,,0,t,s,ersrig,0,6,pseudo,block1
didneilulf,sidneilulf,prs,neil,sid,ulf,sidneilulf,control,p,0.0,0,s,d,didneilulf,3,10,pseudo,block1
promision,prowision,prs,wis,pro,ion,prowision,target,r,,0,w,m,promision,3,9,pseudo,block1
remismer,remismer,ppr,mer,re_mis,,remismer,target,r,,0,m,n,remisner,0,8,pseudo,block1
talccilayl,talccelayl,rsss,talc,,ci_la_yl,talccilayl,control,s,0.0,1,i,e,talccelayl,1,10,pseudo,block1
etuneil,otuneil,pr,neil,otu,,otuneil,control,p,0.0,0,o,e,etuneil,3,7,pseudo,block1
vidtekoni,sidtekoni,prs,tek,sid,oni,sidtekoni,control,p,0.0,0,s,v,vidtekoni,3,9,pseudo,block1
peoklasit,pooklasit,rss,pook,,la_sit,pooklasit,control,r,,1,o,e,peoklasit,3,9,pseudo,block1
werklasit,werklasit,rss,werk,,la_sit,werklasit,control,r,,1,e,o,worklasit,0,9,pseudo,block1
abfamally,abfamally,prss,fam,ab,al_ly,abfamally,target,s,1.0,0,l,n,abfamalny,0,9,pseudo,block1
inmerantly,inmerantly,prss,mer,in,ant_ly,inmerantly,target,r,,1,e,o,inmorantly,0,10,pseudo,block1
ninactaoni,ninactaoni,prss,nuc,ni,ta_oni,ninuctaoni,control,r,,1,u,a,ninactaoni,2,10,pseudo,block1
baginlayl,baginlayl,prss,gen,ba,la_yl,bagenlayl,control,r,,1,e,i,baginlayl,2,9,pseudo,block1
teenion,teerion,rs,teer,,ion,teerion,target,r,,3,r,n,teenion,3,7,pseudo,block1
rofom,rofom,pr,fom,re,,refom,target,p,0.0,1,e,o,rofom,2,5,pseudo,block1
genlayl,ganlayl,rss,gen,,la_yl,genlayl,control,r,,1,e,a,ganlayl,1,7,pseudo,block1
rokelsate,rekelsate,prs,kels,re,ate,rekelsate,target,p,0.0,1,e,o,rokelsate,3,9,pseudo,block1
remidclat,remisclat,ppr,clat,re_mis,,remisclat,target,p,1.0,2,s,d,remidclat,3,9,pseudo,block1
erptrunoni,orptrunoni,prs,trun,orp,oni,orptrunoni,control,p,0.0,0,o,e,erptrunoni,3,10,pseudo,block1
