first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
sidtalconi,sidtalconi,prs,talc,sid,oni,sidtalconi,control,r,,1,a,i,sidtilconi,0,10,pseudo
upkiop,upkoop,pr,koop,up,,upkoop,target,r,,1,o,i,upkiop,3,6,pseudo
tedlasit,tedlasit,rss,tec,,la_sit,teclasit,control,r,,2,c,d,tedlasit,2,8,pseudo
kuirically,keirically,rsss,keir,,ic_al_ly,keirically,target,r,,1,e,u,kuirically,3,10,pseudo
nitecteoni,nitectaoni,prss,tec,ni,ta_oni,nitectaoni,control,s,0.0,1,a,e,nitecteoni,3,10,pseudo
eredtrig,eredtmig,ppr,trig,er_ed,,eredtrig,control,r,,1,r,m,eredtmig,1,8,pseudo
moos,moos,r,moos,,,moos,control,r,,2,o,e,moes,0,4,pseudo
domly,domly,rs,fom,,ly,fomly,target,r,,0,f,d,domly,2,5,pseudo
colgenca,colgenca,rs,colg,,enca,colgenca,control,r,,2,l,w,cowgenca,0,8,pseudo
teccila,teccila,rss,tec,,ci_la,teccila,control,r,,1,e,u,tuccila,0,7,pseudo
naboftaoni,niboftaoni,prss,bof,ni,ta_oni,niboftaoni,control,p,0.0,1,i,a,naboftaoni,3,10,pseudo
erniriek,erniriuk,ppr,riek,er_ni,,erniriek,control,r,,2,e,u,erniriuk,1,8,pseudo
internurt,infernurt,pr,nurt,inter,,internurt,target,p,0.0,2,t,f,infernurt,1,9,pseudo
taunically,taunically,rsss,taun,,ic_al_ly,taunically,target,s,1.0,1,l,m,taunicamly,0,10,pseudo
sidneilyl,sidnailyl,prs,neil,sid,yl,sidneilyl,control,r,,1,e,a,sidnailyl,1,9,pseudo
poik,poik,r,pook,,,pook,control,r,,2,o,i,poik,2,4,pseudo
clapically,clatically,rsss,clat,,ic_al_ly,clatically,target,r,,3,t,p,clapically,3,10,pseudo
kelsolism,kelsolism,rss,kels,,al_ism,kelsalism,target,s,0.0,0,a,o,kelsolism,2,9,pseudo
moosyl,moosyl,rs,moos,,yl,moosyl,control,s,0.0,0,y,m,moosml,0,6,pseudo
abkeirally,abheirally,prss,keir,ab,al_ly,abkeirally,target,r,,0,k,h,abheirally,1,10,pseudo
reaverteak,reaverteak,ppr,teak,re_over,,reoverteak,target,p,1.0,0,o,a,reaverteak,2,10,pseudo
kwew,krew,r,krew,,,krew,target,r,,1,r,w,kwew,3,4,pseudo
decet,decat,pr,cet,de,,decet,target,r,,1,e,a,decat,1,5,pseudo
unwisal,unlisal,prs,wis,un,al,unwisal,target,r,,0,w,l,unlisal,1,7,pseudo
fomistic,famistic,rss,fom,,ist_ic,fomistic,target,r,,1,o,a,famistic,1,8,pseudo
basartlayl,basartlayl,prss,sarg,ba,la_yl,basarglayl,control,r,,3,g,t,basartlayl,2,10,pseudo
inunocyl,inunocyl,prs,noc,inu,yl,inunocyl,control,r,,2,c,h,inunohyl,0,8,pseudo
hiw,hiw,r,siw,,,siw,control,r,,0,s,h,hiw,2,3,pseudo
eredselk,oredselk,ppr,selk,er_ed,,eredselk,control,p,0.0,0,e,o,oredselk,1,8,pseudo
mofca,mofci,rs,mof,,ci,mofci,control,s,0.0,1,i,a,mofca,3,5,pseudo
mofcilayl,mofcileyl,rsss,mof,,ci_la_yl,mofcilayl,control,s,1.0,1,a,e,mofcileyl,1,9,pseudo
rentinurd,rensinurd,pr,nurd,renti,,rentinurd,control,p,0.0,3,t,s,rensinurd,1,9,pseudo
remiscont,reyiscont,ppr,cont,re_mis,,remiscont,target,p,1.0,0,m,y,reyiscont,1,9,pseudo
obconally,obconally,prss,con,ab,al_ly,abconally,target,p,0.0,0,a,o,obconally,2,9,pseudo
onlien,unlien,pr,lien,un,,unlien,target,p,0.0,0,u,o,onlien,3,6,pseudo
liew,lien,r,lien,,,lien,target,r,,3,n,w,liew,3,4,pseudo
genlasitci,genlesitci,rsss,gen,,la_sit_ci,genlasitci,control,s,0.0,1,a,e,genlesitci,1,10,pseudo
nudenla,nudenla,prs,gen,nu,la,nugenla,control,r,,0,g,d,nudenla,2,7,pseudo
yurdonila,nurdonila,rss,nurd,,oni_la,nurdonila,control,r,,0,n,y,yurdonila,3,9,pseudo
negless,neglesb,rs,neg,,less,negless,target,s,0.0,3,s,b,neglesb,1,7,pseudo
ednautezi,ecnautezi,prs,naut,ed,ezi,ednautezi,control,p,0.0,1,d,c,ecnautezi,1,9,pseudo
koulic,koulic,rs,koul,,ic,koulic,target,r,,0,k,d,doulic,0,6,pseudo
bofcilayl,bofcilayl,rsss,bof,,ci_la_yl,bofcilayl,control,s,1.0,1,a,e,bofcileyl,0,9,pseudo
repsimnoc,repsimnop,ppr,noc,rep_sim,,repsimnoc,control,r,,2,c,p,repsimnop,1,9,pseudo
tec,tet,r,tec,,,tec,control,r,,2,c,t,tet,1,3,pseudo
intonation,intonation,prss,con,in,at_ion,inconation,target,r,,0,c,t,intonation,2,10,pseudo
bofnemtla,bofnamtla,rss,bof,,nemt_la,bofnemtla,control,s,0.0,1,e,a,bofnamtla,1,9,pseudo
crokoop,prokoop,pr,koop,pro,,prokoop,target,p,0.0,0,p,c,crokoop,3,7,pseudo
drin,drin,r,drun,,,drun,target,r,,2,u,i,drin,2,4,pseudo
negicarly,negically,rsss,neg,,ic_al_ly,negically,target,s,1.0,1,l,r,negicarly,3,9,pseudo
pibof,pibof,pr,bof,pu,,pubof,control,p,0.0,1,u,i,pibof,2,5,pseudo
umlienal,unlienal,prs,lien,un,al,unlienal,target,p,0.0,1,n,m,umlienal,3,8,pseudo
sidmenurd,sidmenurd,ppr,nurd,sid_me,,sidmenurd,control,p,0.0,1,i,o,sodmenurd,0,9,pseudo
infamively,irfamively,prss,fam,in,ive_ly,infamively,target,p,0.0,1,n,r,irfamively,1,10,pseudo
fomamize,fomalize,rss,fom,,al_ize,fomalize,target,s,0.0,1,l,m,fomamize,3,8,pseudo
clatious,clatious,rs,clat,,ious,clatious,target,s,0.0,3,s,t,clatiout,0,8,pseudo
reseteer,reseteer,ppr,teer,re_de,,redeteer,target,p,1.0,0,d,s,reseteer,2,8,pseudo
fob,fop,r,fob,,,fob,target,r,,2,b,p,fop,1,3,pseudo
erfrigelba,ertrigelba,prs,trig,er,elba,ertrigelba,control,r,,0,t,f,erfrigelba,3,10,pseudo
werksitce,werksitci,rss,werk,,sit_ci,werksitci,control,s,1.0,1,i,e,werksitce,3,9,pseudo
infarantly,infarantly,prss,fam,in,ant_ly,infamantly,target,r,,2,m,r,infarantly,2,10,pseudo
diksoom,dissoom,pr,soom,dis,,dissoom,target,p,0.0,2,s,k,diksoom,3,7,pseudo
tancsels,toncsels,rs,tonc,,sels,toncsels,control,r,,1,o,a,tancsels,3,8,pseudo
wisalistic,wisalistic,rsss,wis,,al_ist_ic,wisalistic,target,s,2.0,0,i,u,wisalistuc,0,10,pseudo
ersidtrig,ersidtrig,ppr,trig,er_sid,,ersidtrig,control,p,0.0,1,r,m,emsidtrig,0,9,pseudo
murem,murem,pr,rem,nu,,nurem,control,p,0.0,0,n,m,murem,2,5,pseudo
sidkeatyl,sidkeatyl,prs,keat,sid,yl,sidkeatyl,control,p,0.0,0,s,c,cidkeatyl,0,9,pseudo
contistic,contiptic,rss,cont,,ist_ic,contistic,target,s,0.0,1,s,p,contiptic,1,9,pseudo
neiyoni,neiyoni,rs,neil,,oni,neiloni,control,r,,3,l,y,neiyoni,2,7,pseudo
vek,tek,r,tek,,,tek,control,r,,0,t,v,vek,3,3,pseudo
geefically,geefically,rsss,geef,,ic_al_ly,geefically,target,s,2.0,1,y,w,geeficallw,0,10,pseudo
numofluyl,numofluyl,prss,mof,nu,la_yl,numoflayl,control,s,0.0,1,a,u,numofluyl,2,9,pseudo
simcolg,pimcolg,pr,colg,sim,,simcolg,control,p,0.0,0,s,p,pimcolg,1,7,pseudo
nocnemtla,nocnemtla,rss,nuc,,nemt_la,nucnemtla,control,r,,1,u,o,nocnemtla,2,9,pseudo
bamaflayl,bamaflayl,prss,maf,ba,la_yl,bamaflayl,control,p,0.0,1,a,i,bimaflayl,0,9,pseudo
clatlecs,clatlecs,rs,clat,,less,clatless,target,s,0.0,2,s,c,clatlecs,2,8,pseudo
cet,det,r,cet,,,cet,target,r,,0,c,d,det,1,3,pseudo
darfically,darfocally,rsss,darf,,ic_al_ly,darfically,target,s,0.0,0,i,o,darfocally,1,10,pseudo
premipfam,premisfam,ppr,fam,pre_mis,,premisfam,target,p,1.0,2,s,p,premipfam,3,9,pseudo
ercolgelba,ercelgelba,prs,colg,er,elba,ercolgelba,control,r,,1,o,e,ercelgelba,1,10,pseudo
sidtalc,sidtalc,pr,talc,sid,,sidtalc,control,p,0.0,0,s,d,didtalc,0,7,pseudo
abgeefamly,abgeefally,prss,geef,ab,al_ly,abgeefally,target,s,0.0,1,l,m,abgeefamly,3,10,pseudo
famalisdic,famalistic,rsss,fam,,al_ist_ic,famalistic,target,s,1.0,2,t,d,famalisdic,3,10,pseudo
girtical,girtical,rss,girt,,ic_al,girtical,target,r,,0,g,p,pirtical,0,8,pseudo
erotumuc,erotunuc,ppr,nuc,er_otu,,erotunuc,control,r,,0,n,m,erotumuc,3,8,pseudo
sarh,sarg,r,sarg,,,sarg,control,r,,3,g,h,sarh,3,4,pseudo
defamize,defamize,prs,fam,de,ize,defamize,target,p,0.0,0,d,t,tefamize,0,8,pseudo
toncpi,toncpi,rs,tonc,,ci,toncci,control,s,0.0,0,c,p,toncpi,2,6,pseudo
tecci,tebci,rs,tec,,ci,tecci,control,r,,2,c,b,tebci,1,5,pseudo
outkems,outkels,pr,kels,out,,outkels,target,r,,2,l,m,outkems,3,7,pseudo
holg,holg,r,colg,,,colg,control,r,,0,c,h,holg,2,4,pseudo
redisgirt,redisgirt,ppr,girt,re_dis,,redisgirt,target,r,,1,i,a,redisgart,0,9,pseudo
inwisively,inwisively,prss,wis,in,ive_ly,inwisively,target,p,0.0,1,n,m,imwisively,0,10,pseudo
louscilayl,loukcilayl,rsss,louk,,ci_la_yl,loukcilayl,control,r,,3,k,s,louscilayl,3,10,pseudo
pooklasim,pioklasim,rss,pook,,la_sim,pooklasim,control,r,,1,o,i,pioklasim,1,9,pseudo
misfomoum,misfomoum,prs,fom,mis,our,misfomour,target,s,0.0,2,r,m,misfomoum,2,9,pseudo
ehwerkre,ehwerkre,prs,werk,ed,re,edwerkre,control,p,0.0,1,d,h,ehwerkre,2,8,pseudo
feet,feeg,r,feeg,,,feeg,control,r,,3,g,t,feet,3,4,pseudo
pradcilayl,pradcilayl,rsss,frad,,ci_la_yl,fradcilayl,control,r,,0,f,p,pradcilayl,2,10,pseudo
girtment,girtyent,rs,girt,,ment,girtment,target,s,0.0,0,m,y,girtyent,1,8,pseudo
ersidneal,ersidneil,ppr,neil,er_sid,,ersidneil,control,r,,2,i,a,ersidneal,3,9,pseudo
ulineg,ulineg,pr,neg,uni,,unineg,target,p,0.0,1,n,l,ulineg,2,6,pseudo
inmeration,inmeration,prss,mer,in,at_ion,inmeration,target,r,,2,r,n,inmenation,0,10,pseudo
neilulfyl,neilulfyl,rss,neil,,ulf_yl,neilulfyl,control,s,1.0,1,l,w,neilulfyw,0,9,pseudo
nuccilayl,nuccilayl,rsss,nuc,,ci_la_yl,nuccilayl,control,s,1.0,1,a,e,nuccileyl,0,9,pseudo
erotufrad,erotufrad,ppr,frad,er_otu,,erotufrad,control,r,,0,f,h,erotuhrad,0,9,pseudo
ecnoc,ednoc,pr,noc,ed,,ednoc,control,p,0.0,1,d,c,ecnoc,3,5,pseudo
nuselkla,nuhelkla,prs,selk,nu,la,nuselkla,control,r,,0,s,h,nuhelkla,1,8,pseudo
koopisl,koopism,rs,koop,,ism,koopism,target,s,0.0,2,m,l,koopisl,3,7,pseudo
capooklayl,bapooklayl,prss,pook,ba,la_yl,bapooklayl,control,p,0.0,0,b,c,capooklayl,3,10,pseudo
rieklayl,riehlayl,rss,riek,,la_yl,rieklayl,control,r,,3,k,h,riehlayl,1,8,pseudo
neil,neal,r,neil,,,neil,control,r,,2,i,a,neal,1,4,pseudo
balouklayl,balouklayl,prss,louk,ba,la_yl,balouklayl,control,s,1.0,1,l,r,balouklayr,0,10,pseudo
erogubof,erogubof,ppr,bof,er_otu,,erotubof,control,p,1.0,1,t,g,erogubof,2,8,pseudo
