first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
sargcilayl,sargcilayl,rsss,sarg,,ci_la_yl,sargcilayl,control,s,2.0,1,l,w,sargcilayw,0,10,pseudo
simneil,simneil,pr,neil,sim,,simneil,control,p,0.0,2,m,r,sirneil,0,7,pseudo
nertal,nertal,rs,nurt,,al,nurtal,target,r,,1,u,e,nertal,2,6,pseudo
repsimnuc,repsimnuc,ppr,nuc,rep_sim,,repsimnuc,control,r,,1,u,o,repsimnoc,0,9,pseudo
edmeak,edweak,pr,meak,ed,,edmeak,control,r,,0,m,w,edweak,1,6,pseudo
inuniut,inuniut,pr,naut,inu,,inunaut,control,r,,1,a,i,inuniut,2,7,pseudo
nigenvieta,nigenvieta,prss,gen,ni,vi_eta,nigenvieta,control,s,1.0,0,e,u,nigenviuta,0,10,pseudo
erremeviyl,errameviyl,prss,rem,er,evi_yl,erremeviyl,control,r,,1,e,a,errameviyl,1,10,pseudo
trig,trig,r,trig,,,trig,control,r,,0,t,s,srig,0,4,pseudo
ertnoc,erpnoc,pr,noc,erp,,erpnoc,control,p,0.0,2,p,t,ertnoc,3,6,pseudo
geefable,geefable,rs,geef,,able,geefable,target,r,,0,g,d,deefable,0,8,pseudo
reketal,reketal,prs,ket,re,al,reketal,target,r,,2,t,d,rekedal,0,7,pseudo
meakonina,meakonila,rss,meak,,oni_la,meakonila,control,s,1.0,0,l,n,meakonina,3,9,pseudo
upkeom,upkeom,pr,keam,up,,upkeam,target,r,,2,a,o,upkeom,2,6,pseudo
tekcilayl,tekciluyl,rsss,tek,,ci_la_yl,tekcilayl,control,s,1.0,1,a,u,tekciluyl,1,9,pseudo
disteerity,desteerity,prs,teer,dis,ity,disteerity,target,p,0.0,1,i,e,desteerity,1,10,pseudo
tencilayl,gencilayl,rsss,gen,,ci_la_yl,gencilayl,control,r,,0,g,t,tencilayl,3,9,pseudo
erpneet,erpreet,pr,reet,erp,,erpreet,control,r,,0,r,n,erpneet,3,7,pseudo
abnurtally,abnurtarly,prss,nurt,ab,al_ly,abnurtally,target,s,0.0,1,l,r,abnurtarly,1,10,pseudo
sarg,sarg,r,sarg,,,sarg,control,r,,3,g,s,sars,0,4,pseudo
kels,kelt,r,kels,,,kels,target,r,,3,s,t,kelt,1,4,pseudo
etumafneyl,etumafneyl,prss,maf,otu,ne_yl,otumafneyl,control,p,0.0,0,o,e,etumafneyl,2,10,pseudo
kriw,krew,r,krew,,,krew,target,r,,2,e,i,kriw,3,4,pseudo
nufeegcila,nufeogcila,prss,feeg,nu,ci_la,nufeegcila,control,r,,2,e,o,nufeogcila,1,10,pseudo
lienically,lienically,rsss,lien,,ic_al_ly,lienically,target,r,,1,i,e,leenically,0,10,pseudo
rucetively,recetively,prss,cet,re,ive_ly,recetively,target,p,0.0,1,e,u,rucetively,3,10,pseudo
ednurs,ednurs,pr,nurd,ed,,ednurd,control,r,,3,d,s,ednurs,2,6,pseudo
repsimmof,nepsimmof,ppr,mof,rep_sim,,repsimmof,control,p,0.0,0,r,n,nepsimmof,1,9,pseudo
autsoom,autsoom,pr,soom,out,,outsoom,target,p,0.0,0,o,a,autsoom,2,7,pseudo
ermefeviyl,ermefeviyl,prss,maf,er,evi_yl,ermafeviyl,control,r,,1,a,e,ermefeviyl,2,10,pseudo
ernautla,ernautma,prs,naut,er,la,ernautla,control,s,0.0,0,l,m,ernautma,1,8,pseudo
uncontable,uncomtable,prs,cont,un,able,uncontable,target,r,,2,n,m,uncomtable,1,10,pseudo
orpkeat,orpkeat,pr,keat,orp,,orpkeat,control,r,,3,t,h,orpkeah,0,7,pseudo
unfamicol,unfamical,prss,fam,un,ic_al,unfamical,target,s,1.0,0,a,o,unfamicol,3,9,pseudo
conticalmy,contically,rsss,cont,,ic_al_ly,contically,target,s,2.0,0,l,m,conticalmy,3,10,pseudo
bofcilayl,bofcilayl,rsss,bof,,ci_la_yl,bofcilayl,control,s,2.0,1,l,w,bofcilayw,0,9,pseudo
unsoomical,unsoomical,prss,soom,un,ic_al,unsoomical,target,p,0.0,0,u,e,ensoomical,0,10,pseudo
werkcilaml,werkcilaml,rsss,werk,,ci_la_yl,werkcilayl,control,s,2.0,0,y,m,werkcilaml,2,10,pseudo
teccilayl,beccilayl,rsss,tec,,ci_la_yl,teccilayl,control,r,,0,t,b,beccilayl,1,9,pseudo
mufradcila,nufradcila,prss,frad,nu,ci_la,nufradcila,control,p,0.0,0,n,m,mufradcila,3,10,pseudo
colgcilayl,colgcolayl,rsss,colg,,ci_la_yl,colgcilayl,control,s,0.0,1,i,o,colgcolayl,1,10,pseudo
sidtecnemt,sibtecnemt,prs,tec,sid,nemt,sidtecnemt,control,p,0.0,2,d,b,sibtecnemt,1,10,pseudo
ceeglayl,feeglayl,rss,feeg,,la_yl,feeglayl,control,r,,0,f,c,ceeglayl,3,8,pseudo
iyketation,inketation,prss,ket,in,at_ion,inketation,target,p,0.0,1,n,y,iyketation,3,10,pseudo
nimeakison,numeakison,prs,meak,nu,ison,numeakison,control,p,0.0,1,u,i,nimeakison,3,10,pseudo
sidfradoni,sidfradoni,prs,frad,sid,oni,sidfradoni,control,p,0.0,0,s,h,hidfradoni,0,10,pseudo
osutalc,osutalc,pr,talc,otu,,otutalc,control,p,0.0,1,t,s,osutalc,2,7,pseudo
keitcilayl,keitcilayl,rsss,keat,,ci_la_yl,keatcilayl,control,r,,2,a,i,keitcilayl,2,10,pseudo
tec,tic,r,tec,,,tec,control,r,,1,e,i,tic,1,3,pseudo
reoutyis,reoutyis,ppr,wis,re_out,,reoutwis,target,r,,0,w,y,reoutyis,2,8,pseudo
reoverdrun,reoverdrun,ppr,drun,re_over,,reoverdrun,target,p,0.0,0,r,w,weoverdrun,0,10,pseudo
keatsems,keatsels,rs,keat,,sels,keatsels,control,s,0.0,2,l,m,keatsems,3,8,pseudo
merically,mericallm,rsss,mer,,ic_al_ly,merically,target,s,2.0,1,y,m,mericallm,1,9,pseudo
nuclasitci,nuclasitci,rsss,nuc,,la_sit_ci,nuclasitci,control,s,2.0,0,c,h,nuclasithi,0,10,pseudo
nuriekcila,nuriekcila,prss,riek,nu,ci_la,nuriekcila,control,p,0.0,0,n,m,muriekcila,0,10,pseudo
kalsional,kelsional,rss,kels,,ion_al,kelsional,target,r,,1,e,a,kalsional,3,9,pseudo
trigmasit,trigmasit,rss,trig,,la_sit,triglasit,control,s,0.0,0,l,m,trigmasit,2,9,pseudo
prefam,prefam,pr,fam,pre,,prefam,target,r,,1,a,e,prefem,0,6,pseudo
nuneillayl,nuneillayl,prss,neil,nu,la_yl,nuneillayl,control,p,0.0,1,u,a,naneillayl,0,10,pseudo
reoverkrew,reeverkrew,ppr,krew,re_over,,reoverkrew,target,p,1.0,0,o,e,reeverkrew,1,10,pseudo
refomivelw,refomively,prss,fom,re,ive_ly,refomively,target,s,1.0,1,y,w,refomivelw,3,10,pseudo
erveronaut,erveronaut,ppr,naut,er_vero,,erveronaut,control,r,,0,n,m,erveromaut,0,10,pseudo
werk,welk,r,werk,,,werk,control,r,,2,r,l,welk,1,4,pseudo
wisless,wisless,rs,wis,,less,wisless,target,s,0.0,2,s,d,wisleds,0,7,pseudo
ersidtrig,ersidtreg,ppr,trig,er_sid,,ersidtrig,control,r,,2,i,e,ersidtreg,1,9,pseudo
harfically,darfically,rsss,darf,,ic_al_ly,darfically,target,r,,0,d,h,harfically,3,10,pseudo
drunfully,drunfullr,rss,drun,,ful_ly,drunfully,target,s,1.0,1,y,r,drunfullr,1,9,pseudo
teakically,teakically,rsss,teak,,ic_al_ly,teakically,target,s,2.0,1,y,l,teakicalll,0,10,pseudo
sargenca,sargenca,rs,sarg,,enca,sargenca,control,r,,0,s,f,fargenca,0,8,pseudo
erverobof,erverabof,ppr,bof,er_vero,,erverobof,control,p,1.0,3,o,a,erverabof,1,9,pseudo
loukouis,loukouis,rs,louk,,ouis,loukouis,control,s,0.0,2,i,e,loukoues,0,8,pseudo
putuk,putek,pr,tek,pu,,putek,control,r,,1,e,u,putuk,3,5,pseudo
unfomly,unfomwy,prs,fom,un,ly,unfomly,target,s,0.0,0,l,w,unfomwy,1,7,pseudo
nigentaoni,ligentaoni,prss,gen,ni,ta_oni,nigentaoni,control,p,0.0,0,n,l,ligentaoni,1,10,pseudo
inteerety,inteerety,prs,teer,in,ity,inteerity,target,s,0.0,0,i,e,inteerety,2,9,pseudo
unclatiius,unclatiius,prs,clat,un,ious,unclatious,target,s,0.0,1,o,i,unclatiius,2,10,pseudo
raek,riek,r,riek,,,riek,control,r,,1,i,a,raek,3,4,pseudo
preteer,preteer,pr,teer,pre,,preteer,target,p,0.0,2,e,a,prateer,0,7,pseudo
miskoopion,miskoopion,prs,koop,mis,ion,miskoopion,target,r,,1,o,i,miskiopion,0,10,pseudo
xofilabyit,bofilabyit,rss,bof,,ilab_yit,bofilabyit,control,r,,0,b,x,xofilabyit,3,10,pseudo
meadulfyl,meadulfyl,rss,meak,,ulf_yl,meakulfyl,control,r,,3,k,d,meadulfyl,2,9,pseudo
toop,toop,r,koop,,,koop,target,r,,0,k,t,toop,2,4,pseudo
disharfion,disdarfion,prs,darf,dis,ion,disdarfion,target,r,,0,d,h,disharfion,3,10,pseudo
remilebyit,remilebyit,rss,rem,,ilab_yit,remilabyit,control,s,0.0,2,a,e,remilebyit,2,10,pseudo
nut,nuc,r,nuc,,,nuc,control,r,,2,c,t,nut,3,3,pseudo
numafrl,numafrl,prs,maf,nu,yl,numafyl,control,s,0.0,0,y,r,numafrl,2,7,pseudo
koolance,koulance,rs,koul,,ance,koulance,target,r,,2,u,o,koolance,3,8,pseudo
rediskrew,rediskrew,ppr,krew,re_dis,,rediskrew,target,r,,0,k,f,redisfrew,0,9,pseudo
nort,nort,r,nurt,,,nurt,target,r,,1,u,o,nort,2,4,pseudo
fradlayl,fradloyl,rss,frad,,la_yl,fradlayl,control,s,0.0,1,a,o,fradloyl,1,8,pseudo
ked,ked,r,ket,,,ket,target,r,,2,t,d,ked,2,3,pseudo
nihoncyit,nitoncyit,prs,tonc,ni,yit,nitoncyit,control,r,,0,t,h,nihoncyit,3,9,pseudo
talp,talp,r,talc,,,talc,control,r,,3,c,p,talp,2,4,pseudo
mafonila,mofonila,rss,mof,,oni_la,mofonila,control,r,,1,o,a,mafonila,3,8,pseudo
proteer,sroteer,pr,teer,pro,,proteer,target,p,0.0,0,p,s,sroteer,1,7,pseudo
nurem,nurem,pr,rem,nu,,nurem,control,r,,1,e,a,nuram,0,5,pseudo
yegeefment,regeefment,prs,geef,re,ment,regeefment,target,p,0.0,0,r,y,yegeefment,3,10,pseudo
rekelsal,rekalsal,prs,kels,re,al,rekelsal,target,r,,1,e,a,rekalsal,1,8,pseudo
kiir,keir,r,keir,,,keir,target,r,,1,e,i,kiir,3,4,pseudo
fobace,fobate,rs,fob,,ate,fobate,target,s,0.0,1,t,c,fobace,3,6,pseudo
pumop,pumop,pr,mof,pu,,pumof,control,r,,2,f,p,pumop,2,5,pseudo
redecont,redecont,ppr,cont,re_de,,redecont,target,r,,0,c,s,redesont,0,8,pseudo
redisseak,redisteak,ppr,teak,re_dis,,redisteak,target,r,,0,t,s,redisseak,3,9,pseudo
mor,mor,r,mer,,,mer,target,r,,1,e,o,mor,2,3,pseudo
toncnemfla,toncnemfla,rss,tonc,,nemt_la,toncnemtla,control,s,0.0,3,t,f,toncnemfla,2,10,pseudo
geefic,geafic,rs,geef,,ic,geefic,target,r,,2,e,a,geafic,1,6,pseudo
fradsim,fradsim,rs,frad,,sim,fradsim,control,r,,1,r,m,fmadsim,0,7,pseudo
repsimtrun,repsimtrun,ppr,trun,rep_sim,,repsimtrun,control,r,,3,n,r,repsimtrur,0,10,pseudo
selketa,selkeca,rs,selk,,eta,selketa,control,s,0.0,1,t,c,selkeca,1,7,pseudo
reootnurt,reootnurt,ppr,nurt,re_out,,reoutnurt,target,p,1.0,1,u,o,reootnurt,2,9,pseudo
numooslayl,numooswayl,prss,moos,nu,la_yl,numooslayl,control,s,0.0,0,l,w,numooswayl,1,10,pseudo
ungrasayly,ungrasayly,prss,gras,un,al_ly,ungrasally,target,s,0.0,1,l,y,ungrasayly,2,10,pseudo
unikoal,unikoul,pr,koul,uni,,unikoul,target,r,,2,u,a,unikoal,3,7,pseudo
corically,conically,rsss,con,,ic_al_ly,conically,target,r,,2,n,r,corically,3,9,pseudo
nafcilayl,mafcilayl,rsss,maf,,ci_la_yl,mafcilayl,control,r,,0,m,n,nafcilayl,3,9,pseudo
inket,inkat,pr,ket,in,,inket,target,r,,1,e,a,inkat,1,5,pseudo
