first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
kels,kals,r,kels,,,kels,target,r,,1,e,a,kals,1,4,pseudo
wisment,wisment,rs,wis,,ment,wisment,target,r,,2,s,h,wihment,0,7,pseudo
putalc,butalc,pr,talc,pu,,putalc,control,p,0.0,0,p,b,butalc,1,6,pseudo
teccilayl,heccilayl,rsss,tec,,ci_la_yl,teccilayl,control,r,,0,t,h,heccilayl,1,9,pseudo
inteakly,inteakly,prs,teak,in,ly,inteakly,target,r,,0,t,f,infeakly,0,8,pseudo
baginlayit,bagenlayit,prss,gen,ba,la_yit,bagenlayit,control,r,,1,e,i,baginlayit,3,10,pseudo
sidfrad,sidfred,pr,frad,sid,,sidfrad,control,r,,2,a,e,sidfred,1,7,pseudo
talc,halc,r,talc,,,talc,control,r,,0,t,h,halc,1,4,pseudo
revonoc,revonic,pr,noc,revo,,revonoc,control,r,,1,o,i,revonic,1,7,pseudo
ersidtrun,ersidtrun,ppr,trun,er_sid,,ersidtrun,control,p,0.0,0,e,i,irsidtrun,0,9,pseudo
drunness,drunness,rs,drun,,ness,drunness,target,r,,2,u,e,drenness,0,8,pseudo
bateclayl,batecloyl,prss,tec,ba,la_yl,bateclayl,control,s,0.0,1,a,o,batecloyl,1,9,pseudo
banuclayit,banuclayit,prss,nuc,ba,la_yit,banuclayit,control,s,1.0,2,t,p,banuclayip,0,10,pseudo
reetselh,reetselh,rs,reet,,sels,reetsels,control,s,0.0,3,s,h,reetselh,2,8,pseudo
trunouisyl,trulouisyl,rss,trun,,ouis_yl,trunouisyl,control,r,,3,n,l,trulouisyl,1,10,pseudo
redisteer,rehisteer,ppr,teer,re_dis,,redisteer,target,p,1.0,0,d,h,rehisteer,1,9,pseudo
revotek,revetek,pr,tek,revo,,revotek,control,p,0.0,3,o,e,revetek,1,7,pseudo
unfomical,unfomocal,prss,fom,un,ic_al,unfomical,target,s,0.0,0,i,o,unfomocal,1,9,pseudo
bos,bof,r,bof,,,bof,control,r,,2,f,s,bos,3,3,pseudo
nupooksens,nupooksens,prs,pook,nu,sens,nupooksens,control,s,0.0,3,s,d,nupooksend,0,10,pseudo
redeneg,medeneg,ppr,neg,re_de,,redeneg,target,p,0.0,0,r,m,medeneg,1,7,pseudo
erveromoos,erveromoos,ppr,moos,er_vero,,erveromoos,control,r,,3,s,h,erveromooh,0,10,pseudo
unteakical,unteakical,prss,teak,un,ic_al,unteakical,target,s,1.0,1,l,r,unteakicar,0,10,pseudo
selknemtla,selknemtla,rss,selk,,nemt_la,selknemtla,control,s,0.0,3,t,p,selknempla,0,10,pseudo
innurtate,innurtate,prs,nurt,in,ate,innurtate,target,p,0.0,0,i,o,onnurtate,0,9,pseudo
unkoopally,unkoopally,prss,koop,un,al_ly,unkoopally,target,s,1.0,0,l,w,unkoopalwy,0,10,pseudo
nusew,nusew,pr,siw,nu,,nusiw,control,r,,1,i,e,nusew,2,5,pseudo
predisfom,predisfom,ppr,fom,pre_dis,,predisfom,target,p,0.0,1,r,j,pjedisfom,0,9,pseudo
simteponi,simteconi,prs,tec,sim,oni,simteconi,control,r,,2,c,p,simteponi,3,9,pseudo
moesoni,moosoni,rs,moos,,oni,moosoni,control,r,,2,o,e,moesoni,3,7,pseudo
neingirt,neingirt,ppr,girt,re_in,,reingirt,target,p,0.0,0,r,n,neingirt,2,8,pseudo
sidcolg,pidcolg,pr,colg,sid,,sidcolg,control,p,0.0,0,s,p,pidcolg,1,7,pseudo
soomiously,soomiously,rss,soom,,ious_ly,soomiously,target,r,,1,o,a,saomiously,0,10,pseudo
teerically,teerically,rsss,teer,,ic_al_ly,teerically,target,s,0.0,1,c,d,teeridally,0,10,pseudo
nutecfila,nutecfila,prss,tec,nu,ci_la,nuteccila,control,s,0.0,0,c,f,nutecfila,2,9,pseudo
koepality,koopality,rss,koop,,al_ity,koopality,target,r,,2,o,e,koepality,3,9,pseudo
unketistic,unketistic,prss,ket,un,ist_ic,unketistic,target,p,0.0,0,u,e,enketistic,0,10,pseudo
nurtmental,nujtmental,rss,nurt,,ment_al,nurtmental,target,r,,2,r,j,nujtmental,1,10,pseudo
fradlasit,fradlasot,rss,frad,,la_sit,fradlasit,control,s,1.0,1,i,o,fradlasot,1,9,pseudo
trunlasit,trunlasit,rss,trun,,la_sit,trunlasit,control,r,,3,n,m,trumlasit,0,9,pseudo
revogon,revogen,pr,gen,revo,,revogen,control,r,,1,e,o,revogon,3,7,pseudo
keam,keam,r,keam,,,keam,target,r,,3,m,l,keal,0,4,pseudo
teakly,feakly,rs,teak,,ly,teakly,target,r,,0,t,f,feakly,1,6,pseudo
teerical,teerical,rss,teer,,ic_al,teerical,target,r,,0,t,c,ceerical,0,8,pseudo
inmelively,inmerively,prss,mer,in,ive_ly,inmerively,target,r,,2,r,l,inmelively,3,10,pseudo
premisfob,premisfob,ppr,fob,pre_mis,,premisfob,target,r,,1,o,e,premisfeb,0,9,pseudo
fraduwf,fradulf,rs,frad,,ulf,fradulf,control,s,0.0,1,l,w,fraduwf,3,7,pseudo
soomiol,soomion,rs,soom,,ion,soomion,target,s,0.0,2,n,l,soomiol,3,7,pseudo
abwisality,abwisality,prss,wis,ab,al_ity,abwisality,target,p,0.0,1,b,h,ahwisality,0,10,pseudo
repsimriek,mepsimriek,ppr,riek,rep_sim,,repsimriek,control,p,0.0,0,r,m,mepsimriek,1,10,pseudo
regirtate,legirtate,prs,girt,re,ate,regirtate,target,p,0.0,0,r,l,legirtate,1,9,pseudo
premisket,premikket,ppr,ket,pre_mis,,premisket,target,p,1.0,2,s,k,premikket,1,9,pseudo
wisiouswy,wisiously,rss,wis,,ious_ly,wisiously,target,s,1.0,0,l,w,wisiouswy,3,9,pseudo
ernuctaoni,ernactaoni,prss,nuc,er,ta_oni,ernuctaoni,control,r,,1,u,a,ernactaoni,1,10,pseudo
werhlasim,werklasim,rss,werk,,la_sim,werklasim,control,r,,3,k,h,werhlasim,3,9,pseudo
lien,rien,r,lien,,,lien,target,r,,0,l,r,rien,1,4,pseudo
selk,selk,r,selk,,,selk,control,r,,2,l,r,serk,0,4,pseudo
nupekcila,nutekcila,prss,tek,nu,ci_la,nutekcila,control,r,,0,t,p,nupekcila,3,9,pseudo
girtal,girtal,rs,girt,,al,girtal,target,r,,1,i,o,gortal,0,6,pseudo
overkeir,averkeir,pr,keir,over,,overkeir,target,p,0.0,0,o,a,averkeir,1,8,pseudo
abfamamity,abfamamity,prss,fam,ab,al_ity,abfamality,target,s,0.0,1,l,m,abfamamity,2,10,pseudo
remewation,remeration,prss,mer,re,at_ion,remeration,target,r,,2,r,w,remewation,3,10,pseudo
