first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
kelsic,kelsic,rs,kels,,ic,kelsic,target,r,,2,l,y,keysic,0,6,pseudo
werk,werk,r,werk,,,werk,control,r,,1,e,u,wurk,0,4,pseudo
selkcilayl,selbcilayl,rsss,selk,,ci_la_yl,selkcilayl,control,r,,3,k,b,selbcilayl,1,10,pseudo
distaunaty,distaunaty,prs,taun,dis,ity,distaunity,target,s,0.0,0,i,a,distaunaty,2,10,pseudo
talcnamtla,talcnemtla,rss,talc,,nemt_la,talcnemtla,control,s,0.0,1,e,a,talcnamtla,3,10,pseudo
redegras,redetras,ppr,gras,re_de,,redegras,target,r,,0,g,t,redetras,1,8,pseudo
unicet,uniceh,pr,cet,uni,,unicet,target,r,,2,t,h,uniceh,1,6,pseudo
nukeitlayl,nukeatlayl,prss,keat,nu,la_yl,nukeatlayl,control,r,,2,a,i,nukeitlayl,3,10,pseudo
unconious,inconious,prs,con,un,ious,unconious,target,p,0.0,0,u,i,inconious,1,9,pseudo
ruet,reet,r,reet,,,reet,control,r,,1,e,u,ruet,3,4,pseudo
teasmental,teasmental,rss,teak,,ment_al,teakmental,target,r,,3,k,s,teasmental,2,10,pseudo
enket,inket,pr,ket,in,,inket,target,p,0.0,0,i,e,enket,3,5,pseudo
unketional,unketional,prss,ket,un,ion_al,unketional,target,s,1.0,0,a,e,unketionel,0,10,pseudo
drunness,drunness,rs,drun,,ness,drunness,target,s,0.0,1,e,o,drunnoss,0,8,pseudo
teclesitci,teclasitci,rsss,tec,,la_sit_ci,teclasitci,control,s,0.0,1,a,e,teclesitci,3,10,pseudo
erveropook,erveropook,ppr,pook,er_vero,,erveropook,control,p,1.0,1,e,o,ervoropook,0,10,pseudo
trum,trun,r,trun,,,trun,control,r,,3,n,m,trum,3,4,pseudo
predisteak,predisteak,ppr,teak,pre_dis,,predisteak,target,p,0.0,1,r,y,pyedisteak,0,10,pseudo
selkci,selkti,rs,selk,,ci,selkci,control,s,0.0,0,c,t,selkti,1,6,pseudo
falfully,falfully,rss,fam,,ful_ly,famfully,target,r,,2,m,l,falfully,2,8,pseudo
mooscilayl,moohcilayl,rsss,moos,,ci_la_yl,mooscilayl,control,r,,3,s,h,moohcilayl,1,10,pseudo
nusiwla,nusiwla,prs,siw,nu,la,nusiwla,control,r,,0,s,h,nuhiwla,0,7,pseudo
sabteak,sabteak,pr,teak,sub,,subteak,target,p,0.0,1,u,a,sabteak,2,7,pseudo
nimooscila,numooscila,prss,moos,nu,ci_la,numooscila,control,p,0.0,1,u,i,nimooscila,3,10,pseudo
negious,negious,rs,neg,,ious,negious,target,r,,1,e,a,nagious,0,7,pseudo
rieklayit,riekmayit,rss,riek,,la_yit,rieklayit,control,s,0.0,0,l,m,riekmayit,1,9,pseudo
nucolgison,nucolgihon,prs,colg,nu,ison,nucolgison,control,s,0.0,1,s,h,nucolgihon,1,10,pseudo
ertectaomi,ertectaomi,prss,tec,er,ta_oni,ertectaoni,control,s,1.0,1,n,m,ertectaomi,2,10,pseudo
reak,reak,r,meak,,,meak,control,r,,0,m,r,reak,2,4,pseudo
sergcilayl,sergcilayl,rsss,sarg,,ci_la_yl,sargcilayl,control,r,,1,a,e,sergcilayl,2,10,pseudo
arotumaf,erotumaf,ppr,maf,er_otu,,erotumaf,control,p,0.0,0,e,a,arotumaf,3,8,pseudo
prowis,priwis,pr,wis,pro,,prowis,target,p,0.0,2,o,i,priwis,1,6,pseudo
subgeef,subgeaf,pr,geef,sub,,subgeef,target,r,,2,e,a,subgeaf,1,7,pseudo
nutecsitce,nutecsitci,prss,tec,nu,sit_ci,nutecsitci,control,s,1.0,1,i,e,nutecsitce,3,10,pseudo
mof,maf,r,mof,,,mof,control,r,,1,o,a,maf,1,3,pseudo
disemsoom,disemsoom,ppr,soom,dis_em,,disemsoom,target,r,,2,o,a,disemsoam,0,9,pseudo
toncsim,toncsim,rs,tonc,,sim,toncsim,control,s,0.0,0,s,x,toncxim,0,7,pseudo
cetalistig,cetalistic,rsss,cet,,al_ist_ic,cetalistic,target,s,2.0,1,c,g,cetalistig,3,10,pseudo
moosulfnl,moosulfyl,rss,moos,,ulf_yl,moosulfyl,control,s,1.0,0,y,n,moosulfnl,3,9,pseudo
edkeateta,edkeateta,prs,keat,ed,eta,edkeateta,control,p,0.0,0,e,i,idkeateta,0,9,pseudo
werkyo,werkro,rs,werk,,ro,werkro,control,s,0.0,0,r,y,werkyo,3,6,pseudo
klewality,krewality,rss,krew,,al_ity,krewality,target,r,,1,r,l,klewality,3,9,pseudo
repsimmod,repsimmof,ppr,mof,rep_sim,,repsimmof,control,r,,2,f,d,repsimmod,3,9,pseudo
naneilcila,naneilcila,prss,neil,nu,ci_la,nuneilcila,control,p,0.0,1,u,a,naneilcila,2,10,pseudo
negalistic,negalistec,rsss,neg,,al_ist_ic,negalistic,target,s,2.0,0,i,e,negalistec,1,10,pseudo
disfomful,diffomful,prs,fom,dis,ful,disfomful,target,p,0.0,2,s,f,diffomful,1,9,pseudo
mer,jer,r,mer,,,mer,target,r,,0,m,j,jer,1,3,pseudo
natek,natek,pr,tek,ni,,nitek,control,p,0.0,1,i,a,natek,2,5,pseudo
orpwerk,onpwerk,pr,werk,orp,,orpwerk,control,p,0.0,1,r,n,onpwerk,1,7,pseudo
niremeviyl,niremeviyl,prss,rem,ni,evi_yl,niremeviyl,control,p,0.0,1,i,e,neremeviyl,0,10,pseudo
reosertaun,reosertaun,ppr,taun,re_over,,reovertaun,target,p,1.0,1,v,s,reosertaun,2,10,pseudo
negfully,nagfully,rss,neg,,ful_ly,negfully,target,r,,1,e,a,nagfully,1,8,pseudo
gert,gert,r,girt,,,girt,target,r,,1,i,e,gert,2,4,pseudo
wisicelly,wisically,rsss,wis,,ic_al_ly,wisically,target,s,1.0,0,a,e,wisicelly,3,9,pseudo
genmo,genmo,rs,gen,,ro,genro,control,s,0.0,0,r,m,genmo,2,5,pseudo
sidtetla,sidtetla,prs,tec,sid,la,sidtecla,control,r,,2,c,t,sidtetla,2,8,pseudo
keamful,keamful,rs,keam,,ful,keamful,target,r,,0,k,h,heamful,0,7,pseudo
nurdcilayl,rurdcilayl,rsss,nurd,,ci_la_yl,nurdcilayl,control,r,,0,n,r,rurdcilayl,1,10,pseudo
discuner,ditcuner,prs,cun,dis,er,discuner,target,p,0.0,2,s,t,ditcuner,1,8,pseudo
