first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
precet,precit,pr,cet,pre,,precet,target,r,,1,e,i,precit,1,6,pseudo
nisiwyit,nisiwyit,prs,siw,ni,yit,nisiwyit,control,p,0.0,0,n,w,wisiwyit,0,8,pseudo
selk,selp,r,selk,,,selk,control,r,,3,k,p,selp,1,4,pseudo
inucolgyl,inucolgml,prs,colg,inu,yl,inucolgyl,control,s,0.0,0,y,m,inucolgml,1,9,pseudo
nunautcila,nunautcila,prss,naut,nu,ci_la,nunautcila,control,p,0.0,1,u,o,nonautcila,0,10,pseudo
wis,wis,r,wis,,,wis,target,r,,1,i,o,wos,0,3,pseudo
abketally,abketally,prss,ket,ab,al_ly,abketally,target,p,0.0,1,b,t,atketally,0,9,pseudo
geep,geep,r,geef,,,geef,target,r,,3,f,p,geep,2,4,pseudo
contance,centance,rs,cont,,ance,contance,target,r,,1,o,e,centance,1,8,pseudo
repsimtrun,repsimtrun,ppr,trun,rep_sim,,repsimtrun,control,r,,0,t,d,repsimdrun,0,10,pseudo
frap,frad,r,frad,,,frad,control,r,,3,d,p,frap,3,4,pseudo
riekcilayl,riekcilayl,rsss,riek,,ci_la_yl,riekcilayl,control,s,2.0,1,l,m,riekcilaym,0,10,pseudo
numofelba,numohelba,prs,mof,nu,elba,numofelba,control,r,,2,f,h,numohelba,1,9,pseudo
carfmental,darfmental,rss,darf,,ment_al,darfmental,target,r,,0,d,c,carfmental,3,10,pseudo
drunless,drunless,rs,drun,,less,drunless,target,r,,3,n,w,druwless,0,8,pseudo
cunically,cunically,rsss,cun,,ic_al_ly,cunically,target,s,0.0,1,c,t,cunitally,0,9,pseudo
ungirtious,ungirtious,prs,girt,un,ious,ungirtious,target,p,0.0,1,n,m,umgirtious,0,10,pseudo
krewically,krewically,rsss,krew,,ic_al_ly,krewically,target,r,,1,r,m,kmewically,0,10,pseudo
redemew,redemew,ppr,mer,re_de,,redemer,target,r,,2,r,w,redemew,2,7,pseudo
erotukeat,erotukeat,ppr,keat,er_otu,,erotukeat,control,p,1.0,1,t,k,erokukeat,0,9,pseudo
edtalceta,edtalceta,prs,talc,ed,eta,edtalceta,control,s,0.0,1,t,p,edtalcepa,0,9,pseudo
nautoni,nautoni,rs,naut,,oni,nautoni,control,s,0.0,0,o,e,nauteni,0,7,pseudo
musiwsens,musiwsens,prs,siw,mi,sens,misiwsens,control,p,0.0,1,i,u,musiwsens,2,9,pseudo
neilnemtla,neilnemsla,rss,neil,,nemt_la,neilnemtla,control,s,0.0,3,t,s,neilnemsla,1,10,pseudo
ketalissic,ketalissic,rsss,ket,,al_ist_ic,ketalistic,target,s,1.0,2,t,s,ketalissic,2,10,pseudo
reeflayit,reeflayit,rss,reet,,la_yit,reetlayit,control,r,,3,t,f,reeflayit,2,9,pseudo
tonccileyl,tonccileyl,rsss,tonc,,ci_la_yl,tonccilayl,control,s,1.0,1,a,e,tonccileyl,2,10,pseudo
fmadcilayl,fmadcilayl,rsss,frad,,ci_la_yl,fradcilayl,control,r,,1,r,m,fmadcilayl,2,10,pseudo
edkiat,edkeat,pr,keat,ed,,edkeat,control,r,,1,e,i,edkiat,3,6,pseudo
somkeat,simkeat,pr,keat,sim,,simkeat,control,p,0.0,1,i,o,somkeat,3,7,pseudo
rentiselk,rertiselk,pr,selk,renti,,rentiselk,control,p,0.0,2,n,r,rertiselk,1,9,pseudo
bameaklayl,bameaklayl,prss,meak,ba,la_yl,bameaklayl,control,s,0.0,0,l,r,bameakrayl,0,10,pseudo
mif,maf,r,maf,,,maf,control,r,,1,a,i,mif,3,3,pseudo
weoutgras,weoutgras,ppr,gras,re_out,,reoutgras,target,p,0.0,0,r,w,weoutgras,2,9,pseudo
trun,drun,r,trun,,,trun,control,r,,0,t,d,drun,1,4,pseudo
revopook,revopook,pr,pook,revo,,revopook,control,p,0.0,3,o,e,revepook,0,8,pseudo
nurdouisyw,nurdouisyw,rss,nurd,,ouis_yl,nurdouisyl,control,s,1.0,1,l,w,nurdouisyw,2,10,pseudo
gen,gen,r,gen,,,gen,control,r,,1,e,a,gan,0,3,pseudo
soomality,sooyality,rss,soom,,al_ity,soomality,target,r,,3,m,y,sooyality,1,9,pseudo
unidarf,unidart,pr,darf,uni,,unidarf,target,r,,3,f,t,unidart,1,7,pseudo
mofciwayl,mofciwayl,rsss,mof,,ci_la_yl,mofcilayl,control,s,1.0,0,l,w,mofciwayl,2,9,pseudo
fradlayl,fradlayl,rss,frad,,la_yl,fradlayl,control,r,,0,f,c,cradlayl,0,8,pseudo
mootsels,mootsels,rs,moos,,sels,moossels,control,r,,3,s,t,mootsels,2,8,pseudo
disemcras,disemgras,ppr,gras,dis_em,,disemgras,target,r,,0,g,c,disemcras,3,9,pseudo
reconively,reconively,prss,con,re,ive_ly,reconively,target,p,0.0,1,e,o,roconively,0,10,pseudo
interdamf,interdarf,pr,darf,inter,,interdarf,target,r,,2,r,m,interdamf,3,9,pseudo
soomant,sooyant,rs,soom,,ant,soomant,target,r,,3,m,y,sooyant,1,7,pseudo
