first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
unnegness,unnegness,prs,neg,un,ness,unnegness,target,r,,0,n,m,unmegness,0,9,pseudo
werkcilayl,welkcilayl,rsss,werk,,ci_la_yl,werkcilayl,control,r,,2,r,l,welkcilayl,1,10,pseudo
undrunalry,undrunally,prss,drun,un,al_ly,undrunally,target,s,1.0,0,l,r,undrunalry,3,10,pseudo
cunalist,cunalist,rss,cun,,al_ist,cunalist,target,r,,1,u,o,conalist,0,8,pseudo
unsoomally,unsoomally,prss,soom,un,al_ly,unsoomally,target,p,0.0,0,u,i,insoomally,0,10,pseudo
infority,infomity,prs,fom,in,ity,infomity,target,r,,2,m,r,infority,3,8,pseudo
nisargyit,nisargyat,prs,sarg,ni,yit,nisargyit,control,s,0.0,1,i,a,nisargyat,1,9,pseudo
teccilayl,ceccilayl,rsss,tec,,ci_la_yl,teccilayl,control,r,,0,t,c,ceccilayl,1,9,pseudo
fal,fal,r,fam,,,fam,target,r,,2,m,l,fal,2,3,pseudo
contitally,contitally,rsss,cont,,ic_al_ly,contically,target,s,0.0,1,c,t,contitally,2,10,pseudo
riekcilayl,riekcilayl,rsss,riek,,ci_la_yl,riekcilayl,control,s,0.0,1,i,o,riekcolayl,0,10,pseudo
glas,glas,r,gras,,,gras,target,r,,1,r,l,glas,2,4,pseudo
fradsat,fradsat,rs,frad,,sit,fradsit,control,s,0.0,1,i,a,fradsat,2,7,pseudo
regeefal,regeefal,prs,geef,re,al,regeefal,target,s,0.0,1,l,m,regeefam,0,8,pseudo
nurtical,nurtical,rss,nurt,,ic_al,nurtical,target,s,0.0,0,i,a,nurtacal,0,8,pseudo
mofselb,mofsels,rs,mof,,sels,mofsels,control,s,0.0,3,s,b,mofselb,3,7,pseudo
keamleness,keamliness,rss,keam,,li_ness,keamliness,target,s,0.0,1,i,e,keamleness,3,10,pseudo
reg,reg,r,neg,,,neg,target,r,,0,n,r,reg,2,3,pseudo
reforate,reforate,prs,fom,re,ate,refomate,target,r,,2,m,r,reforate,2,8,pseudo
geep,geef,r,geef,,,geef,target,r,,3,f,p,geep,3,4,pseudo
repsidtrun,repsidtrun,ppr,trun,rep_sid,,repsidtrun,control,p,0.0,0,r,l,lepsidtrun,0,10,pseudo
neilonila,meilonila,rss,neil,,oni_la,neilonila,control,r,,0,n,m,meilonila,1,9,pseudo
clatically,claticalln,rsss,clat,,ic_al_ly,clatically,target,s,2.0,1,y,n,claticalln,1,10,pseudo
premisfor,premisfor,ppr,fom,pre_mis,,premisfom,target,r,,2,m,r,premisfor,2,9,pseudo
outdeir,outdeir,pr,keir,out,,outkeir,target,r,,0,k,d,outdeir,2,7,pseudo
infomivate,infomivato,prss,fom,in,iv_ate,infomivate,target,s,1.0,2,e,o,infomivato,1,10,pseudo
sedmenurd,sidmenurd,ppr,nurd,sid_me,,sidmenurd,control,p,0.0,1,i,e,sedmenurd,3,9,pseudo
unmerness,onmerness,prs,mer,un,ness,unmerness,target,p,0.0,0,u,o,onmerness,1,9,pseudo
talcelba,talcelbo,rs,talc,,elba,talcelba,control,s,0.0,3,a,o,talcelbo,1,8,pseudo
ninurdlayl,nunurdlayl,prss,nurd,nu,la_yl,nunurdlayl,control,p,0.0,1,u,i,ninurdlayl,3,10,pseudo
baselklayl,basolklayl,prss,selk,ba,la_yl,baselklayl,control,r,,1,e,o,basolklayl,1,10,pseudo
numoosulf,numoosulf,prs,moos,nu,ulf,numoosulf,control,s,0.0,2,f,s,numoosuls,0,9,pseudo
famalistic,famalistic,rsss,fam,,al_ist_ic,famalistic,target,r,,0,f,s,samalistic,0,10,pseudo
outdrun,ousdrun,pr,drun,out,,outdrun,target,p,0.0,2,t,s,ousdrun,1,7,pseudo
reuutnurt,reoutnurt,ppr,nurt,re_out,,reoutnurt,target,p,1.0,0,o,u,reuutnurt,3,9,pseudo
unketal,unkefal,prs,ket,un,al,unketal,target,r,,2,t,f,unkefal,1,7,pseudo
orpbof,orpgof,pr,bof,orp,,orpbof,control,r,,0,b,g,orpgof,1,6,pseudo
girtance,girtence,rs,girt,,ance,girtance,target,s,0.0,0,a,e,girtence,1,8,pseudo
selk,selk,r,selk,,,selk,control,r,,2,l,r,serk,0,4,pseudo
repsimroc,repsimroc,ppr,noc,rep_sim,,repsimnoc,control,r,,0,n,r,repsimroc,2,9,pseudo
merage,merate,rs,mer,,ate,merate,target,s,0.0,1,t,g,merage,3,6,pseudo
nurdla,nurdma,rs,nurd,,la,nurdla,control,s,0.0,0,l,m,nurdma,1,6,pseudo
reet,reet,r,reet,,,reet,control,r,,0,r,l,leet,0,4,pseudo
infamical,infamical,prss,fam,un,ic_al,unfamical,target,p,0.0,0,u,i,infamical,2,9,pseudo
koumically,koulically,rsss,koul,,ic_al_ly,koulically,target,r,,3,l,m,koumically,3,10,pseudo
promeg,promeg,pr,neg,pro,,proneg,target,r,,0,n,m,promeg,2,6,pseudo
erremtaoni,erremteoni,prss,rem,er,ta_oni,erremtaoni,control,s,0.0,1,a,e,erremteoni,1,10,pseudo
salg,salg,r,sarg,,,sarg,control,r,,2,r,l,salg,2,4,pseudo
erpsenk,erpsenk,pr,selk,erp,,erpselk,control,r,,2,l,n,erpsenk,2,7,pseudo
babooklayl,babooklayl,prss,pook,ba,la_yl,bapooklayl,control,r,,0,p,b,babooklayl,2,10,pseudo
boflasit,boflasit,rss,bof,,la_sit,boflasit,control,s,1.0,1,i,a,boflasat,0,8,pseudo
tonclacit,tonclasit,rss,tonc,,la_sit,tonclasit,control,s,1.0,0,s,c,tonclacit,3,9,pseudo
rehegloc,rehegloc,ppr,gloc,re_de,,redegloc,target,p,1.0,0,d,h,rehegloc,2,8,pseudo
sargleyl,sarglayl,rss,sarg,,la_yl,sarglayl,control,s,0.0,1,a,e,sargleyl,3,8,pseudo
famically,famicalll,rsss,fam,,ic_al_ly,famically,target,s,2.0,1,y,l,famicalll,1,9,pseudo
contidal,contidal,rss,cont,,ic_al,contical,target,s,0.0,1,c,d,contidal,2,8,pseudo
nautcilayl,mautcilayl,rsss,naut,,ci_la_yl,nautcilayl,control,r,,0,n,m,mautcilayl,1,10,pseudo
mimafyti,mimafyti,prs,maf,mi,yti,mimafyti,control,s,0.0,1,t,d,mimafydi,0,8,pseudo
trigcilayl,trigcilarl,rsss,trig,,ci_la_yl,trigcilayl,control,s,2.0,0,y,r,trigcilarl,1,10,pseudo
niremyit,niremyit,prs,rem,ni,yit,niremyit,control,r,,0,r,l,nilemyit,0,8,pseudo
keiralism,keiralism,rss,keir,,al_ism,keiralism,target,r,,0,k,c,ceiralism,0,9,pseudo
nutrunlayl,nutrunlayl,prss,trun,nu,la_yl,nutrunlayl,control,r,,3,n,r,nutrurlayl,0,10,pseudo
selkbila,selkbila,rss,selk,,ci_la,selkcila,control,s,0.0,0,c,b,selkbila,2,8,pseudo
koopalist,koopalish,rss,koop,,al_ist,koopalist,target,s,1.0,2,t,h,koopalish,1,9,pseudo
ersiwla,ersiwla,prs,siw,er,la,ersiwla,control,s,0.0,0,l,m,ersiwma,0,7,pseudo
selkcilayl,seltcilayl,rsss,selk,,ci_la_yl,selkcilayl,control,r,,3,k,t,seltcilayl,1,10,pseudo
unikeam,unikeam,pr,keam,uni,,unikeam,target,p,0.0,2,i,o,unokeam,0,7,pseudo
disvels,disvels,pr,kels,dis,,diskels,target,r,,0,k,v,disvels,2,7,pseudo
trag,trag,r,trig,,,trig,control,r,,2,i,a,trag,2,4,pseudo
dloc,dloc,r,gloc,,,gloc,target,r,,0,g,d,dloc,2,4,pseudo
busmeak,busmeak,pr,meak,bus,,busmeak,control,r,,0,m,r,busreak,0,7,pseudo
erepnuc,erednuc,ppr,nuc,er_ed,,erednuc,control,p,1.0,1,d,p,erepnuc,3,7,pseudo
odneil,odneil,pr,neil,ed,,edneil,control,p,0.0,0,e,o,odneil,2,6,pseudo
ortreetoni,ortreetoni,prs,reet,orp,oni,orpreetoni,control,p,0.0,2,p,t,ortreetoni,2,10,pseudo
heerically,teerically,rsss,teer,,ic_al_ly,teerically,target,r,,0,t,h,heerically,3,10,pseudo
redeteas,redeteak,ppr,teak,re_de,,redeteak,target,r,,3,k,s,redeteas,3,8,pseudo
condor,contor,rs,cont,,or,contor,target,r,,3,t,d,condor,3,6,pseudo
misgirt,misgirt,pr,girt,mis,,misgirt,target,r,,0,g,h,mishirt,0,7,pseudo
lurt,nurt,r,nurt,,,nurt,target,r,,0,n,l,lurt,3,4,pseudo
nuraetcila,nuraetcila,prss,reet,nu,ci_la,nureetcila,control,r,,1,e,a,nuraetcila,2,10,pseudo
krewment,krewment,rs,krew,,ment,krewment,target,s,0.0,2,n,r,krewmert,0,8,pseudo
tomccilayl,tonccilayl,rsss,tonc,,ci_la_yl,tonccilayl,control,r,,2,n,m,tomccilayl,3,10,pseudo
tremiscont,premiscont,ppr,cont,pre_mis,,premiscont,target,p,0.0,0,p,t,tremiscont,3,10,pseudo
unfotally,unfobally,prss,fob,un,al_ly,unfobally,target,r,,2,b,t,unfotally,3,9,pseudo
infomness,infomniss,prs,fom,in,ness,infomness,target,s,0.0,1,e,i,infomniss,1,9,pseudo
