first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
ertonp,ertonc,pr,tonc,er,,ertonc,control,r,,3,c,p,ertonp,3,6,pseudo
nienional,lienional,rss,lien,,ion_al,lienional,target,r,,0,l,n,nienional,3,9,pseudo
nuneilcila,nuneulcila,prss,neil,nu,ci_la,nuneilcila,control,r,,2,i,u,nuneulcila,1,10,pseudo
pootro,pookro,rs,pook,,ro,pookro,control,r,,3,k,t,pootro,3,6,pseudo
cutically,cetically,rsss,cet,,ic_al_ly,cetically,target,r,,1,e,u,cutically,3,9,pseudo
somwerkoni,simwerkoni,prs,werk,sim,oni,simwerkoni,control,p,0.0,1,i,o,somwerkoni,3,10,pseudo
keam,keam,r,keam,,,keam,target,r,,2,a,e,keem,0,4,pseudo
premisteam,premiskeam,ppr,keam,pre_mis,,premiskeam,target,r,,0,k,t,premisteam,3,10,pseudo
ucclat,upclat,pr,clat,up,,upclat,target,p,0.0,1,p,c,ucclat,3,6,pseudo
petism,petism,rs,cet,,ism,cetism,target,r,,0,c,p,petism,2,6,pseudo
noccilayl,noccilayl,rsss,noc,,ci_la_yl,noccilayl,control,s,0.0,0,c,v,nocvilayl,0,9,pseudo
kuat,kuat,r,keat,,,keat,control,r,,1,e,u,kuat,2,4,pseudo
remiskeum,remiskeam,ppr,keam,re_mis,,remiskeam,target,r,,2,a,u,remiskeum,3,9,pseudo
sidtekulf,sidtekulf,prs,tek,sid,ulf,sidtekulf,control,s,0.0,2,f,t,sidtekult,0,9,pseudo
abgirtally,abgirtally,prss,girt,ab,al_ly,abgirtally,target,p,0.0,1,b,t,atgirtally,0,10,pseudo
genulfyl,senulfyl,rss,gen,,ulf_yl,genulfyl,control,r,,0,g,s,senulfyl,1,8,pseudo
tontically,tontically,rsss,cont,,ic_al_ly,contically,target,r,,0,c,t,tontically,2,10,pseudo
ennig,enneg,pr,neg,en,,enneg,target,r,,1,e,i,ennig,3,5,pseudo
tonconila,tonconila,rss,tonc,,oni_la,tonconila,control,s,1.0,1,a,o,tonconilo,0,9,pseudo
trunelpa,trunelpa,rs,trun,,elba,trunelba,control,s,0.0,2,b,p,trunelpa,2,8,pseudo
miscunour,miscunour,prs,cun,mis,our,miscunour,target,r,,0,c,p,mispunour,0,9,pseudo
remisgloc,remisgloc,ppr,gloc,re_mis,,remisgloc,target,r,,2,o,a,remisglac,0,9,pseudo
untaunicol,untaunical,prss,taun,un,ic_al,untaunical,target,s,1.0,0,a,o,untaunicol,3,10,pseudo
tron,tron,r,trun,,,trun,control,r,,2,u,o,tron,2,4,pseudo
ertaketa,ertaketa,prs,tek,er,eta,erteketa,control,r,,1,e,a,ertaketa,2,8,pseudo
wisicallm,wisicallm,rsss,wis,,ic_al_ly,wisically,target,s,2.0,1,y,m,wisicallm,2,9,pseudo
reoutlian,reoutlian,ppr,lien,re_out,,reoutlien,target,r,,2,e,a,reoutlian,2,9,pseudo
disfom,disfor,pr,fom,dis,,disfom,target,r,,2,m,r,disfor,1,6,pseudo
liinalism,lienalism,rss,lien,,al_ism,lienalism,target,r,,2,e,i,liinalism,3,9,pseudo
keireon,keirion,rs,keir,,ion,keirion,target,s,0.0,0,i,e,keireon,3,7,pseudo
kair,keir,r,keir,,,keir,target,r,,1,e,a,kair,3,4,pseudo
otubekneyl,otutekneyl,prss,tek,otu,ne_yl,otutekneyl,control,r,,0,t,b,otubekneyl,3,10,pseudo
interkeam,interteam,pr,keam,inter,,interkeam,target,r,,0,k,t,interteam,1,9,pseudo
peclayit,peclayit,rss,tec,,la_yit,teclayit,control,r,,0,t,p,peclayit,2,8,pseudo
gort,girt,r,girt,,,girt,target,r,,1,i,o,gort,3,4,pseudo
sowcilayl,sowcilayl,rsss,siw,,ci_la_yl,siwcilayl,control,r,,1,i,o,sowcilayl,2,9,pseudo
basiwlaym,basiwlayl,prss,siw,ba,la_yl,basiwlayl,control,s,1.0,1,l,m,basiwlaym,3,9,pseudo
rediskoam,rediskoam,ppr,keam,re_dis,,rediskeam,target,r,,1,e,o,rediskoam,2,9,pseudo
samtalcoru,simtalcoru,prs,talc,sim,oru,simtalcoru,control,p,0.0,1,i,a,samtalcoru,3,10,pseudo
tonculc,tonculc,rs,tonc,,ulf,tonculf,control,s,0.0,2,f,c,tonculc,2,7,pseudo
erotutalp,erotutalp,ppr,talc,er_otu,,erotutalc,control,r,,3,c,p,erotutalp,2,9,pseudo
meak,meak,r,meak,,,meak,control,r,,3,k,c,meac,0,4,pseudo
