first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
hoop,koop,r,koop,,,koop,target,r,,0,k,h,hoop,3,4,pseudo
sidriekulf,sidriekulf,prs,riek,sid,ulf,sidriekulf,control,s,0.0,1,l,r,sidriekurf,0,10,pseudo
wisical,wicical,rss,wis,,ic_al,wisical,target,r,,2,s,c,wicical,1,7,pseudo
nireet,noreet,pr,reet,ni,,nireet,control,p,0.0,1,i,o,noreet,1,6,pseudo
reketively,reketively,prss,ket,re,ive_ly,reketively,target,p,0.0,0,r,n,neketively,0,10,pseudo
abteerally,ebteerally,prss,teer,ab,al_ly,abteerally,target,p,0.0,0,a,e,ebteerally,1,10,pseudo
ersidtonc,ersidtonc,ppr,tonc,er_sid,,ersidtonc,control,p,1.0,1,i,e,ersedtonc,0,9,pseudo
kelsliness,kelslinass,rss,kels,,li_ness,kelsliness,target,s,1.0,1,e,a,kelslinass,1,10,pseudo
nautsitci,mautsitci,rss,naut,,sit_ci,nautsitci,control,r,,0,n,m,mautsitci,1,9,pseudo
wisfum,wisfum,rs,wis,,ful,wisful,target,s,0.0,2,l,m,wisfum,2,6,pseudo
moosilsens,meosilsens,rss,moos,,il_sens,moosilsens,control,r,,1,o,e,meosilsens,1,10,pseudo
tekcilayl,takcilayl,rsss,tek,,ci_la_yl,tekcilayl,control,r,,1,e,a,takcilayl,1,9,pseudo
reinkoul,reinkoul,ppr,koul,re_in,,reinkoul,target,r,,1,o,e,reinkeul,0,8,pseudo
darfional,darfionam,rss,darf,,ion_al,darfional,target,s,1.0,1,l,m,darfionam,1,9,pseudo
mienor,mienor,rs,lien,,or,lienor,target,r,,0,l,m,mienor,2,6,pseudo
ernigen,ernigen,ppr,gen,er_ni,,ernigen,control,r,,1,e,i,ernigin,0,7,pseudo
erverosaw,erverosiw,ppr,siw,er_vero,,erverosiw,control,r,,1,i,a,erverosaw,3,9,pseudo
reovercon,reovercon,ppr,con,re_over,,reovercon,target,r,,0,c,s,reoverson,0,9,pseudo
pufeeg,pufeeg,pr,feeg,pu,,pufeeg,control,r,,3,g,d,pufeed,0,6,pseudo
conticelly,conticelly,rsss,cont,,ic_al_ly,contically,target,s,1.0,0,a,e,conticelly,2,10,pseudo
cetocally,cetically,rsss,cet,,ic_al_ly,cetically,target,s,0.0,0,i,o,cetocally,3,9,pseudo
dafom,dafom,pr,fom,de,,defom,target,p,0.0,1,e,a,dafom,2,5,pseudo
keamicallm,keamically,rsss,keam,,ic_al_ly,keamically,target,s,2.0,1,y,m,keamicallm,3,10,pseudo
reenfob,reinfob,ppr,fob,re_in,,reinfob,target,p,1.0,0,i,e,reenfob,3,7,pseudo
premisgmas,premisgmas,ppr,gras,pre_mis,,premisgras,target,r,,1,r,m,premisgmas,2,10,pseudo
sonalism,conalism,rss,con,,al_ism,conalism,target,r,,0,c,s,sonalism,3,8,pseudo
ungertal,ungirtal,prs,girt,un,al,ungirtal,target,r,,1,i,e,ungertal,3,8,pseudo
unkeamiuus,unkeamious,prs,keam,un,ious,unkeamious,target,s,0.0,1,o,u,unkeamiuus,3,10,pseudo
emotutrig,emotutrig,ppr,trig,er_otu,,erotutrig,control,p,0.0,1,r,m,emotutrig,2,9,pseudo
abglocally,abglocally,prss,gloc,ab,al_ly,abglocally,target,p,0.0,1,b,k,akglocally,0,10,pseudo
tonc,tont,r,tonc,,,tonc,control,r,,3,c,t,tont,1,4,pseudo
nurieksens,nuriessens,prs,riek,nu,sens,nurieksens,control,r,,3,k,s,nuriessens,1,10,pseudo
ketisgic,ketistic,rss,ket,,ist_ic,ketistic,target,s,0.0,2,t,g,ketisgic,3,8,pseudo
tetlasit,tetlasit,rss,tec,,la_sit,teclasit,control,r,,2,c,t,tetlasit,2,8,pseudo
riekpan,riekpan,rs,riek,,tan,riektan,control,s,0.0,0,t,p,riekpan,2,7,pseudo
koopion,koopion,rs,koop,,ion,koopion,target,r,,0,k,t,toopion,0,7,pseudo
neutcilayl,nautcilayl,rsss,naut,,ci_la_yl,nautcilayl,control,r,,1,a,e,neutcilayl,3,10,pseudo
pookym,pookym,rs,pook,,yl,pookyl,control,s,0.0,1,l,m,pookym,2,6,pseudo
abkeamelly,abkeamally,prss,keam,ab,al_ly,abkeamally,target,s,0.0,0,a,e,abkeamelly,3,10,pseudo
moas,moos,r,moos,,,moos,control,r,,2,o,a,moas,3,4,pseudo
kearfully,keamfully,rss,keam,,ful_ly,keamfully,target,r,,3,m,r,kearfully,3,9,pseudo
meakcilarl,meakcilayl,rsss,meak,,ci_la_yl,meakcilayl,control,s,2.0,0,y,r,meakcilarl,3,10,pseudo
sidkeat,sidkeat,pr,keat,sid,,sidkeat,control,r,,1,e,a,sidkaat,0,7,pseudo
unlienness,unlienness,prs,lien,un,ness,unlienness,target,r,,1,i,o,unloenness,0,10,pseudo
otumof,odumof,pr,mof,otu,,otumof,control,p,0.0,1,t,d,odumof,1,6,pseudo
moosonila,meosonila,rss,moos,,oni_la,moosonila,control,r,,1,o,e,meosonila,1,9,pseudo
ersimprun,ersimtrun,ppr,trun,er_sim,,ersimtrun,control,r,,0,t,p,ersimprun,3,9,pseudo
boflasitci,foflasitci,rsss,bof,,la_sit_ci,boflasitci,control,r,,0,b,f,foflasitci,1,10,pseudo
premiscon,premiscun,ppr,con,pre_mis,,premiscon,target,r,,1,o,u,premiscun,1,9,pseudo
megeef,regeef,pr,geef,re,,regeef,target,p,0.0,0,r,m,megeef,3,6,pseudo
clatious,cratious,rs,clat,,ious,clatious,target,r,,1,l,r,cratious,1,8,pseudo
ninocvieta,ninocvieta,prss,noc,ni,vi_eta,ninocvieta,control,p,0.0,0,n,r,rinocvieta,0,10,pseudo
erneil,ernail,pr,neil,er,,erneil,control,r,,1,e,a,ernail,1,6,pseudo
drunistic,prunistic,rss,drun,,ist_ic,drunistic,target,r,,0,d,p,prunistic,1,9,pseudo
nunautcila,munautcila,prss,naut,nu,ci_la,nunautcila,control,p,0.0,0,n,m,munautcila,1,10,pseudo
ked,ket,r,ket,,,ket,target,r,,2,t,d,ked,3,3,pseudo
nautiuis,nautiuis,rs,naut,,ouis,nautouis,control,s,0.0,0,o,i,nautiuis,2,8,pseudo
cehable,cehable,rs,cet,,able,cetable,target,r,,2,t,h,cehable,2,7,pseudo
soommental,soommental,rss,soom,,ment_al,soommental,target,s,1.0,0,a,e,soommentel,0,10,pseudo
frat,frad,r,frad,,,frad,control,r,,3,d,t,frat,3,4,pseudo
simrem,simmem,pr,rem,sim,,simrem,control,r,,0,r,m,simmem,1,6,pseudo
grasance,grasance,rs,gras,,ance,grasance,target,s,0.0,3,e,i,grasanci,0,8,pseudo
remisnurt,remisnart,ppr,nurt,re_mis,,remisnurt,target,r,,1,u,a,remisnart,1,9,pseudo
mimeakyti,mimeakyti,prs,meak,mi,yti,mimeakyti,control,p,0.0,0,m,r,rimeakyti,0,9,pseudo
overhels,overhels,pr,kels,over,,overkels,target,r,,0,k,h,overhels,2,8,pseudo
teer,teer,r,teer,,,teer,target,r,,0,t,h,heer,0,4,pseudo
oypmoos,oypmoos,pr,moos,orp,,orpmoos,control,p,0.0,1,r,y,oypmoos,2,7,pseudo
nurtalism,nurtalism,rss,nurt,,al_ism,nurtalism,target,s,1.0,2,m,l,nurtalisl,0,9,pseudo
koopically,koopically,rsss,koop,,ic_al_ly,koopically,target,r,,3,p,c,koocically,0,10,pseudo
keatsens,keatsenc,rs,keat,,sens,keatsens,control,s,0.0,3,s,c,keatsenc,1,8,pseudo
abcetalisy,abcetalisy,prss,cet,ab,al_ity,abcetality,target,s,1.0,1,t,s,abcetalisy,2,10,pseudo
revopook,mevopook,pr,pook,revo,,revopook,control,p,0.0,0,r,m,mevopook,1,8,pseudo
nupookyl,nupookyl,prs,pook,nu,yl,nupookyl,control,s,0.0,0,y,n,nupooknl,0,8,pseudo
inunait,inunait,pr,naut,inu,,inunaut,control,r,,2,u,i,inunait,2,7,pseudo
bamaflayl,bamaflaym,prss,maf,ba,la_yl,bamaflayl,control,s,1.0,1,l,m,bamaflaym,1,9,pseudo
nimaftaoni,nimaftaoni,prss,maf,ni,ta_oni,nimaftaoni,control,p,0.0,1,i,o,nomaftaoni,0,10,pseudo
unkoopness,unkoopness,prs,koop,un,ness,unkoopness,target,p,0.0,0,u,i,inkoopness,0,10,pseudo
niwerk,niwerk,pr,werk,ni,,niwerk,control,p,0.0,1,i,e,newerk,0,6,pseudo
erninoc,erninod,ppr,noc,er_ni,,erninoc,control,r,,2,c,d,erninod,1,7,pseudo
avdarfally,avdarfally,prss,darf,ab,al_ly,abdarfally,target,p,0.0,1,b,v,avdarfally,2,10,pseudo
kaam,kaam,r,keam,,,keam,target,r,,1,e,a,kaam,2,4,pseudo
boom,soom,r,soom,,,soom,target,r,,0,s,b,boom,3,4,pseudo
repsiwtalc,repsiwtalc,ppr,talc,rep_sim,,repsimtalc,control,p,1.0,2,m,w,repsiwtalc,2,10,pseudo
conocally,conocally,rsss,con,,ic_al_ly,conically,target,s,0.0,0,i,o,conocally,2,9,pseudo
soomically,soomically,rsss,soom,,ic_al_ly,soomically,target,r,,3,m,y,sooyically,0,10,pseudo
nucsitci,nucsitci,rss,nuc,,sit_ci,nucsitci,control,r,,1,u,a,nacsitci,0,8,pseudo
redefum,redefam,ppr,fam,re_de,,redefam,target,r,,1,a,u,redefum,3,7,pseudo
fomless,fomlevs,rs,fom,,less,fomless,target,s,0.0,2,s,v,fomlevs,1,7,pseudo
nupootsens,nupootsens,prs,pook,nu,sens,nupooksens,control,r,,3,k,t,nupootsens,2,10,pseudo
banurdyayl,banurdlayl,prss,nurd,ba,la_yl,banurdlayl,control,s,0.0,0,l,y,banurdyayl,3,10,pseudo
reinsoom,reinsoom,ppr,soom,re_in,,reinsoom,target,p,0.0,0,r,m,meinsoom,0,8,pseudo
cun,con,r,cun,,,cun,target,r,,1,u,o,con,1,3,pseudo
feegsels,feegselh,rs,feeg,,sels,feegsels,control,s,0.0,3,s,h,feegselh,1,8,pseudo
upgras,upgras,pr,gras,up,,upgras,target,r,,0,g,s,upsras,0,6,pseudo
repsimfrad,repsilfrad,ppr,frad,rep_sim,,repsimfrad,control,p,1.0,2,m,l,repsilfrad,1,10,pseudo
moskrew,moskrew,pr,krew,mis,,miskrew,target,p,0.0,1,i,o,moskrew,2,7,pseudo
reouhkeam,reouhkeam,ppr,keam,re_out,,reoutkeam,target,p,1.0,2,t,h,reouhkeam,2,9,pseudo
unisoom,unisoow,pr,soom,uni,,unisoom,target,r,,3,m,w,unisoow,1,7,pseudo
tiakically,teakically,rsss,teak,,ic_al_ly,teakically,target,r,,1,e,i,tiakically,3,10,pseudo
naut,raut,r,naut,,,naut,control,r,,0,n,r,raut,1,4,pseudo
remisgloc,wemisgloc,ppr,gloc,re_mis,,remisgloc,target,p,0.0,0,r,w,wemisgloc,1,9,pseudo
teccilayl,teccalayl,rsss,tec,,ci_la_yl,teccilayl,control,s,0.0,1,i,a,teccalayl,1,9,pseudo
