first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
unfibally,unfobally,prss,fob,un,al_ly,unfobally,target,r,,1,o,i,unfibally,3,9,pseudo
edyaf,edyaf,pr,maf,ed,,edmaf,control,r,,0,m,y,edyaf,2,5,pseudo
gels,kels,r,kels,,,kels,target,r,,0,k,g,gels,3,4,pseudo
wisally,yisally,rss,wis,,al_ly,wisally,target,r,,0,w,y,yisally,1,7,pseudo
nutefison,nutefison,prs,tek,nu,ison,nutekison,control,r,,2,k,f,nutefison,2,9,pseudo
inkeamity,inkeamitm,prs,keam,in,ity,inkeamity,target,s,0.0,2,y,m,inkeamitm,1,9,pseudo
tek,tuk,r,tek,,,tek,control,r,,1,e,u,tuk,1,3,pseudo
feeg,feog,r,feeg,,,feeg,control,r,,2,e,o,feog,1,4,pseudo
progras,progras,pr,gras,pro,,progras,target,p,0.0,1,r,y,pyogras,0,7,pseudo
sidmemaos,sidmemaos,ppr,moos,sid_me,,sidmemoos,control,r,,1,o,a,sidmemaos,2,9,pseudo
meakenta,meakenta,rs,meak,,enca,meakenca,control,s,0.0,2,c,t,meakenta,2,8,pseudo
dekeirize,dekeirize,prs,keir,de,ize,dekeirize,target,p,0.0,1,e,i,dikeirize,0,9,pseudo
regeedate,regeedate,prs,geef,re,ate,regeefate,target,r,,3,f,d,regeedate,2,9,pseudo
fim,fim,r,fam,,,fam,target,r,,1,a,i,fim,2,3,pseudo
sidtofoni,sidbofoni,prs,bof,sid,oni,sidbofoni,control,r,,0,b,t,sidtofoni,3,9,pseudo
cefically,cetically,rsss,cet,,ic_al_ly,cetically,target,r,,2,t,f,cefically,3,9,pseudo
niremtaoni,niremtaone,prss,rem,ni,ta_oni,niremtaoni,control,s,1.0,2,i,e,niremtaone,1,10,pseudo
revosiw,revosiw,pr,siw,revo,,revosiw,control,p,0.0,0,r,w,wevosiw,0,7,pseudo
culalism,cunalism,rss,cun,,al_ism,cunalism,target,r,,2,n,l,culalism,3,8,pseudo
mor,mor,r,mer,,,mer,target,r,,1,e,o,mor,2,3,pseudo
baselklayl,baserklayl,prss,selk,ba,la_yl,baselklayl,control,r,,2,l,r,baserklayl,1,10,pseudo
orpreet,erpreet,pr,reet,orp,,orpreet,control,p,0.0,0,o,e,erpreet,1,7,pseudo
reeverdrun,reoverdrun,ppr,drun,re_over,,reoverdrun,target,p,1.0,0,o,e,reeverdrun,3,10,pseudo
ersimmop,ersimmop,ppr,mof,er_sim,,ersimmof,control,r,,2,f,p,ersimmop,2,8,pseudo
teeyic,teeyic,rs,teer,,ic,teeric,target,r,,3,r,y,teeyic,2,6,pseudo
nuneilelba,nuniilelba,prs,neil,nu,elba,nuneilelba,control,r,,1,e,i,nuniilelba,1,10,pseudo
ersidnoc,ersidnop,ppr,noc,er_sid,,ersidnoc,control,r,,2,c,p,ersidnop,1,8,pseudo
meristic,memistic,rss,mer,,ist_ic,meristic,target,r,,2,r,m,memistic,1,8,pseudo
remermant,remermant,prs,mer,re,ment,remerment,target,s,0.0,1,e,a,remermant,2,9,pseudo
nurtihally,nurtihally,rsss,nurt,,ic_al_ly,nurtically,target,s,0.0,1,c,h,nurtihally,2,10,pseudo
nutruncila,nutruncila,prss,trun,nu,ci_la,nutruncila,control,p,0.0,1,u,o,notruncila,0,10,pseudo
abclatally,abslatally,prss,clat,ab,al_ly,abclatally,target,r,,0,c,s,abslatally,1,10,pseudo
kelsance,celsance,rs,kels,,ance,kelsance,target,r,,0,k,c,celsance,1,8,pseudo
trunrasim,trunlasim,rss,trun,,la_sim,trunlasim,control,s,0.0,0,l,r,trunrasim,3,9,pseudo
unfamally,unfamally,prss,fam,un,al_ly,unfamally,target,r,,1,a,o,unfomally,0,9,pseudo
mofnemtla,mofnemtla,rss,mof,,nemt_la,mofnemtla,control,s,0.0,0,n,m,mofmemtla,0,9,pseudo
colt,colg,r,colg,,,colg,control,r,,3,g,t,colt,3,4,pseudo
erverotrag,erverotrig,ppr,trig,er_vero,,erverotrig,control,r,,2,i,a,erverotrag,3,10,pseudo
can,can,r,con,,,con,target,r,,1,o,a,can,2,3,pseudo
kisteakal,kisteakal,prs,teak,dis,al,disteakal,target,p,0.0,0,d,k,kisteakal,2,9,pseudo
