Root,PermutedRoot
teak,keat
keir,riek
keam,meak
taun,naut
soom,moos
geef,feeg
koul,louk
koop,pook
lien,neil
teer,reet
girt,trig
darf,frad
kels,selk
cont,tonc
clat,talc
neg,gen
cun,nuc
wis,siw
mer,rem
fam,maf
ket,tek
fob,bof
cet,tec
fom,mof
con,noc
gras,sarg
krew,werk
nurt,trun
gloc,colg
drun,nurd
