Root,PermutedRoot
trév,vért
crus,surc
clôt,tôlc
plem,pelm
tron,nort
cam,mac
dof,fod
san,nas
bul,lub
dir,rid
fil,lif
sal,las
dic,cid
lém,mél
jur,ruj
tert,tret
cort,troc
foir,roif
cert,trec
snal,lans
nour,roun
jaun,nauj
doul,loud
coit,tioc
nièr,rièn
tuél,léut
gier,reig
quor,roqu
jais,saij
diot,toid
