Prefix2,Prefix1,Suffix1,PermutedPrefix2,PermutedPrefix1,PermutedSuffix1,Example1,Example2
dés,en,er,séd,ne,re,désencadrer,désengager
re,dé,age,er,éd,eag,redécoupage,
dés,in,er,séd,ni,re,désincruster,désincarcérer
