Prefix2,Prefix1,PermutedPrefix2,PermutedPrefix1,Example1,Example2,
im,pré,mi,érp,imprévue,,
in,inter,ni,renti,ininterrompu,,
pré,re,érp,er,prérentrée,,
re,dé,er,éd,redécouvrir,redéfaire,
sur,en,rus,ne,surenchère,surendetter,surentrainer
pré,dé,rép,éd,prédécoupé,,
