first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
ràlit,ràlit,pr,re,lit,,relit,target,p,0.0,1,e,à,ràlit,2,5,real
bombardier,bombarcier,rss,,bomb,ard_ier,bombardier,target,s,0.0,2,d,c,bombarcier,1,10,real
eucalnptus,eucalyptus,r,,eucalyptus,,eucalyptus,control,r,,5,y,n,eucalnptus,3,10,real
bourbon,bourben,r,,bourbon,,bourbon,control,r,,5,o,e,bourben,1,7,real
enfui,enfui,pr,en,fui,,enfui,target,p,0.0,1,n,m,emfui,0,5,real
ingénieup,ingénieux,prs,in,géni,eux,ingénieux,target,s,0.0,2,x,p,ingénieup,3,9,real
parccemin,parchemin,r,,parchemin,,parchemin,control,r,,4,h,c,parccemin,3,9,real
entourage,éntourage,prs,en,tour,age,entourage,target,p,0.0,0,e,é,éntourage,1,9,real
poeliche,pouliche,r,,pouliche,,pouliche,control,r,,2,u,e,poeliche,3,8,real
captivité,captivivé,rss,,capt,iv_ité,captivité,target,s,1.0,1,t,v,captivivé,1,9,real
socialisme,socialisme,rss,,soci,al_isme,socialisme,target,r,,1,o,a,sacialisme,0,10,real
prévision,prévision,prs,pré,vis,ion,prévision,target,p,0.0,0,p,d,drévision,0,9,real
amalvame,amalvame,r,,amalgame,,amalgame,control,r,,4,g,v,amalvame,2,8,real
inaedible,inaedible,prs,in,aud,ible,inaudible,target,r,,1,u,e,inaedible,2,9,real
praiment,praiment,rs,,vrai,ment,vraiment,target,r,,0,v,p,praiment,2,8,real
indagne,indagne,pr,in,digne,,indigne,target,r,,1,i,a,indagne,2,7,real
custaud,costaud,r,,costaud,,costaud,control,r,,1,o,u,custaud,3,7,real
sortie,sortoe,rs,,sort,ie,sortie,target,s,0.0,0,i,o,sortoe,1,6,real
guirlande,guirlande,r,,guirlande,,guirlande,control,r,,0,g,p,puirlande,0,9,real
chimpagne,champagne,r,,champagne,,champagne,control,r,,2,a,i,chimpagne,3,9,real
eniquement,eniquement,rss,,un,ique_ment,uniquement,target,r,,0,u,e,eniquement,2,10,real
cicatrice,cicatrice,r,,cicatrice,,cicatrice,control,r,,0,c,h,hicatrice,0,9,real
puberté,pubarté,r,,puberté,,puberté,control,r,,3,e,a,pubarté,1,7,real
ramet,ramet,pr,re,met,,remet,target,p,0.0,1,e,a,ramet,2,5,real
entêtant,eltêtant,prs,en,têt,ant,entêtant,target,p,0.0,1,n,l,eltêtant,1,8,real
zombae,zombie,r,,zombie,,zombie,control,r,,4,i,a,zombae,3,6,real
éditorial,éditorial,rss,,édit,or_ial,éditorial,target,s,0.0,0,o,e,éditerial,0,9,real
perron,perron,r,,perron,,perron,control,r,,5,n,l,perrol,0,6,real
tonalité,tonalité,rss,,ton,al_ité,tonalité,target,s,0.0,0,a,u,tonulité,0,8,real
capharnaüm,capharnaüm,r,,capharnaüm,,capharnaüm,control,r,,6,n,m,capharmaüm,0,10,real
ribambelle,ribamberle,r,,ribambelle,,ribambelle,control,r,,7,l,r,ribamberle,1,10,real
agricole,agricole,r,,agricole,,agricole,control,r,,1,g,t,atricole,0,8,real
inpulsif,impulsif,prs,im,puls,if,impulsif,target,p,0.0,1,m,n,inpulsif,3,8,real
idéal,idéal,rs,,idé,al,idéal,target,s,0.0,0,a,u,idéul,0,5,real
plant,plant,r,,plant,,plant,control,r,,2,a,i,plint,0,5,real
argent,argent,r,,argent,,argent,control,r,,4,n,m,argemt,0,6,real
céracité,céracité,rss,,cér,ac_ité,céracité,target,s,1.0,0,i,e,céraceté,0,8,real
holocauste,holocauste,r,,holocauste,,holocauste,control,r,,7,s,b,holocaubte,0,10,real
charmant,charmant,rs,,charm,ant,charmant,target,r,,0,c,s,sharmant,0,8,real
impulseon,impulseon,prs,im,puls,ion,impulsion,target,s,0.0,0,i,e,impulseon,2,9,real
crevette,drevette,r,,crevette,,crevette,control,r,,0,c,d,drevette,1,8,real
racaille,recaille,r,,racaille,,racaille,control,r,,1,a,e,recaille,1,8,real
banquise,sanquise,r,,banquise,,banquise,control,r,,0,b,s,sanquise,1,8,real
interphone,interphone,pr,inter,phone,,interphone,target,r,,3,n,r,interphore,0,10,real
