Root,Wordlength,Frequency,PercentileFrequency
alerte,6,115.29,77.75175644
piston,6,115.21,77.5175644
leurre,6,114.88,77.28337237
gourde,6,103.57,73.7704918
limite,6,97.13,72.13114754
sombre,6,88.94,70.96018735
gradin,6,85.25,70.0234192
gramme,6,82.96,68.61826698
plasma,6,80.28,68.1498829
grange,6,78.75,67.68149883
granit,6,76.92,66.97892272
grappe,6,76.85,66.74473068
gratin,6,75.88,66.51053864
cookie,6,71.16,66.2763466
grenat,6,70.62,65.80796253
podium,6,68.44,64.63700234
grives,6,65.13,62.76346604
magnat,6,63.5,62.06088993
coquin,6,62.84,61.59250585
corail,6,62.01,61.12412178
poison,6,59.49,59.95316159
grotte,6,58.16,59.01639344
pollen,6,55.18,57.84543326
guenon,6,53.61,56.90866511
pompon,6,53.18,56.20608899
statue,6,51.83,55.73770492
guerre,6,51.36,55.03512881
marché,6,47.14,53.86416862
guilde,6,47.08,53.62997658
hagard,6,42.99,51.05386417
poulpe,6,41.29,48.71194379
méduse,6,39.35,47.54098361
balade,6,37.76,45.66744731
cortex,6,36.54,44.02810304
menace,6,35.79,43.79391101
hasard,6,32.38,40.04683841
preuve,6,32.04,39.57845433
aspect,6,31.22,38.87587822
beurre,6,30.82,37.93911007
prison,6,30.37,37.23653396
minute,6,30.12,36.29976581
blague,6,29.53,35.12880562
bouche,6,27.13,33.25526932
moteur,6,25.59,31.14754098
asthme,6,24.5,29.03981265
coyote,6,21.12,22.95081967
valse,5,25988.48,100
vodka,5,10023.72,99.53161593
voici,5,2990.86,99.06323185
voilà,5,2304.36,98.82903981
ruine,5,1789.18,98.36065574
volet,5,1524.84,97.89227166
péril,5,1346.92,97.42388759
geste,5,973.85,96.95550351
wagon,5,705.85,96.2529274
sauce,5,570.67,95.31615925
gigot,5,395.66,93.44262295
gilet,5,390.58,93.20843091
giron,5,380.12,92.27166276
phare,5,213.9,89.69555035
phase,5,211.14,89.46135831
selle,5,198.49,88.52459016
globe,5,192.43,88.29039813
photo,5,173.29,86.65105386
bourg,5,171.53,86.41686183
pièce,5,153.91,85.24590164
gnome,5,152.86,85.0117096
argot,5,150.33,84.07494145
siège,5,141.59,83.60655738
pilon,5,137.07,82.90398126
godet,5,135.54,82.66978923
golfe,5,129.96,81.96721311
sinon,5,118.29,79.62529274
ainsi,5,116.91,78.92271663
piton,5,112.7,77.04918033
gosse,5,112.29,76.81498829
pitre,5,112.12,76.34660422
pivot,5,106.93,75.40983607
pizza,5,105.81,74.70725995
plage,5,103.34,73.06791569
ligue,5,98.81,72.59953162
plain,5,98.59,72.36533958
arôme,5,90.19,71.42857143
grâce,5,88.63,70.72599532
songe,5,87.46,70.49180328
grade,5,87.15,70.25761124
grain,5,84.54,69.32084309
plant,5,83.87,69.08665105
local,5,83.83,68.85245902
grief,5,69.02,65.10538642
lutte,5,67.97,64.16861827
